osmid,name,highway,width,oneway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,junction
41907104,Albertstraße,residential,5,False,False,57.225,"LINESTRING (7.5606812 51.0235373, 7.5605022 51.0235705, 7.5602916 51.0235949, 7.5602324 51.0235928, 7.5600864 51.0235875, 7.5598808 51.0235553)",,,,,
522923261,Rospestraße,tertiary,,False,False,180.854,"LINESTRING (7.5606812 51.0235373, 7.5607476 51.0236045, 7.5607975 51.023642, 7.5608501 51.0236816, 7.5617599 51.0241091, 7.5618906 51.0242281, 7.5619284 51.0243069, 7.5619379 51.0243742, 7.5619175 51.0244469, 7.5617463 51.0247948)",2,50,,,
522923261,Rospestraße,tertiary,,False,False,55.173,"LINESTRING (7.5617463 51.0247948, 7.561567 51.025278)",2,50,,,
305134499,Auf der Platte,residential,,False,False,58.039,"LINESTRING (7.5617463 51.0247948, 7.561555 51.0247642, 7.5609246 51.0247321)",,,,,
522923261,Rospestraße,tertiary,,False,True,180.85399999999998,"LINESTRING (7.5617463 51.0247948, 7.5619175 51.0244469, 7.5619379 51.0243742, 7.5619284 51.0243069, 7.5618906 51.0242281, 7.5617599 51.0241091, 7.5608501 51.0236816, 7.5607975 51.023642, 7.5607476 51.0236045, 7.5606812 51.0235373)",2,50,,,
172482832,Brückenstraße,tertiary,,False,False,104.943,"LINESTRING (7.5613757 51.0257356, 7.5615349 51.0258195, 7.561705 51.0259356, 7.5618778 51.0260724, 7.5622987 51.0264361, 7.5623268 51.0264612)",3,50,,,
481235794,Rospestraße,tertiary,,False,True,52.614000000000004,"LINESTRING (7.5613757 51.0257356, 7.5614195 51.0256253, 7.561567 51.025278)",3,50,,,
7981399,Kaiserstraße,tertiary,,False,True,48.16,"LINESTRING (7.5612284 51.0283229, 7.5608249 51.0284425, 7.5606055 51.0285076)",,,,,
33713520,Lebrechtstraße,residential,,False,True,99.84,"LINESTRING (7.5612284 51.0283229, 7.5611056 51.0282477, 7.5610219 51.0281264, 7.5609698 51.0279724, 7.5609487 51.0278395, 7.5609497 51.027742, 7.5609503 51.0276902, 7.561032 51.0274788)",,50,,,
636421872,Kaiserstraße,tertiary,,False,False,114.63799999999999,"LINESTRING (7.5612284 51.0283229, 7.562151 51.028115, 7.5625222 51.0280316, 7.5627521 51.0279487)",,,,,
33713520,Lebrechtstraße,residential,,False,False,10.379,"LINESTRING (7.5572638 51.0264781, 7.5573975 51.0264376)",,50,,,
