osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge
77042385,Grüne Schleite,residential,False,False,49.687,"LINESTRING (9.5120806 51.9758611, 9.5119071 51.9758707, 9.5117159 51.9758475, 9.5114167 51.9757283)",,,
678842916,Münchhausenplatz,secondary,False,True,66.332,"LINESTRING (9.5120806 51.9758611, 9.5122655 51.9758314, 9.5125602 51.9757699, 9.5129589 51.9756211)",L 580,50,
"[24912252, 42966988]",Sahlfeldstraße,residential,False,"[False, True]",388.076,"LINESTRING (9.5171376 51.9739898, 9.517025 51.9738874, 9.5163886 51.9733086, 9.5160377 51.9729577, 9.5156622 51.9725405, 9.5149904 51.971754, 9.516108 51.9714275, 9.5162272 51.9713926, 9.5162948 51.9713729)",,,
42966990,Brückenstraße,secondary,False,False,36.964,"LINESTRING (9.5171376 51.9739898, 9.5173545 51.973867, 9.5175267 51.9737596)",L 580,50,
"[28539854, 42966990, 39352543]",Brückenstraße,secondary,False,"[False, True]",273.129,"LINESTRING (9.5171376 51.9739898, 9.5168332 51.9741274, 9.5160689 51.9744919, 9.5154816 51.9747546, 9.5151082 51.974906, 9.5149341 51.974985, 9.5148127 51.9750422, 9.5146878 51.9751102, 9.5146537 51.9751396, 9.5145103 51.9752963, 9.5144089 51.975401, 9.5142634 51.9755001, 9.5141137 51.9755487)",L 580,50,yes
24912254,Rühler Straße,secondary,False,True,4.326,"LINESTRING (9.5162948 51.9713729, 9.5162656 51.9713384)",L 580,50,
34903221,Rühler Straße,secondary,False,True,129.675,"LINESTRING (9.5162948 51.9713729, 9.5171513 51.9724129)",L 580,50,
"[42966988, 24912252]",Sahlfeldstraße,residential,False,"[False, True]",388.076,"LINESTRING (9.5162948 51.9713729, 9.5162272 51.9713926, 9.516108 51.9714275, 9.5149904 51.971754, 9.5156622 51.9725405, 9.5160377 51.9729577, 9.5163886 51.9733086, 9.517025 51.9738874, 9.5171376 51.9739898)",,,
"[42966990, 28539854, 39352543]",Brückenstraße,secondary,False,"[False, True]",273.129,"LINESTRING (9.5141137 51.9755487, 9.5142634 51.9755001, 9.5144089 51.975401, 9.5145103 51.9752963, 9.5146537 51.9751396, 9.5146878 51.9751102, 9.5148127 51.9750422, 9.5149341 51.974985, 9.5151082 51.974906, 9.5154816 51.9747546, 9.5160689 51.9744919, 9.5168332 51.9741274, 9.5171376 51.9739898)",L 580,50,yes
"[678842917, 40301566]",Münchhausenplatz,secondary,False,False,80.705,"LINESTRING (9.5141137 51.9755487, 9.5140502 51.9755609, 9.5139973 51.9755658, 9.5138978 51.9755682, 9.5138297 51.9755698, 9.5136262 51.9755631, 9.5134601 51.9755538, 9.5132018 51.9755618, 9.5130768 51.9755932, 9.5129589 51.9756211)",L 580,50,
4782761,Linser Straße,tertiary,False,False,78.929,"LINESTRING (9.5187805 51.9743989, 9.5186783 51.9743448, 9.5185621 51.9742555, 9.5184887 51.974186, 9.5184457 51.9741366, 9.5183214 51.9739789, 9.518248 51.9738856, 9.5182194 51.9738492, 9.5181845 51.9737997)",K 18,50,
"[42967058, 42967061, 66618202]",Linser Straße,residential,False,False,199.681,"LINESTRING (9.5187805 51.9743989, 9.5187736 51.9744513, 9.5187258 51.9745354, 9.5185693 51.9746109, 9.5184321 51.9746478, 9.5181674 51.9746976, 9.5178321 51.9747455, 9.517589 51.9747829, 9.5174634 51.9748154, 9.5175116 51.9748859, 9.5175709 51.9749775, 9.518035 51.975414, 9.5181109 51.9755264)",,,
"[534356955, 33135543]",Siemensstraße,residential,False,False,72.249,"LINESTRING (9.5187805 51.9743989, 9.5187829 51.9743316, 9.5190359 51.9741448, 9.5193948 51.9738876)",,30,
33135533,Stephanusstraße,residential,True,False,37.322,"LINESTRING (9.5195879 51.973087, 9.5200996 51.9729717)",,30,
40305430,Siemensstraße,residential,False,False,115.12100000000001,"LINESTRING (9.5195879 51.973087, 9.5195622 51.973008, 9.5195635 51.9728767, 9.5195045 51.9726942, 9.5192574 51.9720753)",,30,
40305430,Siemensstraße,residential,False,True,92.16000000000001,"LINESTRING (9.5195879 51.973087, 9.5196319 51.9733005, 9.5196184 51.9735071, 9.5195538 51.9736779, 9.5193948 51.9738876)",,30,
33135535,Zum Finkenherd,residential,False,False,37.728,"LINESTRING (9.5192574 51.9720753, 9.5197887 51.9719859)",,30,
33135535,Zum Finkenherd,residential,False,True,85.874,"LINESTRING (9.5192574 51.9720753, 9.5180387 51.9722563)",,30,
40305430,Siemensstraße,residential,False,False,131.566,"LINESTRING (9.5192574 51.9720753, 9.5187911 51.9709275)",,30,
