osmid,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,lanes
"[276027758, 276027762, 70785062]",Höhenweg,residential,False,False,34.671,yes,"LINESTRING (11.4727026 50.2676238, 11.4727841 50.2676576, 11.4728865 50.2677016, 11.4730586 50.2677431, 11.473132 50.2677683)",,
95807072,Hauptstraße,tertiary,False,False,76.629,,"LINESTRING (11.4727026 50.2676238, 11.4724329 50.267694, 11.4721258 50.2677283, 11.4716532 50.2677598)",50,
163438818,Marktplatz,tertiary,False,True,46.822,,"LINESTRING (11.4727026 50.2676238, 11.4728862 50.2675599, 11.4730797 50.2674799, 11.4732483 50.2673903)",50,2
70794188,Ailastraße,residential,False,True,50.607,,"LINESTRING (11.4716532 50.2677598, 11.4716095 50.2677436, 11.4710378 50.2675309)",,
95807072,Hauptstraße,tertiary,False,True,76.629,,"LINESTRING (11.4716532 50.2677598, 11.4721258 50.2677283, 11.4724329 50.267694, 11.4727026 50.2676238)",50,
95807078,Hauptstraße,tertiary,False,False,54.43,,"LINESTRING (11.4716532 50.2677598, 11.4714504 50.2678989, 11.4713006 50.2680265, 11.4711977 50.2681499)",50,2
"[70795020, 70795021]",Spitalstraße,residential,False,False,412.63900000000007,,"LINESTRING (11.4685693 50.2703707, 11.4685425 50.2704175, 11.4685157 50.2704643, 11.4684235 50.2705769, 11.4682893 50.2707092, 11.4682364 50.2708355, 11.4681785 50.270951, 11.4680896 50.2710615, 11.4679427 50.2711619, 11.4676757 50.2713121, 11.4675518 50.271382, 11.4674712 50.2715028, 11.4674176 50.2716066, 11.4673207 50.2718415, 11.4673215 50.2719887, 11.4673721 50.2721252, 11.4675224 50.2722673, 11.4676698 50.2723736, 11.4681689 50.2727037, 11.4687967 50.2731176, 11.4689769 50.2732632, 11.4691287 50.2734077)",30,
70795026,Siedlung,residential,False,True,28.378999999999998,,"LINESTRING (11.4685693 50.2703707, 11.4685514 50.2703308, 11.4684596 50.2701253)",30,
"[276027800, 163438813]",Schützenstraße,tertiary,False,True,217.56099999999998,yes,"LINESTRING (11.4685693 50.2703707, 11.4695877 50.2699019, 11.4703972 50.2695072, 11.4705567 50.2693792, 11.470646 50.2692546, 11.4706692 50.2692222, 11.4706747 50.2691853, 11.4706868 50.2690553)",50,2
95807078,Hauptstraße,tertiary,False,False,107.19300000000001,,"LINESTRING (11.4711977 50.2681499, 11.4709397 50.2686152, 11.4707436 50.2689054, 11.4706868 50.2690553)",50,2
