osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction,tunnel
172887499,2,Laasener Straße,tertiary,50,False,False,26.284,"LINESTRING (12.086656 50.8801611, 12.0866991 50.8801556, 12.0867699 50.8801696, 12.0868389 50.8802017, 12.0869169 50.8802407, 12.0869751 50.8802666)",,,
234987479,,Laasener Straße,residential,50,False,True,59.248999999999995,"LINESTRING (12.086656 50.8801611, 12.0865676 50.8801239, 12.0858907 50.879938)",,,
24018002,3,Bauvereinstraße,secondary,50,False,True,27.118,"LINESTRING (12.089227 50.8795785, 12.0892851 50.87949, 12.0893063 50.8794579, 12.0893689 50.8793517)",,,
161937262,3,Altenburger Straße,secondary,50,False,False,29.827999999999996,"LINESTRING (12.089227 50.8795785, 12.0893914 50.879605, 12.0894539 50.879615, 12.0896401 50.8796418)",yes,,
321018450,2,Bauvereinstraße,residential,30,False,True,20.553,"LINESTRING (12.089227 50.8795785, 12.0890346 50.8795487, 12.0889836 50.8795389, 12.0889487 50.8795247)",,,
"[302663417, 1159700618, 302663418, 32277470]","['4', '2', '3']",Ziegelberg,tertiary,,False,True,177.336,"LINESTRING (12.089227 50.8795785, 12.0891555 50.8796888, 12.0891358 50.8797202, 12.0890187 50.8799176, 12.0889506 50.8800255, 12.0888662 50.8801292, 12.0888047 50.8801756, 12.0887467 50.8802069, 12.0886683 50.8802397, 12.0885545 50.8802697, 12.0884335 50.880295, 12.0882975 50.8803171, 12.0878815 50.880361, 12.0876655 50.8803883, 12.0875988 50.8803968, 12.0874789 50.8803966, 12.0873843 50.8803922)",,,
788461388,2,Clara-Zetkin-Straße,secondary,50,False,False,109.195,"LINESTRING (12.0820857 50.8806452, 12.0835787 50.8809227)",,,
370753867,2,Clara-Zetkin-Straße,secondary,50,False,True,87.02,"LINESTRING (12.0820857 50.8806452, 12.0809339 50.8804141, 12.0809039 50.8804076)",,,
37038436,,Laasener Straße,residential,50,True,False,69.195,"LINESTRING (12.0846237 50.8796131, 12.0846461 50.8796189, 12.0855366 50.8798486)",,,
173009169,,Rudolf-Diener-Straße,residential,50,True,False,126.254,"LINESTRING (12.0846237 50.8796131, 12.0846018 50.8796078, 12.0829534 50.8791906)",,,
765529216,,,residential,,True,False,3.722,"LINESTRING (12.0774206 50.8744091, 12.0774725 50.874416)",,roundabout,
27114727,,Heinrichstraße,living_street,walk,False,False,109.568,"LINESTRING (12.0773842 50.8746534, 12.077391 50.8747513, 12.0774025 50.8749149, 12.0774537 50.8756378)",,,
765529216,,,residential,,True,False,6.622,"LINESTRING (12.0773842 50.8746534, 12.0773414 50.8746471, 12.0772956 50.8746338)",,roundabout,
765529216,,,residential,,True,False,12.911000000000001,"LINESTRING (12.0772956 50.8746338, 12.0772683 50.8746203, 12.0772415 50.8745992, 12.0772236 50.8745724, 12.0772121 50.874535)",,roundabout,
1053384994,1,Hainstraße,residential,,True,False,25.816000000000003,"LINESTRING (12.0772956 50.8746338, 12.0772444 50.8746405, 12.0772049 50.8746519, 12.0771453 50.8746773, 12.0770896 50.8747032, 12.0770338 50.8747212, 12.0769705 50.8747376)",,,
"[1213247003, 180214751]",,Heinrichstraße,residential,,True,False,87.57900000000001,"LINESTRING (12.0772126 50.8745236, 12.0771792 50.8744688, 12.0771222 50.8743932, 12.0769685 50.8741764, 12.0767349 50.8737963)",,,
765529216,,,residential,,True,False,21.467000000000002,"LINESTRING (12.0772126 50.8745236, 12.0772223 50.8744931, 12.0772423 50.8744662, 12.077272 50.8744432, 12.0773093 50.8744254, 12.0773445 50.8744153, 12.077382 50.8744098, 12.0774206 50.8744091)",,roundabout,
"[1053384993, 1053384995]",1,Hainstraße,residential,,True,False,28.451999999999998,"LINESTRING (12.0769705 50.8747376, 12.0769938 50.8747022, 12.0770292 50.8746653, 12.0770909 50.8746226, 12.0771804 50.8745641, 12.0772121 50.874535)",,,
173009161,,Rudolf-Diener-Straße,living_street,walk,False,True,44.622,"LINESTRING (12.0817858 50.8788956, 12.0816025 50.878843, 12.0812154 50.8787183)",,,
173009167,,Rudolf-Diener-Straße,residential,50,False,False,88.259,"LINESTRING (12.0817858 50.8788956, 12.0821883 50.8789894, 12.0829534 50.8791906)",,,
182779747,,Lessingstraße,residential,,False,False,104.955,"LINESTRING (12.0855366 50.8798486, 12.0851499 50.8807604)",,,
234987479,,Laasener Straße,residential,50,False,False,26.758,"LINESTRING (12.0855366 50.8798486, 12.0858907 50.879938)",,,
234987479,,Laasener Straße,residential,50,False,True,26.758,"LINESTRING (12.0858907 50.879938, 12.0855366 50.8798486)",,,
"[28723931, 25280829]",,"['Uhlandstraße', 'Zschochernstraße']",residential,,False,False,217.118,"LINESTRING (12.0858907 50.879938, 12.0861854 50.8795011, 12.0862026 50.8794756, 12.0862606 50.8792943, 12.0863895 50.8793054, 12.0870546 50.8794339, 12.0875947 50.8795405, 12.0877806 50.8795371, 12.0879783 50.8795714, 12.0881105 50.8795943, 12.0881887 50.8796159)",,,
234987479,,Laasener Straße,residential,50,False,False,59.248999999999995,"LINESTRING (12.0858907 50.879938, 12.0865676 50.8801239, 12.086656 50.8801611)",,,
182779747,,Lessingstraße,residential,,False,True,104.955,"LINESTRING (12.0851499 50.8807604, 12.0855366 50.8798486)",,,
"[1254851819, 25098814]",,Greizer Straße,residential,50,False,False,199.695,"LINESTRING (12.0861359 50.8745859, 12.0861406 50.8746502, 12.0861246 50.8748403, 12.0861203 50.8748633, 12.0860135 50.8754292, 12.0859842 50.8755845, 12.0859582 50.8756728, 12.0859402 50.8757564, 12.0857926 50.8763255, 12.0857733 50.8763645)",,,
"[370751787, 25193003, 368769238]",2,Kleiststraße,secondary,50,False,False,106.506,"LINESTRING (12.0861359 50.8745859, 12.0862826 50.8745809, 12.0864045 50.8745855, 12.0864794 50.8745917, 12.0867032 50.8746189, 12.0872334 50.8747035, 12.0875027 50.8747465, 12.0876005 50.8747912)",,,
"[368769240, 368769241, 370751830]","['2', '3']",Stadtgraben,secondary,50,False,True,224.62000000000003,"LINESTRING (12.0861359 50.8745859, 12.0860919 50.8745897, 12.0860314 50.8745948, 12.0858732 50.8746107, 12.0855436 50.8746596, 12.0852379 50.8747259, 12.0850363 50.8747656, 12.0848801 50.874797, 12.0846949 50.8748265, 12.084318 50.8748585, 12.08407 50.8748505, 12.0839329 50.8748453, 12.0837165 50.8748288, 12.0833912 50.8747769, 12.0831377 50.8747184, 12.0830266 50.8746928)",,,
292853298,,Neue Straße,residential,,True,False,135.156,"LINESTRING (12.076641 50.8795558, 12.0775992 50.8791905, 12.0777739 50.8791026, 12.0778119 50.8790875, 12.0781691 50.878932, 12.0782488 50.8788893)",,,
1155720728,1,Kurt-Keicher-Straße,residential,50,False,False,12.512,"LINESTRING (12.087583 50.8806929, 12.0875868 50.8808054)",,,
1155723051,1,Laasener Straße,residential,50,False,True,18.568,"LINESTRING (12.087583 50.8806929, 12.0873905 50.8805783)",,,
17050756,,Enzianstraße,residential,,False,False,32.806,"LINESTRING (12.0798672 50.8735365, 12.0801234 50.8735813, 12.0803139 50.8736231)",,,
"[333931427, 17050757]",,Enzianstraße,residential,,True,False,123.381,"LINESTRING (12.0798672 50.8735365, 12.0790308 50.8733714, 12.078316 50.8732303, 12.0781889 50.8732055)",,,
20216037,,Schülerstraße,residential,50,False,True,108.344,"LINESTRING (12.0798672 50.8735365, 12.0803116 50.8726611, 12.0803383 50.8726086)",,,
765529217,,Talstraße,residential,,False,False,107.905,"LINESTRING (12.0781889 50.8732055, 12.0786217 50.8723312, 12.0786451 50.8722788)",,,
765529217,,Talstraße,residential,,False,True,124.47200000000001,"LINESTRING (12.0781889 50.8732055, 12.0781062 50.8733689, 12.0776535 50.8742727)",,,
"[27114992, 25844556]",,Schuhgasse,residential,50,False,True,80.46199999999999,"LINESTRING (12.0838434 50.8763482, 12.0847952 50.8764859, 12.0849607 50.8765112)",,,
