osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,bridge,junction,maxspeed
"[37215971, 365664363]",False,"['2', '3']",L 172,Südpromenade,secondary,False,98.739,"LINESTRING (11.7687944 51.3800202, 11.7688943 51.3799843, 11.7690843 51.3799485, 11.7692638 51.3799261, 11.7696405 51.3798737, 11.7701694 51.3798058)",,,
"[37215970, 37215971, 110681276]",False,2,L 172,Südpromenade,secondary,True,116.857,"LINESTRING (11.7687944 51.3800202, 11.7687352 51.3800504, 11.7686936 51.3801031, 11.7686681 51.380191, 11.7685483 51.3806719, 11.7684967 51.3808666, 11.7684371 51.3809303, 11.7683743 51.3809725, 11.7683226 51.3809957)",yes,,
1077152569,False,3,L 172,Südpromenade,secondary,True,9.021,"LINESTRING (11.7702966 51.3797891, 11.7701694 51.3798058)",,,
"[110681274, 42149843, 365664364]",False,"['2', '3']",L 172;L 177,"['Südpromenade', 'Platz des Friedens']",secondary,False,337.277,"LINESTRING (11.7702966 51.3797891, 11.7711034 51.3797234, 11.7711685 51.3797182, 11.7715736 51.3796861, 11.77174 51.3796756, 11.7723406 51.3796115, 11.7729209 51.379511, 11.7730047 51.3794997, 11.7731127 51.3794922, 11.7732275 51.3794903, 11.773463 51.3794993, 11.7750857 51.3796791)",,,
"[365664329, 253635164]",False,"['2', '3']",L 177,Julius-Häßler-Straße,secondary,True,203.25599999999997,"LINESTRING (11.7702966 51.3797891, 11.7702911 51.3797403, 11.7702959 51.3796703, 11.7704064 51.3794031, 11.7704631 51.379258, 11.7705539 51.3790995, 11.7709206 51.3783784, 11.7709837 51.3782484, 11.7709942 51.3781333, 11.7709672 51.378027)",,,
110679041,False,2,L 172;L 177,Südpromenade,secondary,False,184.23600000000002,"LINESTRING (11.7784479 51.3821669, 11.779363 51.3826835, 11.7795027 51.382762, 11.7797535 51.3829048, 11.7800131 51.3830512, 11.780203 51.3831964, 11.7803494 51.3833176)",,,
110679041,False,2,L 172;L 177,Südpromenade,secondary,True,155.393,"LINESTRING (11.7784479 51.3821669, 11.7783798 51.3821184, 11.7782892 51.3820488, 11.7770934 51.3810544)",,,
110681275,False,,,Töpfermarkt,residential,True,42.3,"LINESTRING (11.7784479 51.3821669, 11.7782968 51.3822739, 11.7782457 51.3822951, 11.7780344 51.3823117, 11.7779343 51.3823347)",,,
76085891,False,,K 2159,Niederwünscher Straße,tertiary,False,11.45,"LINESTRING (11.7803494 51.3833176, 11.7804689 51.3832466)",,,
33182241,False,2,L 172,Merseburger Straße,secondary,False,96.008,"LINESTRING (11.7803494 51.3833176, 11.7805576 51.383473, 11.7806805 51.3835278, 11.7807689 51.3835672, 11.780835 51.3835919, 11.7808963 51.3836115, 11.7810119 51.3836424, 11.7811628 51.3836742, 11.7815087 51.3837531)",,,
