osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,access,bridge,tunnel
4427345,Hafenbad,residential,30,5,False,False,45.112,"LINESTRING (9.9938766 48.4009475, 9.9937829 48.4005466)",,,,
4624404,Rosengasse,residential,30,,False,False,157.93699999999995,"LINESTRING (9.9938766 48.4009475, 9.9941144 48.4009365, 9.9943049 48.4009406, 9.9944382 48.4009457, 9.9945276 48.4009453, 9.994672 48.4009484, 9.994812 48.4009514, 9.9949224 48.4009537, 9.9954476 48.4009692, 9.9956923 48.4009726, 9.995723 48.4009731, 9.9959241 48.4009762, 9.9960113 48.4009913)",,,,
4427345,Hafenbad,residential,30,5,False,True,25.637,"LINESTRING (9.9937453 48.4003174, 9.9937829 48.4005466)",,,,
4628039,Hoheschulgasse,residential,30,6,False,False,33.537,"LINESTRING (9.9937453 48.4003174, 9.9941989 48.4003009)",,,,
4427345,Hafenbad,residential,30,5,False,False,43.054,"LINESTRING (9.9937453 48.4003174, 9.9937124 48.4001277, 9.9936929 48.4000055, 9.9936806 48.3999326)",,,,
"[4427346, 15070830]",Herrenkellergasse,living_street,,,True,False,70.354,"LINESTRING (9.9937453 48.4003174, 9.9934335 48.4003225, 9.993246 48.4003254, 9.9931225 48.4003237, 9.9931204 48.4005428)",,,,
458123179,Neue Straße,tertiary,50,,False,True,5.463,"LINESTRING (9.9966816 48.3976122, 9.9967556 48.3976124)",2,,,
4627984,Grüner Hof,living_street,,,False,False,148.973,"LINESTRING (9.9966816 48.3976122, 9.9966649 48.3975186, 9.9967043 48.397411, 9.9967342 48.3973797, 9.9967551 48.3973539, 9.9968711 48.3971781, 9.9969365 48.397079, 9.9970294 48.3969463, 9.9971018 48.3968294, 9.9968597 48.3967658, 9.9966644 48.3967145, 9.9965607 48.3966873, 9.9964898 48.3966686, 9.9964078 48.3966471)",,,,
397626756,Neue Straße,tertiary,50,,False,False,62.423,"LINESTRING (9.9966816 48.3976122, 9.9960317 48.3975927, 9.9959883 48.3975914, 9.9958368 48.3975904)",2,,,
4427345,Hafenbad,residential,30,5,False,False,25.637,"LINESTRING (9.9937829 48.4005466, 9.9937453 48.4003174)",,,,
