osmid,oneway,name,highway,reversed,length,maxspeed,geometry,junction,tunnel,lanes,width
22884533,False,Sauerbruchstraße,living_street,False,73.977,,"LINESTRING (6.1389199 50.8136227, 6.139771 50.8140144)",,,,
34894325,False,Oppener Straße,tertiary,True,138.533,50,"LINESTRING (6.1389199 50.8136227, 6.1382471 50.8140168, 6.1374573 50.814287, 6.1373277 50.8143421)",,,,
34894325,False,Oppener Straße,tertiary,False,138.533,50,"LINESTRING (6.1373277 50.8143421, 6.1374573 50.814287, 6.1382471 50.8140168, 6.1389199 50.8136227)",,,,
34894325,False,Oppener Straße,tertiary,True,93.89800000000001,50,"LINESTRING (6.1373277 50.8143421, 6.1372471 50.8143932, 6.1371643 50.8144608, 6.1366671 50.8149398, 6.1365578 50.8150305)",,,,
4974997,False,Oppener Straße,tertiary,True,106.31699999999998,50,"LINESTRING (6.1365578 50.8150305, 6.1363604 50.8151163, 6.1358719 50.8153227, 6.1356076 50.8153853, 6.1353402 50.8154418, 6.1352231 50.815463)",,,,
5088861,False,Ringstraße,residential,False,159.61399999999998,30,"LINESTRING (6.1365578 50.8150305, 6.1366755 50.8151086, 6.1370327 50.8153523, 6.1373109 50.8155463, 6.1380975 50.816086)",,,,
34894325,False,Oppener Straße,tertiary,False,93.898,50,"LINESTRING (6.1365578 50.8150305, 6.1366671 50.8149398, 6.1371643 50.8144608, 6.1372471 50.8143932, 6.1373277 50.8143421)",,,,
4975004,True,Oppener Straße,tertiary,False,21.012,,"LINESTRING (6.13498 50.8154021, 6.1350264 50.8153907, 6.1350761 50.8153885, 6.1351247 50.8153956, 6.1351678 50.8154114, 6.1352016 50.8154345, 6.1352231 50.815463)",roundabout,,,
27954698,False,Haaler Straße,unclassified,True,98.779,30,"LINESTRING (6.13498 50.8154021, 6.1349483 50.8153538, 6.1347343 50.815069, 6.1344245 50.8145864)",,,,
8028341,False,Am Haushof,residential,False,73.927,30,"LINESTRING (6.1344245 50.8145864, 6.1348828 50.8144628, 6.1349284 50.8144505, 6.135293 50.8144021, 6.135422 50.814385)",,,,
27954698,False,Haaler Straße,unclassified,False,98.779,30,"LINESTRING (6.1344245 50.8145864, 6.1347343 50.815069, 6.1349483 50.8153538, 6.13498 50.8154021)",,,,
978968766,False,Drischer Straße,tertiary,True,5.286,50,"LINESTRING (6.1352789 50.8179471, 6.1352612 50.8179009)",,,,
9935563,False,Wilhelmstraße,tertiary,False,64.519,50,"LINESTRING (6.1352789 50.8179471, 6.1352917 50.8179997, 6.1352754 50.8180559, 6.1352343 50.8181234, 6.1351185 50.8182692, 6.1350379 50.8183603, 6.1349459 50.8184436, 6.1349151 50.8184644)",,,,
10506301,False,Tittelsstraße,residential,False,2.159,,"LINESTRING (6.1332868 50.8175038, 6.1332594 50.817495)",,,,
"[35668891, 53891790]",True,"['Markt', 'An St. Sebastian']",unclassified,False,99.072,30,"LINESTRING (6.1332868 50.8175038, 6.1332934 50.8175005, 6.1333315 50.817484, 6.1333809 50.8174715, 6.133419 50.8174659, 6.1335234 50.8174546, 6.1336346 50.8174558, 6.1340019 50.8175087, 6.1342102 50.817522, 6.1344184 50.8175345, 6.1344787 50.8175328, 6.1345767 50.8175174, 6.1346578 50.8174933)",,,,
5007225,True,Kaiserstraße,unclassified,False,182.617,30,"LINESTRING (6.1309037 50.8206984, 6.1302164 50.821934, 6.1300965 50.8221593, 6.1300486 50.8222493)",,,,
