osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,bridge,geometry,junction
"[137847760, 137847762, 327579350, 260910798]",B 5,An der Jäglitz,primary,"['50', '70']",False,True,519.019,2,yes,"LINESTRING (12.4032057 52.9416941, 12.4031373 52.9418574, 12.4030703 52.9420586, 12.4030664 52.9420755, 12.4029958 52.9423815, 12.4029583 52.9426498, 12.4029544 52.9426895, 12.4029341 52.9428963, 12.4029308 52.9431828, 12.4029328 52.943283, 12.4029467 52.9436599, 12.4029593 52.9438897, 12.4030468 52.9451158, 12.4031316 52.9463457)",
507648806,,An der Jäglitz,primary,,True,False,72.414,,,"LINESTRING (12.4032057 52.9416941, 12.4032003 52.9416604, 12.4032076 52.9416044, 12.4033338 52.9413891, 12.4035033 52.9411752, 12.4035631 52.9410864)",
37096639,,Mühlenstraße,residential,,False,True,150.182,,,"LINESTRING (12.4031316 52.9463457, 12.4009526 52.9460291)",
"[137847760, 137847762, 260910798, 327579350]",B 5,An der Jäglitz,primary,"['50', '70']",False,False,519.0190000000001,2,yes,"LINESTRING (12.4031316 52.9463457, 12.4030468 52.9451158, 12.4029593 52.9438897, 12.4029467 52.9436599, 12.4029328 52.943283, 12.4029308 52.9431828, 12.4029341 52.9428963, 12.4029544 52.9426895, 12.4029583 52.9426498, 12.4029958 52.9423815, 12.4030664 52.9420755, 12.4030703 52.9420586, 12.4031373 52.9418574, 12.4032057 52.9416941)",
137849752,,Graf-von-der-Schulenburg-Straße,tertiary,,False,True,15.279,,,"LINESTRING (12.4030817 52.9405998, 12.4029036 52.940514)",
"[367420414, 708655431]",,Graf-von-der-Schulenburg-Straße,tertiary,,True,False,44.316,,,"LINESTRING (12.4030817 52.9405998, 12.4032898 52.940669, 12.403479 52.9407728, 12.4036197 52.9408279)",
547083946,,Prinzenstraße,tertiary,30,False,True,67.088,,,"LINESTRING (12.3989966 52.9407534, 12.3980025 52.9406819)",
"[708659170, 26933059, 244466047, 137849751, 137849752, 547088255]",,Graf-von-der-Schulenburg-Straße,tertiary,50,False,False,287.89899999999994,,yes,"LINESTRING (12.3989966 52.9407534, 12.3992272 52.9406367, 12.3996406 52.9404608, 12.3996681 52.9404499, 12.3999242 52.9403398, 12.3999507 52.9403284, 12.4001455 52.9402576, 12.4002575 52.9402262, 12.4003862 52.9401985, 12.4004976 52.9401824, 12.4006083 52.9401733, 12.4007744 52.9401716, 12.4016147 52.9402435, 12.4020769 52.9402881, 12.4021333 52.9402973, 12.4022607 52.9403218, 12.4023715 52.9403432, 12.4025124 52.9403834, 12.402654 52.9404237, 12.4029036 52.940514)",
"[547088259, 547088260]",,Maxim-Gorki-Straße,residential,30,True,False,196.988,,,"LINESTRING (12.3989966 52.9407534, 12.3990229 52.9421898, 12.3989454 52.9425216)",
4723843,,Pritzwalker Straße,tertiary,50,False,True,54.501,,,"LINESTRING (12.3964781 52.9451284, 12.3964939 52.9455529, 12.3964974 52.9456184)",
"[997708972, 244466054]",,Johann-Sebastian-Bach-Straße,tertiary,30,True,False,100.045,,,"LINESTRING (12.3964781 52.9451284, 12.3962809 52.9450936, 12.3957431 52.9450063, 12.395664 52.9449417, 12.3956667 52.9445817)",
"[507629200, 4723842]",,Hamburger Straße,residential,"['20', '10']",True,False,156.228,,,"LINESTRING (12.3972022 52.9437941, 12.3965392 52.945058, 12.3964781 52.9451284)",
176018120,,Johann-Sebastian-Bach-Straße,tertiary,30,True,False,10.958,,,"LINESTRING (12.396438 52.9424209, 12.3964594 52.9423232)",
507629197,,Marktplatz,residential,20,False,False,75.993,,,"LINESTRING (12.396438 52.9424209, 12.3966376 52.9424495, 12.3973761 52.9425555, 12.3975388 52.9425847)",
4723842,,Hamburger Straße,residential,20,True,False,135.491,,,"LINESTRING (12.3977749 52.9426255, 12.3972022 52.9437941)",
507629197,,Marktplatz,residential,20,False,True,16.458,,,"LINESTRING (12.3977749 52.9426255, 12.3975388 52.9425847)",
507629199,,Marktplatz,residential,20,False,True,26.875,,,"LINESTRING (12.3977749 52.9426255, 12.3978607 52.9423894)",
37096700,,Hospitalstraße,residential,30,True,False,82.78999999999999,,,"LINESTRING (12.3976802 52.9449608, 12.3975593 52.9449901, 12.3964781 52.9451284)",
116686319,,An der Promenade,residential,,False,False,96.645,,,"LINESTRING (12.3976802 52.9449608, 12.398179 52.9450173, 12.3984572 52.9449897, 12.3988664 52.9449113, 12.3990732 52.9448602)",
547083946,,Prinzenstraße,tertiary,30,False,False,67.088,,,"LINESTRING (12.3980025 52.9406819, 12.3989966 52.9407534)",
176018121,,Prinzenstraße,tertiary,30,False,True,26.828000000000003,,,"LINESTRING (12.3980025 52.9406819, 12.3978719 52.9406697, 12.3976067 52.9406456)",
507629198,,Schulstraße,residential,20,True,False,190.12,,,"LINESTRING (12.3980025 52.9406819, 12.3979288 52.9417845, 12.3978607 52.9423894)",
37063295,,Domstraße,residential,,True,False,77.475,,,"LINESTRING (12.3957539 52.9406073, 12.3969099 52.9406188)",
507643143,,Weberstraße,residential,,False,False,155.469,,,"LINESTRING (12.3957539 52.9406073, 12.3955629 52.9398149, 12.3955853 52.9397937, 12.3965303 52.9397371)",
507643143,,Weberstraße,residential,,False,True,180.68,,,"LINESTRING (12.3957539 52.9406073, 12.395505 52.9415705, 12.3953496 52.9422138)",
507643145,,Bahnhofstraße,residential,50,False,False,75.354,,,"LINESTRING (12.3953496 52.9422138, 12.3964594 52.9423232)",
4723847,,Weberstraße,residential,,True,False,200.278,,,"LINESTRING (12.3953496 52.9422138, 12.3952466 52.9427416, 12.3951389 52.9429908, 12.3948167 52.943622, 12.3946738 52.9439631)",
