osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,width
971651158,B 1,Hellweg,primary,50,False,False,7.926,,"LINESTRING (8.3425105 51.6126098, 8.3426175 51.6126356)",,
971651159,B 1,Hellweg,primary,50,False,True,13.715,,"LINESTRING (8.3425105 51.6126098, 8.3423238 51.6125677)",,
203622717,B 55,Lippstädter Straße,primary,50,False,False,247.91199999999998,4,"LINESTRING (8.3360296 51.6182846, 8.3360006 51.6182026, 8.3359852 51.6181592, 8.3359743 51.6181315, 8.3354918 51.6169051, 8.3354151 51.6167101, 8.3351764 51.6161563, 8.3351648 51.6161209)",,
"[956545315, 614158926]",,Graf-Landsberg-Straße,residential,30,False,False,145.37300000000002,,"LINESTRING (8.3360296 51.6182846, 8.336175 51.6182646, 8.338121 51.6181378)",,
612346644,B 55,Lippstädter Straße,primary,50,False,False,72.77,2,"LINESTRING (8.3349187 51.6142148, 8.3352954 51.6136036)",,
38483592,,Planweg,residential,30,False,False,165.26700000000002,,"LINESTRING (8.3349187 51.6142148, 8.3347776 51.6141822, 8.3347027 51.6141806, 8.3338022 51.6143017, 8.3327661 51.6142176, 8.3325673 51.6141962)",,
"[359997624, 359997629]",B 55,Lippstädter Straße,primary,50,False,True,145.03300000000002,"['2', '3']","LINESTRING (8.3349187 51.6142148, 8.3348036 51.6144258, 8.3347429 51.6146845, 8.3347395 51.6148741, 8.3347708 51.6150421, 8.3348677 51.6153168, 8.3349297 51.6154928)",,
25622377,B 1,Hellweg,primary,50,False,False,52.47,3,"LINESTRING (8.3363761 51.6117931, 8.3371249 51.6118734)",,
359997610,L 734,Bahnhofstraße,secondary,50,False,True,97.48100000000001,4,"LINESTRING (8.3363761 51.6117931, 8.3365708 51.6113225, 8.3366644 51.6110023, 8.3366802 51.6109377)",,
359997627,B 55,Lippstädter Straße,primary,50,False,True,50.09,3,"LINESTRING (8.3363761 51.6117931, 8.3363126 51.6119004, 8.3362228 51.612065, 8.3361263 51.6122159)",,
