osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,bridge,width,access,area
13875798,Untere Grabenstraße,secondary,30,False,False,18.065,,"LINESTRING (9.5399099 48.6138663, 9.5396654 48.6138826)",,,,,
24334448,Obere Grabenstraße,secondary,50,False,True,59.099,L 1200,"LINESTRING (9.5399099 48.6138663, 9.5399302 48.6139154, 9.5399713 48.6139607, 9.5402891 48.6141491, 9.5403539 48.6142083, 9.5404039 48.6142728)",,,,,
122317959,Neidlinger Straße,secondary,50,False,True,72.496,L 1200,"LINESTRING (9.5399099 48.6138663, 9.5399164 48.6138068, 9.5399524 48.613749, 9.5404605 48.6133393)",,,,,
24334449,Zeller Straße,secondary,50,False,False,136.618,L 1200,"LINESTRING (9.5396115 48.619293, 9.539687 48.6191432, 9.539812 48.6190117, 9.5399755 48.6188796, 9.5401417 48.6187371, 9.5403115 48.6185744, 9.540463 48.6183739, 9.5405226 48.6182364)",,,,,
8673097,Brunnenstraße,secondary,50,False,False,38.844,,"LINESTRING (9.5405226 48.6182364, 9.5402622 48.6181098, 9.5401323 48.6180048)",2,,,,
24334448,Obere Grabenstraße,secondary,50,False,False,70.189,L 1200,"LINESTRING (9.5405226 48.6182364, 9.5405738 48.6180284, 9.5405868 48.617608)",,,,,
24334449,Zeller Straße,secondary,50,False,True,136.618,L 1200,"LINESTRING (9.5405226 48.6182364, 9.540463 48.6183739, 9.5403115 48.6185744, 9.5401417 48.6187371, 9.5399755 48.6188796, 9.539812 48.6190117, 9.539687 48.6191432, 9.5396115 48.619293)",,,,,
"[1266787194, 30032142]",Weilerweg,residential,30,False,False,113.566,,"LINESTRING (9.5405226 48.6182364, 9.5406764 48.6182607, 9.5412963 48.6182694, 9.5420629 48.6182802)",,,,,
32064977,Brunnenstraße,secondary,50,False,True,12.431000000000001,,"LINESTRING (9.5372923 48.6153936, 9.5373413 48.6154248, 9.5374 48.6154792)",2,,,,
33174142,Untere Grabenstraße,secondary,30,False,True,115.616,,"LINESTRING (9.5372923 48.6153936, 9.537314 48.6152408, 9.5373525 48.6150244, 9.5374538 48.6148057, 9.5375962 48.6145516, 9.5376682 48.6144996, 9.5377991 48.6144532)",,,,,
"[118529439, 24334445, 1148438007]",Bissinger Straße,tertiary,50,False,False,29.698,K 1252,"LINESTRING (9.5372923 48.6153936, 9.5371899 48.6153579, 9.537021 48.6152991, 9.5369349 48.6152691)",,yes,,,
"[625483368, 25025061]","['Kelterstraße', 'Scholderplatz']",residential,30,False,True,367.14699999999993,,"LINESTRING (9.5358608 48.6146293, 9.5359837 48.6144425, 9.5361165 48.6142252, 9.5368116 48.6130872, 9.5376633 48.6125971, 9.5381045 48.6125269, 9.5383644 48.6124697, 9.5386882 48.6123713, 9.5389138 48.6122832)",,,,,
"[854654989, 34551462]",Bissinger Straße,tertiary,"['50', '30']",False,False,51.891999999999996,K 1252,"LINESTRING (9.5358608 48.6146293, 9.5358169 48.6146189, 9.5356273 48.614574, 9.5354939 48.6145458, 9.5351912 48.6144818)",2,,,,
"[854654989, 34551463]",Bissinger Straße,tertiary,30,False,True,35.018,K 1252,"LINESTRING (9.5358608 48.6146293, 9.5359335 48.6146542, 9.5360043 48.6146891, 9.5360952 48.6147575, 9.5361925 48.6148484)",2,,,,
34551462,Bissinger Straße,tertiary,50,False,False,112.482,K 1252,"LINESTRING (9.5344672 48.6143121, 9.5338882 48.614187, 9.5338276 48.614174, 9.5337363 48.6141552, 9.5330149 48.6139938)",2,,,,
34551462,Bissinger Straße,tertiary,50,False,True,56.518,K 1252,"LINESTRING (9.5344672 48.6143121, 9.5351413 48.6144643, 9.5351912 48.6144818)",2,,,,
1103218120,Baintstraße,residential,30,False,True,86.289,,"LINESTRING (9.5344672 48.6143121, 9.534465 48.6145817, 9.5344637 48.6147377, 9.5344608 48.6150881)",2,,5,,
34551462,Bissinger Straße,tertiary,50,False,True,112.482,K 1252,"LINESTRING (9.5330149 48.6139938, 9.5337363 48.6141552, 9.5338276 48.614174, 9.5338882 48.614187, 9.5344672 48.6143121)",2,,,,
224876895,Untere Rainstraße,residential,50,False,True,32.455,,"LINESTRING (9.5330149 48.6139938, 9.532988 48.6140648, 9.5329252 48.6142795)",,,,,
26130457,Ludwigstraße,residential,30,False,False,59.263,,"LINESTRING (9.5436946 48.6129417, 9.5434615 48.6124315)",,,,,
34551461,Häringer Straße,secondary,50,False,False,229.049,L 1213,"LINESTRING (9.5436946 48.6129417, 9.5433713 48.6129953, 9.543309 48.613, 9.543123 48.6130142, 9.542847 48.6130044, 9.5426272 48.6129809, 9.5424138 48.6129286, 9.5422912 48.6129065, 9.5420788 48.6128681, 9.5418102 48.6128815, 9.541572 48.6129256, 9.5410611 48.6130316, 9.5406826 48.6131292)",,,,,
28881679,Hegelstraße,residential,30,False,False,69.301,,"LINESTRING (9.5317706 48.6188355, 9.5320316 48.6192391, 9.5321393 48.6194091)",,,,,
"[186512492, 199094757]",Kirchheimer Straße,residential,"['50', '30']",False,False,150.01,,"LINESTRING (9.5317706 48.6188355, 9.531989 48.618774, 9.5321291 48.6187345, 9.5323435 48.6186533, 9.5326909 48.6184996, 9.5334893 48.6181172)",,,,,
