osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,bridge,access
202951922,Untere Burgbergstraße,unclassified,50,False,False,75.872,"LINESTRING (11.0661616 50.1413272, 11.0662132 50.1414431, 11.0665458 50.1419629)",,,,
"[502427008, 502427007]",Elisabethenstraße,residential,50,False,False,51.18,"LINESTRING (11.0661616 50.1413272, 11.0660648 50.1413586, 11.0657671 50.1414876, 11.065556 50.1415738)",,,,
202951922,Untere Burgbergstraße,unclassified,50,False,True,8.981,"LINESTRING (11.0669489 50.1424091, 11.0668953 50.142336)",,,,
"[171659611, 574785374, 574785375]",Langheimer Straße,unclassified,50,False,False,61.87,"LINESTRING (11.0669489 50.1424091, 11.0669574 50.1424954, 11.0668293 50.1426926, 11.0666831 50.1429312)","['2', '3']",,,
376784080,Langheimer Straße,residential,50,False,True,17.957,"LINESTRING (11.0669489 50.1424091, 11.0670162 50.14239, 11.0671427 50.1423094)",,,,
574785374,Langheimer Straße,unclassified,50,False,True,73.005,"LINESTRING (11.0663058 50.1435416, 11.0666831 50.1429312)",2,,,
763419367,Langheimer Straße,unclassified,50,False,False,11.837,"LINESTRING (11.0663058 50.1435416, 11.0662663 50.143645)",2,,,
"[28138355, 552989558]",Adolf-Kolping-Straße,residential,30,False,True,294.548,"LINESTRING (11.0663058 50.1435416, 11.0661828 50.1435171, 11.0657355 50.1434396, 11.0654384 50.1433775, 11.0653299 50.1433475, 11.0652311 50.1433212, 11.0651451 50.1432883, 11.06505 50.1432467, 11.0647546 50.1430843, 11.0646819 50.1430463, 11.0645794 50.1430038, 11.0644858 50.1429765, 11.0643826 50.1429527, 11.0640532 50.1428868, 11.0637707 50.1428438, 11.0636805 50.1428326, 11.0636001 50.1428272, 11.0634631 50.1428276, 11.0633776 50.1428282, 11.0633075 50.1428348, 11.0632207 50.1428594, 11.0627219 50.1430357, 11.0625348 50.1430887)",,,,
"[376784065, 8076579, 28138356]","['Bamberger Straße', 'Am Stadtgraben']",residential,50,False,False,293.161,"LINESTRING (11.0618775 50.1445745, 11.0617886 50.1445999, 11.0616842 50.144669, 11.0615971 50.1447445, 11.0615457 50.1448361, 11.0614829 50.1451034, 11.061406 50.1451817, 11.0600631 50.144826, 11.0595206 50.1446823, 11.0592872 50.1446205, 11.0590215 50.1445548, 11.0590045 50.1445506, 11.0589835 50.1445454, 11.0586254 50.1444568)",2,,,
376784062,Am Stadtgraben,residential,50,False,True,28.932,"LINESTRING (11.0618775 50.1445745, 11.0619829 50.1445871, 11.0620771 50.1446218, 11.0622272 50.1446966)",2,,,
