osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,width,access,bridge,ref,junction
75313196,2,Havelberger Straße,tertiary,False,True,50.704,"LINESTRING (12.1738591 53.1506277, 12.173857 53.1507683, 12.1738251 53.1510831)",,,,,,
806931222,,Grünstraße,tertiary,False,False,112.674,"LINESTRING (12.1738591 53.1506277, 12.1740796 53.150622, 12.1755478 53.1505943)",50,,,,,
1093226878,,Havelberger Straße,tertiary,False,False,135.929,"LINESTRING (12.1738591 53.1506277, 12.1738749 53.1505052, 12.1739012 53.1503006, 12.1739836 53.1497444, 12.1740737 53.1494128)",50,,,,,
5489192,,Grünstraße,tertiary,False,False,75.892,"LINESTRING (12.1755478 53.1505943, 12.1759578 53.1505707, 12.176674 53.1504988)",50,,,,,
22953307,,Kirchstraße,residential,False,True,123.31700000000001,"LINESTRING (12.1755478 53.1505943, 12.1755754 53.1500663, 12.1756215 53.1494862)",,,,,,
806931222,,Grünstraße,tertiary,False,True,112.674,"LINESTRING (12.1755478 53.1505943, 12.1740796 53.150622, 12.1738591 53.1506277)",50,,,,,
75312907,,Magazinplatz,tertiary,False,True,17.319,"LINESTRING (12.1806547 53.1499331, 12.1804016 53.149968)",,,,,,
"[72127021, 545863183]",,Bergstraße,tertiary,False,False,70.61500000000001,"LINESTRING (12.1806547 53.1499331, 12.1813751 53.1499361, 12.1817124 53.1499531)",50,,,,,
380393446,,Poststraße,residential,False,False,197.12100000000004,"LINESTRING (12.1806547 53.1499331, 12.1806561 53.1498622, 12.1806534 53.1497255, 12.1806212 53.149526, 12.1805515 53.1491882, 12.1805224 53.1490271, 12.1805086 53.1489501, 12.1804871 53.1488086, 12.1804361 53.1487185, 12.1803637 53.148622, 12.180243 53.1485174, 12.1800338 53.1484064, 12.1798167 53.148338)",,,,,,
1093226877,,Havelberger Straße,tertiary,False,False,51.856,"LINESTRING (12.1744123 53.1483534, 12.1745517 53.1478946)",50,,,,,
1093226877,,Havelberger Straße,tertiary,False,True,57.871,"LINESTRING (12.1744123 53.1483534, 12.1742426 53.1488638)",50,,,,,
22953202,,Schützenstraße,residential,False,False,163.776,"LINESTRING (12.1744123 53.1483534, 12.1759188 53.1484243, 12.1768606 53.1484687)",,,,,,
1093226877,,Havelberger Straße,tertiary,False,False,4.83,"LINESTRING (12.1745517 53.1478946, 12.1745592 53.1478514)",50,,,,,
1093226877,,Havelberger Straße,tertiary,False,True,51.856,"LINESTRING (12.1745517 53.1478946, 12.1744123 53.1483534)",50,,,,,
