osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref,access,bridge,junction
23816930,Austraße,residential,30,6,False,True,111.9,"LINESTRING (11.7948296 50.1903804, 11.7947579 50.1904517, 11.7942228 50.1913072)",,,,,
25599356,Angerstraße,residential,,5,False,True,150.905,"LINESTRING (11.7948296 50.1903804, 11.7947068 50.1903932, 11.7937548 50.1903372, 11.7932359 50.1903027, 11.7927196 50.1902793)",,,,,
27544862,Austraße,secondary,50,,False,True,139.575,"LINESTRING (11.7948296 50.1903804, 11.794809 50.1903191, 11.7949545 50.1899979, 11.7950054 50.1898855, 11.7952861 50.1892474, 11.7953481 50.1891801)",2,St 2461,,,
361918250,Ganghoferstraße,secondary,50,,False,True,233.85,"LINESTRING (11.7948296 50.1903804, 11.7949007 50.1904125, 11.7960135 50.1905112, 11.7967949 50.1905925, 11.7972079 50.1906956, 11.7976103 50.190814, 11.7979547 50.1909399)",,St 2461,,,
724809204,Austraße,secondary,50,,False,True,4.62,"LINESTRING (11.7953481 50.1891801, 11.7953869 50.1891468)",2,St 2461,,,
27544861,Kirchenlamitzer Straße,tertiary,50,,False,False,208.596,"LINESTRING (11.7953481 50.1891801, 11.7952212 50.1891694, 11.7951278 50.1891777, 11.7941158 50.1893634, 11.792547 50.1897009)",,,,,
27544862,Austraße,secondary,50,,False,False,139.57500000000002,"LINESTRING (11.7953481 50.1891801, 11.7952861 50.1892474, 11.7950054 50.1898855, 11.7949545 50.1899979, 11.794809 50.1903191, 11.7948296 50.1903804)",2,St 2461,,,
23816933,Wilhelmstraße,secondary,50,,False,True,77.943,"LINESTRING (11.7928674 50.187722, 11.792901 50.187782, 11.7936305 50.188086, 11.7937481 50.1881128)",,St 2461,,,
27650947,Friedrich-Ebert-Straße,secondary,50,,False,True,100.365,"LINESTRING (11.7928674 50.187722, 11.7928832 50.1876507, 11.7934044 50.1870087, 11.7934105 50.1869506, 11.7933952 50.1869028)",,St 2461,,,
32387447,Wilhelmstraße,residential,50,,False,False,210.815,"LINESTRING (11.7928674 50.187722, 11.7928307 50.1877155, 11.792786 50.1877076, 11.7902829 50.1868)",,,destination,,
