osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,width,tunnel,access,lanes
212397949,Graf-Vieregg-Straße,residential,30,False,True,54.411,,"LINESTRING (11.2801729 47.9085043, 11.2808277 47.908288)",,,,,
1229990143,Hauptstraße,secondary,50,False,False,19.348,St 2063,"LINESTRING (11.2801729 47.9085043, 11.2801553 47.9086779)",,,,,
944064479,Hauptstraße,secondary,50,False,True,74.65100000000001,St 2063,"LINESTRING (11.2801729 47.9085043, 11.2801568 47.9084243, 11.2801202 47.908337, 11.2799869 47.9081786, 11.2796983 47.9079261)",,,,,
25528265,Oskar-Schüler-Straße,residential,30,False,False,63.44199999999999,,"LINESTRING (11.2809673 47.9115631, 11.2806995 47.9115858, 11.2801194 47.9115609)",,,,,
262219963,Hauptstraße,secondary,50,False,False,10.242,St 2063,"LINESTRING (11.2809673 47.9115631, 11.2810283 47.911624, 11.2810455 47.9116388)",,,,,
"[161787088, 925957793]",Hauptstraße,secondary,50,False,True,124.741,St 2063,"LINESTRING (11.2809673 47.9115631, 11.2809435 47.9115349, 11.2809044 47.9114685, 11.2808581 47.9113745, 11.2808313 47.911288, 11.2807805 47.911139, 11.280777 47.9111218, 11.2807462 47.9109712, 11.2807038 47.9107635, 11.2806799 47.9106467, 11.2806423 47.9104675)",,,,,
262219963,Hauptstraße,secondary,50,False,False,91.71199999999999,St 2063,"LINESTRING (11.281616 47.9121065, 11.2817768 47.9122598, 11.2823019 47.9127912)",,,,,
262219963,Hauptstraße,secondary,50,False,True,67.19,St 2063,"LINESTRING (11.281616 47.9121065, 11.2814996 47.9120029, 11.2813621 47.9118922, 11.2810455 47.9116388)",,,,,
5116780,Marienstraße,residential,,False,False,190.608,,"LINESTRING (11.2806423 47.9104675, 11.2808525 47.9104312, 11.2814171 47.910342, 11.281524 47.9103251, 11.2822278 47.9102398, 11.2831573 47.9103088)",,,,,
"[161787088, 925957793]",Hauptstraße,secondary,50,False,False,124.741,St 2063,"LINESTRING (11.2806423 47.9104675, 11.2806799 47.9106467, 11.2807038 47.9107635, 11.2807462 47.9109712, 11.280777 47.9111218, 11.2807805 47.911139, 11.2808313 47.911288, 11.2808581 47.9113745, 11.2809044 47.9114685, 11.2809435 47.9115349, 11.2809673 47.9115631)",,,,,
161787088,Hauptstraße,secondary,50,False,True,52.144000000000005,St 2063,"LINESTRING (11.2806423 47.9104675, 11.2805953 47.9102739, 11.2805344 47.9100937, 11.2804878 47.9100114)",,,,,
161787088,Hauptstraße,secondary,50,False,False,8.315,St 2063,"LINESTRING (11.2804528 47.9099404, 11.2804878 47.9100114)",,,,,
"[5116794, 1245846775]",Schloßstraße,residential,30,False,False,42.234,,"LINESTRING (11.2804528 47.9099404, 11.2805564 47.9099248, 11.2807778 47.9098976, 11.2810093 47.9098691)",,,,,
"[914202653, 1245849357]",Hauptstraße,secondary,50,False,True,55.591,St 2063,"LINESTRING (11.2804528 47.9099404, 11.280395 47.9098227, 11.2803917 47.9098111, 11.2803504 47.909667, 11.2802995 47.9094522)",,,,,
5116802,Leidlstraße,residential,30,False,False,50.723,,"LINESTRING (11.2810093 47.9098691, 11.2810105 47.9099941, 11.2808696 47.9103115)",,,,,
1245846774,Schloßstraße,residential,30,False,False,35.559,,"LINESTRING (11.2810093 47.9098691, 11.2812161 47.9098017, 11.2814477 47.9097439)",,,,,
"[5116794, 1245846775]",Schloßstraße,residential,30,False,True,42.234,,"LINESTRING (11.2810093 47.9098691, 11.2807778 47.9098976, 11.2805564 47.9099248, 11.2804528 47.9099404)",,,,,
5116859,Pommernstraße,residential,30,False,False,35.187,,"LINESTRING (11.2742976 47.9053836, 11.2739055 47.9055598)",,,,,
5116858,Bräuhausstraße,residential,,True,False,112.179,,"LINESTRING (11.2742976 47.9053836, 11.274104 47.9052661, 11.2737879 47.9050473, 11.2736705 47.9049725, 11.2733284 47.9047371, 11.2732382 47.9046678)",,,,,
907330907,Bahnhofstraße,residential,30,False,False,33.21,,"LINESTRING (11.2745804 47.9082037, 11.275009 47.9081221)",,,,,
24388562,Heinrich-Vogl-Straße,residential,30,False,False,30.081,,"LINESTRING (11.2745804 47.9082037, 11.2744927 47.9082902, 11.2744559 47.9083699, 11.2744539 47.9084524)",,,,,
683693615,Bahnhofstraße,residential,30,False,True,36.352000000000004,,"LINESTRING (11.2745804 47.9082037, 11.2744797 47.9082097, 11.2743572 47.9081978, 11.2742728 47.9081683, 11.2741456 47.9080951)",,,,,
25189766,Heinrich-Vogl-Straße,residential,,False,False,45.897,,"LINESTRING (11.2741456 47.9080951, 11.2744539 47.9084524)",,,,,
683693615,Bahnhofstraße,residential,30,False,False,36.352000000000004,,"LINESTRING (11.2741456 47.9080951, 11.2742728 47.9081683, 11.2743572 47.9081978, 11.2744797 47.9082097, 11.2745804 47.9082037)",,,,,
"[914202697, 504979457]",Bahnhofstraße,residential,30,False,True,120.589,,"LINESTRING (11.2741456 47.9080951, 11.2739911 47.9078644, 11.2738958 47.9077179, 11.2738192 47.9076001, 11.2736923 47.9074063, 11.273674 47.9073775, 11.2736646 47.9073631, 11.2735841 47.9072396, 11.2734946 47.9071023)",,,,,
"[914202696, 7921956, 261857102]",Bahnhofstraße,residential,30,False,False,143.449,,"LINESTRING (11.2734946 47.9071023, 11.2734814 47.9070636, 11.2732287 47.9066599, 11.2731678 47.9065951, 11.2731442 47.9065762, 11.2731012 47.9065661, 11.2730419 47.9065856, 11.2730206 47.9066005, 11.273063 47.9066742, 11.2732063 47.9068942, 11.2732901 47.9070179, 11.2733786 47.9070538, 11.2734946 47.9071023)",,,,,
"[914202696, 7921956, 261857102]",Bahnhofstraße,residential,30,False,True,143.449,,"LINESTRING (11.2734946 47.9071023, 11.2733786 47.9070538, 11.2732901 47.9070179, 11.2732063 47.9068942, 11.273063 47.9066742, 11.2730206 47.9066005, 11.2730419 47.9065856, 11.2731012 47.9065661, 11.2731442 47.9065762, 11.2731678 47.9065951, 11.2732287 47.9066599, 11.2734814 47.9070636, 11.2734946 47.9071023)",,,,,
"[914202697, 504979457]",Bahnhofstraße,residential,30,False,False,120.589,,"LINESTRING (11.2734946 47.9071023, 11.2735841 47.9072396, 11.2736646 47.9073631, 11.273674 47.9073775, 11.2736923 47.9074063, 11.2738192 47.9076001, 11.2738958 47.9077179, 11.2739911 47.9078644, 11.2741456 47.9080951)",,,,,
1229990143,Hauptstraße,secondary,50,False,True,19.348,St 2063,"LINESTRING (11.2801553 47.9086779, 11.2801729 47.9085043)",,,,,
34851039,Hallbergerallee,residential,,True,False,245.209,,"LINESTRING (11.2801553 47.9086779, 11.2798274 47.9086611, 11.2796119 47.9086638, 11.279417 47.9086801, 11.2792749 47.9086971, 11.2791887 47.9086852, 11.2790821 47.9086706, 11.2790078 47.9086583, 11.2786884 47.9086053, 11.2783715 47.9085283, 11.2780045 47.9084391, 11.2777838 47.9083652, 11.2774114 47.9082673, 11.2771758 47.9082127, 11.2770313 47.9081421)",,,,,
640111683,Hauptstraße,secondary,50,False,False,86.789,St 2063,"LINESTRING (11.2801553 47.9086779, 11.2802058 47.9090185, 11.280281 47.9093749, 11.2802995 47.9094522)",,,,,
"[836365243, 907296598]",Bahnhofstraße,residential,30,False,False,178.999,,"LINESTRING (11.2770313 47.9081421, 11.2774037 47.9080826, 11.2777579 47.907971, 11.2779403 47.9079136, 11.2782966 47.9078011, 11.2783943 47.9077663, 11.2785964 47.9076943, 11.2787639 47.9076347, 11.2788851 47.907587, 11.2791919 47.9074579)",,,,,
1229990144,Bahnhofstraße,residential,30,False,True,23.601,,"LINESTRING (11.2770313 47.9081421, 11.2769577 47.9081467, 11.276715 47.9081447)",,,,,
907330907,Bahnhofstraße,residential,30,False,True,33.21,,"LINESTRING (11.275009 47.9081221, 11.2745804 47.9082037)",,,,,
262072243,Bahnhofstraße,residential,30,False,False,127.469,,"LINESTRING (11.275009 47.9081221, 11.2752243 47.9081003, 11.2756882 47.9081188, 11.2760056 47.9081217, 11.2760406 47.9081228, 11.2760792 47.9081237, 11.2764137 47.9081361, 11.276715 47.9081447)",,,,,
"[5116858, 402515747]",Bräuhausstraße,residential,30,True,False,212.17299999999997,,"LINESTRING (11.275009 47.9081221, 11.2747311 47.9076648, 11.2747103 47.9076305, 11.2746549 47.9074824, 11.2746538 47.9073226, 11.2746924 47.9071732, 11.2747691 47.9070233, 11.2747879 47.9069214, 11.274797 47.9068684, 11.2747917 47.9067345, 11.2747811 47.9066174, 11.2747646 47.906434, 11.2747455 47.9062708)",,,,,
262072243,Bahnhofstraße,residential,30,False,True,127.46900000000001,,"LINESTRING (11.276715 47.9081447, 11.2764137 47.9081361, 11.2760792 47.9081237, 11.2760406 47.9081228, 11.2760056 47.9081217, 11.2756882 47.9081188, 11.2752243 47.9081003, 11.275009 47.9081221)",,,,,
"[911577658, 315329563, 315329564]",Kirchenstraße,residential,30,False,True,147.839,,"LINESTRING (11.276715 47.9081447, 11.2767528 47.9084617, 11.276807 47.908982, 11.2768176 47.9090781, 11.2768226 47.9091912, 11.276831 47.9094716)",yes,,,,
1229990144,Bahnhofstraße,residential,30,False,False,23.601,,"LINESTRING (11.276715 47.9081447, 11.2769577 47.9081467, 11.2770313 47.9081421)",,,,,
24388217,Kirchenstraße,residential,30,False,False,119.0,,"LINESTRING (11.2784091 47.9112881, 11.2782169 47.9112586, 11.2777337 47.9111565, 11.2776034 47.9111065, 11.2775264 47.911053, 11.2774434 47.9109444, 11.277285 47.9107104, 11.27726 47.9106692)",,,,,
"[24388602, 24388603]",Traubinger Straße,residential,30,False,True,205.412,,"LINESTRING (11.2784091 47.9112881, 11.2779834 47.9116261, 11.2778051 47.9117677, 11.2772098 47.9122487, 11.2770656 47.9123805, 11.2768755 47.9125542, 11.2767005 47.9127354)",,,,,
25528265,Oskar-Schüler-Straße,residential,30,False,True,131.228,,"LINESTRING (11.2784091 47.9112881, 11.2790108 47.9114152, 11.2795066 47.9114859, 11.2801194 47.9115609)",,,,,
167321102,Traubinger Straße,residential,30,True,False,214.032,,"LINESTRING (11.2784091 47.9112881, 11.2784922 47.9112223, 11.2790481 47.9107817, 11.2794375 47.9104731, 11.2796084 47.9103304, 11.2798418 47.9102097, 11.2799321 47.9101748, 11.2803642 47.910042, 11.2804878 47.9100114)",,,,,
24388218,Kustermannstraße,residential,,False,True,79.767,,"LINESTRING (11.2763165 47.9110062, 11.276499 47.910926, 11.27726 47.9106692)",,,,,
24388219,Hörmannstraße,residential,,False,False,163.43,,"LINESTRING (11.2763165 47.9110062, 11.2759848 47.9105918, 11.2758222 47.9103002, 11.2757617 47.9100617, 11.2757479 47.9100072, 11.2757361 47.9099606, 11.2756506 47.9096217)",,,,,
24388219,Hörmannstraße,residential,,False,True,163.43,,"LINESTRING (11.2756506 47.9096217, 11.2757361 47.9099606, 11.2757479 47.9100072, 11.2757617 47.9100617, 11.2758222 47.9103002, 11.2759848 47.9105918, 11.2763165 47.9110062)",,,,,
"[911577657, 24388220]",Hörmannstraße,residential,,False,False,89.666,,"LINESTRING (11.2756506 47.9096217, 11.2763485 47.9095141, 11.2764997 47.9095024, 11.2766072 47.9094936, 11.2767405 47.9094837, 11.276831 47.9094716)",,,,,
24388220,Hörmannstraße,residential,,False,True,24.859,,"LINESTRING (11.2756506 47.9096217, 11.275463 47.9096608, 11.2753279 47.9096763)",,,,,
1230725141,Kirchenstraße,residential,30,False,True,14.963,,"LINESTRING (11.276831 47.9094716, 11.2768524 47.9096054)",,,,,
"[911577657, 24388220]",Hörmannstraße,residential,,False,True,89.666,,"LINESTRING (11.276831 47.9094716, 11.2767405 47.9094837, 11.2766072 47.9094936, 11.2764997 47.9095024, 11.2763485 47.9095141, 11.2756506 47.9096217)",,,,,
"[911577658, 315329563, 315329564]",Kirchenstraße,residential,30,False,False,147.839,,"LINESTRING (11.276831 47.9094716, 11.2768226 47.9091912, 11.2768176 47.9090781, 11.276807 47.908982, 11.2767528 47.9084617, 11.276715 47.9081447)",yes,,,,
911888192,Heinrich-Vogl-Straße,residential,30,False,False,103.49000000000001,,"LINESTRING (11.2758854 47.9119825, 11.2760817 47.9121742, 11.276194 47.9122838, 11.2763585 47.9124444, 11.2767005 47.9127354)",,4,,,
911888192,Heinrich-Vogl-Straße,residential,30,False,True,100.80600000000001,,"LINESTRING (11.2758854 47.9119825, 11.2756681 47.9117465, 11.2755486 47.9115929, 11.2755204 47.9115505, 11.2752729 47.911176)",,4,,,
25188454,Beringerweg,residential,,False,False,24.454,,"LINESTRING (11.2743937 47.9098715, 11.2742 47.909694)",,4,,,
