osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,access
25718479,2,B 109,Beethovenplatz,primary,50,False,True,65.101,"LINESTRING (13.4983723 53.1172656, 13.4984884 53.1172293, 13.4985219 53.1172204, 13.4985694 53.1172087, 13.4989503 53.1171154, 13.4990439 53.1170975, 13.4990711 53.1170925, 13.499282 53.1170582)",,,
"[313161532, 582658324]","['2', '3']",L 216,Vietmannsdorfer Straße,secondary,50,False,True,219.56499999999997,"LINESTRING (13.4983723 53.1172656, 13.4983147 53.1171746, 13.4983116 53.1171601, 13.4983002 53.1171059, 13.4982989 53.1170904, 13.498328 53.1168606, 13.4983918 53.1164137, 13.4985383 53.115662, 13.49859 53.1154261, 13.4986012 53.1153751, 13.4986171 53.1153085)",,,
409703187,2,B 109,Beethovenplatz,primary,50,False,False,32.351,"LINESTRING (13.4983723 53.1172656, 13.4982077 53.1173271, 13.498186 53.1173352, 13.4981798 53.1173375, 13.4980469 53.1173875, 13.4980032 53.1173972, 13.4979496 53.1174034)",,,
25718479,2,B 109,Beethovenplatz,primary,50,False,False,65.101,"LINESTRING (13.499282 53.1170582, 13.4990711 53.1170925, 13.4990439 53.1170975, 13.4989503 53.1171154, 13.4985694 53.1172087, 13.4985219 53.1172204, 13.4984884 53.1172293, 13.4983723 53.1172656)",,,
220332391,,,Puschkinstraße,residential,30,False,True,92.463,"LINESTRING (13.499282 53.1170582, 13.4993182 53.1171255, 13.4993508 53.1171681, 13.4994751 53.117289, 13.4998031 53.1176021, 13.499981 53.1177736)",7.7,,
"[453696311, 313161518, 458253455, 458253456, 499792337, 99363186, 313161527, 99363192]","['2', '3']",B 109,Prokopiusstraße,primary,50,False,True,293.67999999999995,"LINESTRING (13.499282 53.1170582, 13.4995083 53.1170214, 13.499546 53.1170157, 13.4996948 53.1169993, 13.4997978 53.1169917, 13.4998575 53.1169875, 13.5000291 53.1169793, 13.5002304 53.1169766, 13.5004208 53.1169822, 13.5005865 53.1169898, 13.5012004 53.1170368, 13.5015024 53.1170585, 13.501749 53.1170747, 13.5022046 53.117109, 13.5025035 53.1171298, 13.5026409 53.1171416, 13.5027503 53.117151, 13.5030508 53.1171804, 13.5033305 53.1172164, 13.5034988 53.117246, 13.5036242 53.1172765)",,,
382239047,,,Bahnhofstraße,residential,50,False,True,18.911,"LINESTRING (13.4979496 53.1174034, 13.497962 53.1174707, 13.4979841 53.1175722)",,,
409703187,2,B 109,Beethovenplatz,primary,50,False,True,32.351,"LINESTRING (13.4979496 53.1174034, 13.4980032 53.1173972, 13.4980469 53.1173875, 13.4981798 53.1173375, 13.498186 53.1173352, 13.4982077 53.1173271, 13.4983723 53.1172656)",,,
25659073,,,Gartenstraße,residential,30,False,False,131.799,"LINESTRING (13.5029425 53.1162003, 13.5035043 53.1167906, 13.5036727 53.1171153, 13.5036657 53.1171979, 13.5036621 53.1172075, 13.5036511 53.1172363, 13.5036242 53.1172765)",,,
25659073,,,Gartenstraße,residential,30,False,True,131.799,"LINESTRING (13.5036242 53.1172765, 13.5036511 53.1172363, 13.5036621 53.1172075, 13.5036657 53.1171979, 13.5036727 53.1171153, 13.5035043 53.1167906, 13.5029425 53.1162003)",,,
