osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,width,lanes
9782991,Bröhnweg,residential,30,False,False,49.814,"LINESTRING (9.5657686 52.2729302, 9.5655956 52.2728725, 9.5650999 52.2727492)",,,,
19746029,Bährenkampstraße,residential,30,False,False,294.43199999999996,"LINESTRING (9.5657686 52.2729302, 9.5668928 52.2733829, 9.5671465 52.2735288, 9.5674611 52.2738609, 9.5676556 52.2740139, 9.5679888 52.2741683, 9.5686591 52.2744455, 9.5688744 52.2744759, 9.5691156 52.274481)",,,,
"[600444356, 600444357, 64666823, 227603825, 193603002]",Hauptstraße,residential,30,False,False,172.875,"LINESTRING (9.5657686 52.2729302, 9.5658745 52.2728592, 9.5659129 52.2728332, 9.5659942 52.2727746, 9.5661036 52.2726957, 9.5661321 52.2726752, 9.5662862 52.2725746, 9.5663479 52.2725344, 9.5665139 52.2724285, 9.5666826 52.2723209, 9.5667166 52.2722992, 9.5668075 52.2722333, 9.5669726 52.2721076, 9.5671327 52.2719361, 9.5672489 52.2718421, 9.5673256 52.2717992, 9.5674367 52.2717792)",,,,
64666823,Hauptstraße,residential,30,False,True,153.404,"LINESTRING (9.5657686 52.2729302, 9.5655069 52.2731733, 9.5651599 52.2735143, 9.5648445 52.2738575, 9.5647474 52.273993, 9.5646707 52.2741303)",,,,
9782991,Bröhnweg,residential,30,False,True,78.688,"LINESTRING (9.5641238 52.2723721, 9.5641836 52.2723968, 9.5648038 52.2726577, 9.5650999 52.2727492)",,,,
25361280,Ahlerstraße,residential,30,False,True,220.796,"LINESTRING (9.5641238 52.2723721, 9.5639982 52.2725352, 9.5632293 52.2734644, 9.5626694 52.2741471)",,,,
731096531,Bröhnweg,residential,30,False,False,70.009,"LINESTRING (9.5641238 52.2723721, 9.5636468 52.2721811, 9.5632591 52.2720309)",,,,
245756623,Poppenburger Straße,residential,30,False,False,42.369,"LINESTRING (9.5625542 52.2745255, 9.5626313 52.2741474)",,,,
110335984,Gaußweg,residential,,False,True,52.974000000000004,"LINESTRING (9.5625542 52.2745255, 9.5630522 52.2745635, 9.5633283 52.2745751)",,,,
227579255,Kopernikusweg,residential,,False,False,74.281,"LINESTRING (9.5625542 52.2745255, 9.5621058 52.2744874, 9.5617322 52.2744248, 9.5614813 52.2744371)",,,,
