osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,access,width,junction
22771860,False,Lübzower Straße,residential,30,True,108.594,"LINESTRING (11.8701608 53.080229, 11.8701058 53.0801639, 11.8694248 53.0793582)",,,,,
4725885,False,Pritzwalker Straße,tertiary,50,True,60.164,"LINESTRING (11.8694308 53.0765017, 11.8688553 53.0760855)",2,,,,
"[22762066, 719034003]",False,Ritterstraße,residential,30,False,372.04200000000003,"LINESTRING (11.8694308 53.0765017, 11.869884 53.0762851, 11.8700156 53.076106, 11.8699809 53.0756656, 11.8695184 53.0748987, 11.8692318 53.0744428, 11.8691013 53.0743331, 11.8687813 53.0740638, 11.8686768 53.0739759, 11.8684331 53.0737708, 11.8682081 53.0735816)",,,,,
4725885,False,Pritzwalker Straße,tertiary,50,False,60.164,"LINESTRING (11.8688553 53.0760855, 11.8694308 53.0765017)",2,,,,
4725885,False,Pritzwalker Straße,tertiary,50,True,65.579,"LINESTRING (11.8688553 53.0760855, 11.8682313 53.0756302)",2,,,,
383172095,False,Lübzower Straße,residential,30,False,235.54700000000003,"LINESTRING (11.8688553 53.0760855, 11.8687542 53.0761795, 11.8683867 53.0768312, 11.8683278 53.0771687, 11.8683065 53.0772904, 11.8683092 53.0776819, 11.8684237 53.0781419)",,,,,
4725886,False,Wilsnacker Straße,tertiary,50,False,42.603,"LINESTRING (11.8642125 53.072761, 11.8638212 53.0726227, 11.8636604 53.0725693)",2,,,,
"[1222905220, 4725886]",False,Wilsnacker Straße,tertiary,50,True,190.70700000000002,"LINESTRING (11.8642125 53.072761, 11.8644005 53.072828, 11.8649071 53.0730093, 11.8651892 53.0731437, 11.8656448 53.0735781, 11.8658979 53.0738753, 11.8660329 53.07402)",2,,,,
22762068,False,Karlstraße,residential,,False,108.309,"LINESTRING (11.8642125 53.072761, 11.8642627 53.0727197, 11.8644352 53.0725781, 11.8654214 53.0721225)",,,,,
1222905767,False,Wilsnacker Straße,tertiary,50,False,46.992,"LINESTRING (11.8636604 53.0725693, 11.8630585 53.0723506)",2,,,,
4725886,False,Wilsnacker Straße,tertiary,50,True,42.603,"LINESTRING (11.8636604 53.0725693, 11.8638212 53.0726227, 11.8642125 53.072761)",2,,,,
22762062,False,Ziegelhof,living_street,,False,130.448,"LINESTRING (11.8636604 53.0725693, 11.8636101 53.0726276, 11.8634679 53.0727766, 11.8630356 53.073104, 11.8625779 53.0732025, 11.8622274 53.0732838)",,,,,
1222905767,False,Wilsnacker Straße,tertiary,50,True,46.992,"LINESTRING (11.8630585 53.0723506, 11.8636604 53.0725693)",2,,,,
22762063,False,Ziegelstraße,living_street,,False,142.67499999999998,"LINESTRING (11.8630585 53.0723506, 11.8629419 53.0724072, 11.8619251 53.0729708, 11.8622274 53.0732838)",,,,,
201659535,False,Wittenberger Straße,residential,,False,17.647,"LINESTRING (11.8564034 53.0737943, 11.8564868 53.07387, 11.8565493 53.0739266)",,,,,
201659535,False,Wittenberger Straße,residential,,False,36.042,"LINESTRING (11.8566788 53.0740772, 11.8569067 53.074371)",,,,,
201659535,False,Wittenberger Straße,residential,,True,18.849,"LINESTRING (11.8566788 53.0740772, 11.8565493 53.0739266)",,,,,
388137630,False,Beguinenstraße,living_street,,False,132.10399999999998,"LINESTRING (11.8566788 53.0740772, 11.8570452 53.0739723, 11.8574138 53.0739633, 11.8579523 53.0740018, 11.8584936 53.0742291)",,,,,
