osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,width,lanes,ref
"[1118398321, 24390178, 459125030]",Topplerweg,residential,30,False,False,47.504,"LINESTRING (10.1848338 49.3764349, 10.1848135 49.3764183, 10.1847557 49.3763711, 10.1846737 49.3763274, 10.1846191 49.3762561, 10.1844842 49.3760798)",,,,,
"[144222752, 459125031, 1118428405, 1118428406, 1118398326]",Ansbacher Straße,residential,50,False,False,68.955,"LINESTRING (10.1848338 49.3764349, 10.1848764 49.3764198, 10.184948 49.3763986, 10.1853231 49.3762874, 10.1856108 49.3762051, 10.1856629 49.3761955, 10.1857059 49.3761875)",,,,,
"[1126572783, 24248306, 666131700, 195577493, 195577494, 195577495, 195577496, 195577497]",Rödergasse,residential,20,False,False,129.858,"LINESTRING (10.1848338 49.3764349, 10.1847983 49.3764492, 10.1847769 49.3764578, 10.1846867 49.3764997, 10.184587 49.3765727, 10.1845373 49.3766105, 10.1844716 49.3766564, 10.1844161 49.3766953, 10.1841749 49.3767962, 10.1840354 49.3768431, 10.1839254 49.3768802, 10.1839088 49.3768862, 10.1836785 49.3769631, 10.1835081 49.3770079, 10.1833337 49.3770428)",yes,building_passage,6,,
25089803,Leydigstraße,residential,50,False,False,27.911,"LINESTRING (10.1842699 49.3757149, 10.1843407 49.3756861, 10.1844739 49.3755096)",,,,,
24249270,Alter Keller,living_street,,False,False,15.334,"LINESTRING (10.1795897 49.3759152, 10.179775 49.375982)",,,,,
25019000,Untere Schmiedgasse,living_street,,False,False,29.71,"LINESTRING (10.1795897 49.3759152, 10.1797067 49.3756591)",,,3.6,,
25019002,Obere Schmiedgasse,living_street,,False,True,109.054,"LINESTRING (10.1795897 49.3759152, 10.1792881 49.3768663, 10.1792845 49.3768756)",,,5,,
37061874,Burggasse,living_street,,False,False,60.927,"LINESTRING (10.1795897 49.3759152, 10.1793275 49.3758452, 10.1792277 49.3758179, 10.1788179 49.375697)",,,,,
1128025860,Galgengasse,residential,20,False,False,25.513,"LINESTRING (10.1813691 49.3785641, 10.1810617 49.3784519)",,,6.4,,
"[1128025865, 1128026426, 25018999]",Förstersgäßchen,living_street,,False,False,89.624,"LINESTRING (10.1813691 49.3785641, 10.1813277 49.3786098, 10.1810966 49.3788655, 10.1808828 49.3791251, 10.1808559 49.3791622, 10.1807767 49.3792713)",,,,,
"[1131552801, 25908562]",Galgengasse,residential,20,False,True,108.535,"LINESTRING (10.1813691 49.3785641, 10.1818004 49.3787248, 10.1820458 49.3788154, 10.1824052 49.378957, 10.182667 49.3790525)",,,,,
195741735,Galgengasse,residential,20,False,False,5.623,"LINESTRING (10.1827346 49.3790774, 10.182667 49.3790525)",,,,,
