osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge
567071105,K 29,Rathausstraße,tertiary,30,False,False,38.404,"LINESTRING (10.1347516 54.3229191, 10.134889 54.3228365, 10.1350644 54.3228043, 10.1351747 54.3227841, 10.1352699 54.3227874)",,,
"[12312993, 18628130, 602821257, 1105178186, 1105178187]",,"['Rathausplatz', 'Willestraße', 'Fleethörn']",residential,30,False,False,308.29699999999997,"LINESTRING (10.1347516 54.3229191, 10.1346221 54.3228549, 10.1345866 54.3228353, 10.1336469 54.322317, 10.1335848 54.3222828, 10.1335607 54.3222468, 10.1335781 54.3222042, 10.1337892 54.3220586, 10.1338436 54.3220228, 10.1339499 54.321953, 10.1343667 54.3216687, 10.1345371 54.3216106, 10.134602 54.3216185, 10.1346809 54.3216603, 10.1348375 54.3219052, 10.1351425 54.3223549, 10.1352002 54.32244)",2,5,
"[980574080, 567071106, 644599299, 644599304, 1150155209, 1150155208, 111642317, 983018713]",K 29,Rathausstraße,tertiary,30,False,True,225.193,"LINESTRING (10.1347516 54.3229191, 10.1344076 54.3231259, 10.1343632 54.323152, 10.1341817 54.3232589, 10.1339971 54.3233795, 10.1339055 54.3234393, 10.1337105 54.3235596, 10.1336005 54.3236275, 10.133445 54.3236918, 10.1332694 54.3237091, 10.1330749 54.3236863, 10.1329145 54.3236025, 10.1328335 54.3235603, 10.1327459 54.3235179, 10.1325529 54.3234176, 10.132369 54.323317, 10.1323341 54.3232981, 10.1322304 54.3232416, 10.1321619 54.3232043)","['2', '3']",13,
268302767,,Kleiner Kuhberg,residential,30,True,False,8.946,"LINESTRING (10.1324119 54.3209587, 10.1322861 54.3209917)",1,,
268302787,,Waisenhofstraße,residential,30,True,False,19.224,"LINESTRING (10.1324119 54.3209587, 10.132459 54.3210266, 10.1324791 54.3210766, 10.132472 54.3211247)",1,,
"[564239238, 836093167]",,Dänische Straße,unclassified,,False,False,90.48499999999999,"LINESTRING (10.1431903 54.3255442, 10.1430282 54.3254191, 10.1427857 54.3252344, 10.1425943 54.3250921, 10.1424582 54.3250022, 10.142361 54.3249674, 10.1422667 54.3249523)","['2', '3']",,
12570848,,Klosterkirchhof,residential,30,False,False,79.507,"LINESTRING (10.1387325 54.325276, 10.138991 54.3247331, 10.139022 54.3245826)",,4.5,
701669333,,Jensendamm,residential,,False,False,62.076,"LINESTRING (10.1387325 54.325276, 10.1392088 54.3253296, 10.1396798 54.3253491)",,8,
701669333,,Jensendamm,residential,,False,True,79.319,"LINESTRING (10.1387325 54.325276, 10.1380924 54.3251808, 10.1379429 54.3251488, 10.1375643 54.3250677)",,8,
"[881936576, 67153461, 881936575]",,Küterstraße,residential,20,False,True,92.388,"LINESTRING (10.136366 54.3248026, 10.1365054 54.3245234, 10.1366081 54.3244139, 10.1367835 54.3242964, 10.1368119 54.324277, 10.1370799 54.3241029)",2,,
