osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,lanes
23008448,St 2117,Tettenweiser Straße,secondary,50,False,True,19.739,"LINESTRING (13.3058881 48.4045285, 13.3059873 48.4044535, 13.3060747 48.4044018)",,,
28378909,,,secondary,50,True,False,23.005000000000003,"LINESTRING (13.3058881 48.4045285, 13.3059348 48.4045559, 13.3059647 48.4045922, 13.3059743 48.4046331, 13.3059623 48.4046737, 13.3059303 48.4047092)",roundabout,,
23008449,St 2117,Klosterstraße,secondary,50,False,True,83.319,"LINESTRING (13.3103095 48.4035173, 13.3104348 48.403368, 13.3105742 48.4031305, 13.3107011 48.4028339, 13.3107073 48.4028193)",,,
412519158,,Tettenweiser Straße,unclassified,50,False,False,76.98400000000001,"LINESTRING (13.3103095 48.4035173, 13.3110289 48.4038596, 13.3111662 48.4039112)",,,
571693048,St 2117,Tettenweiser Straße,secondary,50,False,False,66.137,"LINESTRING (13.3103095 48.4035173, 13.3101474 48.4036555, 13.3099045 48.403792, 13.3096273 48.4038897)",,,
"[28378914, 23008451]",St 2117,"['Simbacher Straße', 'Kirchplatz']",secondary,50,False,False,43.550000000000004,"LINESTRING (13.3109784 48.4011187, 13.3109703 48.4014269, 13.310964 48.4015102)",,,
28378914,St 2117,Simbacher Straße,secondary,50,False,True,113.542,"LINESTRING (13.3109784 48.4011187, 13.3109531 48.4009285, 13.310902 48.4007585, 13.310827 48.4006306, 13.3107493 48.4005597, 13.3104809 48.4003727, 13.3104057 48.4002886, 13.3103932 48.4002133)",,,
28378914,St 2117,Simbacher Straße,secondary,50,False,False,113.54199999999999,"LINESTRING (13.3103932 48.4002133, 13.3104057 48.4002886, 13.3104809 48.4003727, 13.3107493 48.4005597, 13.310827 48.4006306, 13.310902 48.4007585, 13.3109531 48.4009285, 13.3109784 48.4011187)",,,
28378914,St 2117,Simbacher Straße,secondary,50,False,True,85.014,"LINESTRING (13.3103932 48.4002133, 13.3104589 48.4000785, 13.3105735 48.3998526, 13.3106315 48.3997412, 13.3106875 48.3996548, 13.3107875 48.3994955)",,,
571693044,PA 64,Berger Straße,tertiary,50,False,True,60.694,"LINESTRING (13.3103932 48.4002133, 13.3103497 48.4002937, 13.3102664 48.4003957, 13.3100769 48.4005779, 13.3099532 48.4006694)",,,
