osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel,lanes,bridge
23732842,Lindauer Straße,tertiary,50,False,False,12.675,"LINESTRING (10.8284648 48.2661734, 10.8285716 48.2662625)",,,,
23649938,Vogelberg,residential,50,False,True,106.34699999999998,"LINESTRING (10.8284648 48.2661734, 10.8280433 48.2663815, 10.8279742 48.2664156, 10.8277909 48.266506, 10.8276213 48.2665897, 10.8274879 48.2666556, 10.827381 48.2667112, 10.8273113 48.2667435)",,,,
23732842,Lindauer Straße,tertiary,50,False,True,123.23200000000001,"LINESTRING (10.8284648 48.2661734, 10.8283573 48.2660773, 10.8283281 48.2660513, 10.8281748 48.2659143, 10.8279395 48.2656856, 10.8278793 48.2656271, 10.8277859 48.2655363, 10.8277408 48.2654925, 10.8275634 48.26532, 10.8275084 48.2652665)",,,,
380421285,Hochstraße,tertiary,30,True,False,12.734000000000002,"LINESTRING (10.8355714 48.2720431, 10.8355445 48.2720497, 10.8355159 48.2720507, 10.8354881 48.2720459, 10.8354637 48.2720359, 10.8354448 48.2720216, 10.8354332 48.2720041)",roundabout,,,
29348477,Hochstraße,tertiary,30,False,False,127.67200000000001,"LINESTRING (10.833855 48.2703978, 10.8339714 48.270503, 10.8340935 48.2706133, 10.8341807 48.2707101, 10.8341958 48.2707399, 10.8343695 48.2709062, 10.8344237 48.2709497, 10.8344658 48.2709835, 10.8346089 48.2710682, 10.8346946 48.2711492, 10.834873 48.2713184)",,,,
29348477,Hochstraße,tertiary,30,False,True,110.806,"LINESTRING (10.833855 48.2703978, 10.8337121 48.2702847, 10.8335992 48.2701954, 10.8334636 48.2700881, 10.8333806 48.2700217, 10.8332465 48.2699145, 10.8331246 48.2698186, 10.8330834 48.2697862, 10.8329767 48.2696995, 10.8328919 48.2696349)",,,,
29874471,Zehentweg,residential,50,False,False,127.292,"LINESTRING (10.833855 48.2703978, 10.8336029 48.2705057, 10.8332692 48.2706485, 10.8331933 48.270681, 10.8331054 48.2707186, 10.8328025 48.2708482, 10.8327247 48.2708815, 10.8325807 48.2709431, 10.8324132 48.2710217)",,,,
23739891,Hochstraße,tertiary,30,False,True,10.012,"LINESTRING (10.8328919 48.2696349, 10.8327931 48.2695734)",,,,
"[23737605, 23737663]","['Pestalozzistraße', 'Rathausstraße']",residential,30,False,"[False, True]",174.957,"LINESTRING (10.8328919 48.2696349, 10.8336162 48.2692909, 10.8336351 48.2692819, 10.8336679 48.2692362, 10.8336629 48.2691785, 10.8334472 48.2689875, 10.8332581 48.26882, 10.8332428 48.2688011, 10.8331991 48.2687628, 10.8329041 48.2684862)",,,,
29348477,Hochstraße,tertiary,30,False,False,110.80599999999998,"LINESTRING (10.8328919 48.2696349, 10.8329767 48.2696995, 10.8330834 48.2697862, 10.8331246 48.2698186, 10.8332465 48.2699145, 10.8333806 48.2700217, 10.8334636 48.2700881, 10.8335992 48.2701954, 10.8337121 48.2702847, 10.833855 48.2703978)",,,,
