osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,junction
216656101,2,Ringstraße,tertiary,50,False,True,85.358,"LINESTRING (6.9731439 51.2488851, 6.9740226 51.2483496)",,,
41012906,,Gottfried-Wetzel-Straße,living_street,,False,True,152.621,"LINESTRING (6.9731439 51.2488851, 6.9733413 51.2489446, 6.9738245 51.249085, 6.9751601 51.2494236)",,,
"[314350733, 314350734]",3,Ringstraße,tertiary,50,False,False,110.786,"LINESTRING (6.9731439 51.2488851, 6.9729959 51.24897, 6.9728628 51.2490393, 6.9727565 51.249087, 6.9724319 51.2492293, 6.9721221 51.2493517, 6.9720575 51.2493772, 6.9718512 51.2494634)",,,
33400151,,Borner Weg,residential,,False,True,138.515,"LINESTRING (6.9737074 51.2569885, 6.9727262 51.2569065, 6.9721499 51.2568565, 6.9718363 51.2568054, 6.9718049 51.2567495)",,,
"[314482835, 314482836, 477258327]","['2', '3']",Nordstraße,secondary,30,False,True,361.303,"LINESTRING (6.9737074 51.2569885, 6.9738388 51.2569128, 6.9744482 51.2566134, 6.9747926 51.2564467, 6.9751805 51.2562627, 6.975365 51.256162, 6.9754813 51.256081, 6.9756894 51.2559036, 6.9758546 51.2557678, 6.9760225 51.255635, 6.976405 51.2553846, 6.9765099 51.2553218, 6.9766981 51.255225, 6.9768795 51.2551319, 6.9770979 51.255017, 6.9773657 51.254879, 6.9775151 51.254802)",,,
24574425,,Teichstraße,residential,30,False,False,217.255,"LINESTRING (6.9798707 51.2570979, 6.9798643 51.257014, 6.9798431 51.2566373, 6.9798319 51.2564145, 6.9798283 51.2563441, 6.9798216 51.2562108, 6.9797971 51.2558299, 6.9797393 51.2551459)",,,
24574425,,Teichstraße,residential,30,False,True,217.25500000000002,"LINESTRING (6.9797393 51.2551459, 6.9797971 51.2558299, 6.9798216 51.2562108, 6.9798283 51.2563441, 6.9798319 51.2564145, 6.9798431 51.2566373, 6.9798643 51.257014, 6.9798707 51.2570979)",,,
24574445,2,Hammerstraße,residential,30,False,True,142.49099999999999,"LINESTRING (6.9797393 51.2551459, 6.9804512 51.2552396, 6.9807369 51.2552777, 6.981322 51.2552831, 6.9813442 51.255343, 6.9816886 51.2553491)",,,
408865489,2,Hammerstraße,residential,30,False,False,57.325,"LINESTRING (6.9797393 51.2551459, 6.9792279 51.2550745, 6.9789365 51.2550305)",,,
24699628,,Schwarzbachstraße,residential,30,False,False,47.195,"LINESTRING (6.9782746 51.2549358, 6.978186 51.2553566)",,,
