osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,bridge,access
"[46507184, 1212034812]",L 15,Fontanepromenade,secondary,50,False,False,116.775,"LINESTRING (12.890195 53.0950472, 12.8900509 53.0950226, 12.8898936 53.0950125, 12.8895966 53.0950175, 12.8892194 53.0950465, 12.8888845 53.0950672, 12.888666 53.095084, 12.8886 53.09509, 12.8884614 53.0951008)",,,,
133050006,L 15,Fontanepromenade,secondary,50,False,True,34.524,"LINESTRING (12.890195 53.0950472, 12.8903011 53.0950735, 12.8903855 53.0951105, 12.8904775 53.0951843, 12.890547 53.0952602)",,,,
"[24505400, 508496820]",,Fontaneplatz,residential,30,False,False,54.453,"LINESTRING (12.890195 53.0950472, 12.8902431 53.0949939, 12.8904934 53.094894, 12.8907371 53.0947809, 12.8908186 53.0947402)",,,,
23905799,,Rhinstraße,residential,,False,False,104.844,"LINESTRING (12.8921421 53.0970165, 12.8928091 53.0970099, 12.892875 53.0970078, 12.893672 53.0969882, 12.8937115 53.0969876)",5.4,,,
"[23905800, 50379853, 50379854, 320795662]",L 15,Parkstraße,secondary,50,False,False,238.95699999999997,"LINESTRING (12.8921421 53.0970165, 12.892137 53.0968225, 12.8921309 53.0967015, 12.892105 53.0965515, 12.8920328 53.0964472, 12.891938 53.0963661, 12.8917964 53.0962889, 12.8916608 53.0962393, 12.891418 53.0961607, 12.8911661 53.0960809, 12.8910355 53.0960141, 12.89087 53.0958905, 12.8907832 53.0957854, 12.8907033 53.0956674, 12.8906196 53.0954398, 12.890547 53.0952602)",,2,yes,
328052340,L 15,Mühlenstraße,secondary,30,False,True,114.48,"LINESTRING (12.8921421 53.0970165, 12.8921679 53.0971877, 12.8922694 53.0974871, 12.8922885 53.0975795, 12.8922877 53.0976968, 12.8922698 53.0977966, 12.8922256 53.0979143, 12.8922018 53.0979758, 12.892167 53.0980294)",,2,,
359895175,B 122,Berliner Straße,primary,,False,False,11.207,"LINESTRING (12.8968748 53.0969597, 12.8967892 53.0970464)",,,,
23905799,,Rhinstraße,residential,,False,True,117.887,"LINESTRING (12.8968748 53.0969597, 12.8963533 53.0969571, 12.8957391 53.0969541, 12.8951093 53.0969595)",5.4,,,
217153267,B 122,Berliner Straße,primary,,False,True,112.50800000000001,"LINESTRING (12.8968748 53.0969597, 12.897626 53.0961946, 12.8977306 53.0960881)",,,,
216957720,B 122; L 15,Schloßstraße,primary,30,False,False,74.819,"LINESTRING (12.8953692 53.0986351, 12.8942693 53.0987639)",,2,,
23906025,L 15,Schloßstraße,secondary,50,False,False,140.41,"LINESTRING (12.8953692 53.0986351, 12.8962377 53.0985339, 12.8967581 53.0984728, 12.8974356 53.0984007)",,,,
34263052,,Poststraße,residential,50,False,False,160.583,"LINESTRING (12.8953692 53.0986351, 12.8954828 53.0990592, 12.8956183 53.0995583, 12.89577 53.100059)",,,,
359895175,B 122,Berliner Straße,primary,,False,True,16.606,"LINESTRING (12.8953692 53.0986351, 12.8953461 53.098544, 12.8953952 53.098495)",,,,
"[865359927, 10421663]",B 122; L 15,Schloßstraße,primary,30,False,False,84.629,"LINESTRING (12.8913098 53.0991693, 12.8913745 53.0991235, 12.891484 53.0990826, 12.8917064 53.099049, 12.8922371 53.0989902, 12.8924648 53.098965, 12.8925022 53.0989608)",,,,
"[865359928, 23905798]",L 15,Mühlenstraße,secondary,30,False,False,145.31,"LINESTRING (12.8913098 53.0991693, 12.8912793 53.0990632, 12.8912467 53.0989499, 12.8912472 53.098903, 12.8912715 53.0988438, 12.8912893 53.0988288, 12.8915247 53.0986169, 12.8921187 53.0980856, 12.892167 53.0980294)",6.4,2,,
42486141,,Markt,residential,,True,False,178.35500000000002,"LINESTRING (12.8913098 53.0991693, 12.8910396 53.0991841, 12.8906607 53.0993441, 12.8905019 53.0994654, 12.8904649 53.0995849, 12.8904848 53.0996795, 12.890596 53.1000697, 12.8907092 53.1004597)",4.5,,,
"[132834881, 865359923]",B 122,Markt,primary,30,False,True,136.147,"LINESTRING (12.8913098 53.0991693, 12.8912842 53.0992449, 12.8913031 53.1003048, 12.8913024 53.1003921)",,,,
321971914,,Seestraße,residential,,False,True,40.311,"LINESTRING (12.8913024 53.1003921, 12.8907092 53.1004597)",,,,
"[132834881, 865359923]",B 122,Markt,primary,30,False,False,136.147,"LINESTRING (12.8913024 53.1003921, 12.8913031 53.1003048, 12.8912842 53.0992449, 12.8913098 53.0991693)",,,,
321971914,,Seestraße,residential,,False,False,93.598,"LINESTRING (12.8913024 53.1003921, 12.8918704 53.1003294, 12.8926815 53.1002408)",,,,
1191613008,B 122,Königstraße,primary,50,False,True,119.475,"LINESTRING (12.8913024 53.1003921, 12.8913231 53.1005145, 12.8914554 53.1009516, 12.8916119 53.10145)",,,,
216957701,B 122,Dr.-Martin-Henning-Straße,primary,50,False,True,8.833,"LINESTRING (12.8923356 53.1027132, 12.8923969 53.1027836)",,2,,
26238124,,Feldstraße,residential,30,False,True,93.187,"LINESTRING (12.8923356 53.1027132, 12.892419 53.1026977, 12.8930385 53.1027664, 12.893134 53.1027607, 12.8932843 53.1027462, 12.893437 53.1026675, 12.8936659 53.1026613)",,,,
"[34262579, 1211556189]",B 122,"['Dr.-Martin-Henning-Straße', 'Königstraße']",primary,50,False,False,149.847,"LINESTRING (12.8923356 53.1027132, 12.892108 53.1024433, 12.8920403 53.1023604, 12.8919048 53.1022038, 12.8918192 53.1020784, 12.8917859 53.1020018, 12.8916119 53.10145)",,2,,
