osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,access,bridge,width
16080513,Torgauer Straße,residential,False,True,39.548,"LINESTRING (13.2315887 51.6914564, 13.2320607 51.6916586)",,,,,,
16080513,Torgauer Straße,residential,False,False,97.67500000000001,"LINESTRING (13.2315887 51.6914564, 13.2314554 51.6913994, 13.2313205 51.6913418, 13.2312531 51.691313, 13.2312229 51.6913001, 13.2311295 51.6912601, 13.2304192 51.6909604)",,,,,,
27646784,Nordpromenade,residential,False,False,125.68699999999998,"LINESTRING (13.2315887 51.6914564, 13.2313999 51.6917384, 13.2313888 51.6917576, 13.2312671 51.6919687, 13.2312282 51.6920363, 13.2311101 51.6922064, 13.2310479 51.6923236, 13.2310108 51.6924342, 13.231005 51.6924513, 13.2309841 51.692466, 13.2309306 51.6925035)",1,,,,,
480723759,Torgauer Straße,residential,False,False,48.908,"LINESTRING (13.2304192 51.6909604, 13.2298441 51.6907028)",,,,,,
16080513,Torgauer Straße,residential,False,True,97.67500000000001,"LINESTRING (13.2304192 51.6909604, 13.2311295 51.6912601, 13.2312229 51.6913001, 13.2312531 51.691313, 13.2313205 51.6913418, 13.2314554 51.6913994, 13.2315887 51.6914564)",,,,,,
"[24280600, 260795265]",Lugstraße,residential,False,False,207.07399999999998,"LINESTRING (13.2304192 51.6909604, 13.2296405 51.6916476, 13.2296202 51.6916884, 13.229603 51.6917232, 13.2295441 51.6918418, 13.2294352 51.6920612, 13.2293727 51.6921872, 13.2292735 51.6923393, 13.2291507 51.692473, 13.2290391 51.6925947)",,,,,,
25347217,Kaxdorfer Weg,residential,False,False,190.31300000000002,"LINESTRING (13.2386627 51.6951871, 13.2387964 51.6955677, 13.2388047 51.6956028, 13.2388564 51.6958198, 13.2387987 51.6960575, 13.2386833 51.6963138, 13.2385052 51.6967235, 13.2384696 51.6968581)",,50,,,,
"[260795232, 260795233, 260795229]",Leipziger Straße,primary,False,True,125.151,"LINESTRING (13.2386627 51.6951871, 13.2381323 51.6951645, 13.2376372 51.6951261, 13.2370733 51.6950636, 13.2368673 51.6950317)","['2', '3']",50,B 87,,,
27728727,Karl-Liebknecht-Straße,residential,False,False,112.66900000000001,"LINESTRING (13.2315833 51.695199, 13.231808 51.6950846, 13.2321402 51.6948806, 13.232584 51.6946083, 13.232788 51.6945168)",,30,,no,,
"[1015567636, 860229255]",Karl-Liebknecht-Straße,residential,False,"[False, True]",146.31599999999997,"LINESTRING (13.2315833 51.695199, 13.2310457 51.6955599, 13.2304449 51.6959111, 13.2300941 51.6961359)",,30,,,,
"[936876586, 27054727]",Friedrich-Engels-Straße,residential,False,False,74.164,"LINESTRING (13.2315833 51.695199, 13.2312102 51.6950313, 13.2307125 51.6948072)",,30,,,,
"[936876586, 27054727]",Friedrich-Engels-Straße,residential,False,True,74.164,"LINESTRING (13.2307125 51.6948072, 13.2312102 51.6950313, 13.2315833 51.695199)",,30,,,,
16080513,Torgauer Straße,residential,False,False,30.251,"LINESTRING (13.2348224 51.6923246, 13.2344084 51.6922343)",,,,,,
27647005,Kirchstraße,residential,True,False,136.26999999999998,"LINESTRING (13.2348224 51.6923246, 13.2349173 51.6922104, 13.2350042 51.6920018, 13.2350881 51.6917518, 13.2351204 51.6916582, 13.2351432 51.6915919, 13.2352994 51.6911394)",,,,,,
16080513,Torgauer Straße,residential,False,False,39.548,"LINESTRING (13.2320607 51.6916586, 13.2315887 51.6914564)",,,,,,
16080513,Torgauer Straße,residential,False,True,81.53800000000001,"LINESTRING (13.2320607 51.6916586, 13.2324041 51.6917862, 13.2330907 51.6919512, 13.2331336 51.6919618)",,,,,,
27646969,Magisterstraße,residential,True,False,60.065,"LINESTRING (13.2320607 51.6916586, 13.2322324 51.691483, 13.2325613 51.6912174)",,,,,,
27054697,Wilhelm-Pieck-Ring,residential,False,False,51.168,"LINESTRING (13.2290391 51.6925947, 13.228954 51.6926503, 13.228764 51.6928485, 13.2286731 51.6929406, 13.2286337 51.6929784)",,30,,,,
"[16084593, 260795261, 260795255]",Leipziger Straße,primary,False,False,389.853,"LINESTRING (13.2290391 51.6925947, 13.2291835 51.692645, 13.2297162 51.6928558, 13.2299129 51.6929322, 13.230639 51.6932054, 13.2314524 51.6934734, 13.2321984 51.6936516, 13.2331087 51.6939669, 13.2337175 51.6941891, 13.233982 51.6942857)","['2', '3']",50,B 87,,,
"[24280600, 260795265]",Lugstraße,residential,False,True,207.074,"LINESTRING (13.2290391 51.6925947, 13.2291507 51.692473, 13.2292735 51.6923393, 13.2293727 51.6921872, 13.2294352 51.6920612, 13.2295441 51.6918418, 13.229603 51.6917232, 13.2296202 51.6916884, 13.2296405 51.6916476, 13.2304192 51.6909604)",,,,,,
27054697,Wilhelm-Pieck-Ring,residential,False,True,51.168,"LINESTRING (13.2286337 51.6929784, 13.2286731 51.6929406, 13.228764 51.6928485, 13.228954 51.6926503, 13.2290391 51.6925947)",,30,,,,
27728657,Ludwig-Jahn-Straße,residential,False,True,157.65800000000002,"LINESTRING (13.2368673 51.6950317, 13.2367816 51.6951322, 13.2366075 51.6953361, 13.2362556 51.6957457, 13.235768 51.6962749)",2,50,,,,
"[260795232, 260795233, 260795229]",Leipziger Straße,primary,False,False,125.151,"LINESTRING (13.2368673 51.6950317, 13.2370733 51.6950636, 13.2376372 51.6951261, 13.2381323 51.6951645, 13.2386627 51.6951871)","['2', '3']",50,B 87,,,
"[260795257, 260795262, 260795263]",Leipziger Straße,primary,False,True,216.282,"LINESTRING (13.2368673 51.6950317, 13.236666 51.6949995, 13.2360882 51.6948926, 13.2354912 51.6947494, 13.2350166 51.6946278, 13.2346392 51.6945165, 13.2342589 51.6943875, 13.233982 51.6942857)","['2', '3']",50,B 87,,,
"[796419423, 337761855]",Ludwig-Jahn-Straße,residential,False,True,45.893,"LINESTRING (13.2368673 51.6950317, 13.2369359 51.69492, 13.2369681 51.6948482, 13.2369887 51.6948022, 13.2370571 51.6946366)",2,50,,,,
"[23493717, 796419423]",Ludwig-Jahn-Straße,residential,False,False,163.05,"LINESTRING (13.2377779 51.6930255, 13.2376921 51.693125, 13.2375367 51.6933558, 13.2374337 51.693658, 13.2373785 51.693837, 13.2371323 51.69443)",2,50,,,,
337761859,Schliebener Straße,residential,False,False,158.98,"LINESTRING (13.2377779 51.6930255, 13.2375378 51.6929402, 13.2372278 51.6928291, 13.2371495 51.6928033, 13.2363866 51.6925524, 13.235911 51.6924112, 13.2357224 51.6923888)",,50,,,,
829428127,Schliebener Straße,residential,False,True,63.786,"LINESTRING (13.2377779 51.6930255, 13.2382577 51.6932068, 13.238421 51.6932581, 13.2385911 51.6932954)",,50,,,,
