osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes
24959782,Bischofstraße,residential,30,False,False,141.7,"LINESTRING (11.4135498 53.6307252, 11.4135557 53.6305499, 11.4135793 53.6301309, 11.4135857 53.6300159, 11.4135882 53.6299789, 11.4136042 53.629686, 11.4136064 53.6296475, 11.4136174 53.6294515)",,
25412697,Friedrichstraße,residential,30,True,False,124.94299999999998,"LINESTRING (11.4135498 53.6307252, 11.4139108 53.630678, 11.4141246 53.6306221, 11.415012 53.6302456, 11.4151749 53.6301764)",4.8,
"[46961505, 43684651]","['August-Bebel-Straße', 'Friedrichstraße']",residential,30,False,True,154.104,"LINESTRING (11.4135498 53.6307252, 11.4129555 53.6307344, 11.4132437 53.63093, 11.4136081 53.6311755, 11.414114 53.6315063)","['7.8', '6.6']",
39351105,Puschkinstraße,residential,30,False,False,42.746,"LINESTRING (11.415593 53.629376, 11.4156944 53.6294781, 11.4159145 53.6297098)",,
"[39351105, 43684652, 43684653]","['Am Markt', 'Puschkinstraße']","['residential', 'living_street']",30,False,True,61.93900000000001,"LINESTRING (11.415593 53.629376, 11.4153754 53.62912, 11.4153397 53.6290796, 11.4152164 53.6288671)",4.6,
39351105,Puschkinstraße,residential,30,False,True,13.821,"LINESTRING (11.4160303 53.6298134, 11.4159145 53.6297098)",,
43684654,Puschkinstraße,residential,30,True,False,34.95,"LINESTRING (11.4160303 53.6298134, 11.416079 53.6298656, 11.4162894 53.6300876)",,
25412697,Friedrichstraße,residential,30,True,False,58.0,"LINESTRING (11.4153092 53.6301121, 11.4160303 53.6298134)",4.8,
"[27585421, 26974494]","['Schulstraße', 'Pfaffenstraße']",residential,30,False,True,163.19299999999998,"LINESTRING (11.4153092 53.6301121, 11.4156881 53.6304387, 11.415732 53.630716, 11.415721 53.6309528, 11.4157286 53.6312111, 11.4157384 53.6315085)",,
8134998,Am Dom,residential,30,False,False,77.059,"LINESTRING (11.4136174 53.6294515, 11.4139624 53.629376, 11.4147611 53.6293409)",,
24959782,Bischofstraße,residential,30,False,True,141.70000000000002,"LINESTRING (11.4136174 53.6294515, 11.4136064 53.6296475, 11.4136042 53.629686, 11.4135882 53.6299789, 11.4135857 53.6300159, 11.4135793 53.6301309, 11.4135557 53.6305499, 11.4135498 53.6307252)",,
43684647,Bischofstraße,residential,30,False,False,36.916,"LINESTRING (11.4136174 53.6294515, 11.4136079 53.6293289, 11.4135963 53.6291796, 11.413599 53.6291603, 11.4136047 53.62912)",,
43684647,Bischofstraße,residential,30,False,True,36.916,"LINESTRING (11.4136047 53.62912, 11.413599 53.6291603, 11.4135963 53.6291796, 11.4136079 53.6293289, 11.4136174 53.6294515)",,
8134998,Am Dom,residential,30,False,True,77.059,"LINESTRING (11.4147611 53.6293409, 11.4139624 53.629376, 11.4136174 53.6294515)",,
"[43684644, 43684646, 8134999]","['Am Dom', 'Am Markt']","['residential', 'living_street']",30,False,"[False, True]",43.772999999999996,"LINESTRING (11.4147611 53.6293409, 11.4147024 53.6291984, 11.4145932 53.6289879, 11.414636 53.6289795)",,
"[893759571, 97946747, 43684645, 893759570]",Am Dom,residential,30,False,"[False, True]",135.822,"LINESTRING (11.4147611 53.6293409, 11.4151645 53.6293613, 11.4153488 53.6294476, 11.4154506 53.6295469, 11.4154377 53.6296012, 11.4153817 53.629703, 11.4152583 53.6297763, 11.4151651 53.6298452, 11.4150674 53.6299506, 11.4150426 53.6300082, 11.4150464 53.6300681, 11.4151749 53.6301764)",3.8,
822438961,Am Markt,living_street,,False,False,40.123,"LINESTRING (11.4150472 53.6285205, 11.4151407 53.6287123, 11.4152059 53.6288462, 11.4152164 53.6288671)",,
"[402631034, 4163932]","['Am Markt', 'Schusterstraße']",living_street,,False,True,150.965,"LINESTRING (11.4137555 53.627727, 11.4137686 53.6277435, 11.4138077 53.6277927, 11.4139974 53.6280312, 11.4140657 53.6281171, 11.4140949 53.6281597, 11.4144311 53.6286774, 11.414636 53.6289795)",4.8,
25416210,Großer Moor,residential,30,False,True,122.13400000000001,"LINESTRING (11.420658 53.6277989, 11.420255 53.6278379, 11.4196803 53.6278934, 11.419604 53.6279008, 11.4192123 53.6279387, 11.41883 53.6279757)",9.5,
