osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,width,bridge,tunnel
389734264,Bergstraße,residential,False,True,17.081,,,,"LINESTRING (13.1267341 51.4793388, 13.1266138 51.4794729)",,,
361449922,Torgauer Straße,primary,False,False,378.353,2,B 182,60,"LINESTRING (13.1267341 51.4793388, 13.1261546 51.4791247, 13.1253866 51.478879, 13.1250096 51.4787474, 13.1248202 51.4787034, 13.1245499 51.4786446, 13.1239966 51.4785273, 13.1236654 51.4784668, 13.1234636 51.4784398, 13.1233018 51.4784275, 13.1231301 51.4784221, 13.1228473 51.4784301, 13.1225201 51.478445, 13.1222845 51.4784608, 13.1220263 51.4784927, 13.1218146 51.4785265, 13.121619 51.478564)",,,
"[120163603, 361449922, 361449923]",Torgauer Straße,primary,False,True,194.425,"['2', '3']",B 182,60,"LINESTRING (13.1267341 51.4793388, 13.1269859 51.4794151, 13.1272064 51.4794729, 13.127533 51.4795373, 13.1279382 51.4796081, 13.128498 51.4796979, 13.1286899 51.4797168, 13.1289775 51.4797294, 13.1291771 51.4797285, 13.1294411 51.4797175)",,,
"[653475760, 4567714]",Torgauer Straße,primary,False,True,113.84800000000001,2,B 182,60,"LINESTRING (13.1298742 51.4796819, 13.1301075 51.4796414, 13.1304625 51.4795673, 13.130764 51.4794843, 13.1310734 51.4793711, 13.1313522 51.4792511)",,,
32619043,Bergstraße,unclassified,False,False,110.667,,,,"LINESTRING (13.1298742 51.4796819, 13.129924 51.479831, 13.1299683 51.4799197, 13.1301271 51.4800767, 13.1302479 51.4801662, 13.1303935 51.4802579, 13.1305426 51.4803326, 13.1307037 51.4804097, 13.1308043 51.480447)",,,
643377108,Torgauer Straße,primary,False,False,30.264000000000003,3,B 182,60,"LINESTRING (13.1298742 51.4796819, 13.1296298 51.4797058, 13.1294411 51.4797175)",,,
4567715,Torgauer Straße,primary,False,False,63.273,2,B 182,30,"LINESTRING (13.1185544 51.4848982, 13.1184456 51.4849967, 13.1183085 51.4851087, 13.1179818 51.4853408)",,,
4567715,Torgauer Straße,primary,False,True,107.164,2,B 182,30,"LINESTRING (13.1185544 51.4848982, 13.1186199 51.4848366, 13.118732 51.4847142, 13.1189722 51.4844312, 13.119082 51.484326, 13.1191493 51.4842659, 13.1191969 51.4842234, 13.1192544 51.4841555, 13.1192823 51.4841197, 13.1193037 51.4840594)",,,
27335426,Triftweg,residential,False,False,71.44800000000001,,,,"LINESTRING (13.1185544 51.4848982, 13.1185819 51.4849312, 13.1185819 51.4849677, 13.1183005 51.4855089)",4.5,,
"[653475760, 4567714]",Torgauer Straße,primary,False,False,113.84799999999998,2,B 182,60,"LINESTRING (13.1313522 51.4792511, 13.1310734 51.4793711, 13.130764 51.4794843, 13.1304625 51.4795673, 13.1301075 51.4796414, 13.1298742 51.4796819)",,,
