osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,width
430613844,2,L 26,Kölner Straße,primary,50,False,True,64.954,"LINESTRING (6.6722443 50.2948766, 6.672429 50.2954487)",,
29880593,,,Kringsgarten,residential,,False,True,74.997,"LINESTRING (6.6722443 50.2948766, 6.6724519 50.2948535, 6.6727761 50.2948175, 6.6731242 50.294773, 6.6732694 50.2947286)",,
430613844,2,L 26,Kölner Straße,primary,50,False,False,297.833,"LINESTRING (6.6722443 50.2948766, 6.6721096 50.2944019, 6.6720973 50.2941943, 6.6720695 50.293724, 6.672124 50.2935447, 6.6721701 50.2934012, 6.6722245 50.293305, 6.6722337 50.2932802, 6.6723194 50.293049, 6.6725223 50.292585, 6.672548 50.2925361, 6.6726706 50.2922571)",,
"[33129265, 29501229]",,,Am alten Born,residential,,False,False,122.27799999999998,"LINESTRING (6.6726706 50.2922571, 6.6727974 50.2922577, 6.6730703 50.2922538, 6.6732334 50.2922704, 6.6733169 50.2923096, 6.6733489 50.2923567, 6.6734043 50.2924503, 6.6735085 50.2925544, 6.6736583 50.2926834, 6.6738354 50.2927741, 6.6739506 50.2928292)",,
430613844,2,L 26,Kölner Straße,primary,50,False,True,297.83299999999997,"LINESTRING (6.6726706 50.2922571, 6.672548 50.2925361, 6.6725223 50.292585, 6.6723194 50.293049, 6.6722337 50.2932802, 6.6722245 50.293305, 6.6721701 50.2934012, 6.672124 50.2935447, 6.6720695 50.293724, 6.6720973 50.2941943, 6.6721096 50.2944019, 6.6722443 50.2948766)",,
942230675,2,L 26,Kölner Straße,primary,50,False,False,51.54,"LINESTRING (6.6726706 50.2922571, 6.6726315 50.2921546, 6.6725984 50.2921102, 6.6725406 50.2920792, 6.6723972 50.2920227, 6.6722343 50.2919719, 6.6721921 50.2919463)",,
29537282,,,Im Walkgraben,residential,,False,False,119.299,"LINESTRING (6.6676103 50.2911781, 6.6677273 50.2911029, 6.6685325 50.2908944, 6.6691564 50.2907911)",,
"[9647392, 1150759277]",,L 10,Prümer Straße,secondary,"['50', '30']",False,False,167.918,"LINESTRING (6.6676103 50.2911781, 6.6675022 50.2911174, 6.6669496 50.2908273, 6.6666238 50.2906562, 6.6665316 50.2906112, 6.6664454 50.2905714, 6.6663475 50.2905358, 6.6662718 50.290514, 6.6662036 50.2904977, 6.6660733 50.2904724, 6.665989 50.2904564, 6.6658701 50.2904339, 6.6656353 50.2903921)",,
"[1150759283, 1150759277]",2,L 10,Prümer Straße,secondary,50,False,True,76.33900000000001,"LINESTRING (6.6676103 50.2911781, 6.6676658 50.2912149, 6.667747 50.2912731, 6.6678174 50.2913335, 6.6678962 50.2914109, 6.6680725 50.2916171, 6.6681408 50.2917147, 6.6681714 50.2917585)",,
33129256,2,B 421,Koblenzer Straße,primary,30,False,False,38.279,"LINESTRING (6.6718461 50.2916288, 6.672064 50.2915336, 6.6722009 50.2914719, 6.6722862 50.2914303)",,
