osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width,bridge,junction
26206461,True,K 415,Kirchstraße,tertiary,30,False,205.35300000000004,"LINESTRING (10.5552635 51.5948729, 10.5552347 51.5948101, 10.5551603 51.5947748, 10.5550945 51.5947588, 10.5545431 51.5947782, 10.5540856 51.5947823, 10.5538855 51.5947698, 10.5531449 51.5947256, 10.5528528 51.5947201, 10.5526116 51.5947221, 10.5523967 51.5947178)",,,,
26924927,False,,Schulstraße,residential,30,False,29.036,"LINESTRING (10.5552635 51.5948729, 10.5552358 51.5949463, 10.5552062 51.5950437, 10.5551794 51.5951287)",,,,
45830649,False,K 415,Marktstraße,tertiary,30,True,178.79399999999998,"LINESTRING (10.5552635 51.5948729, 10.5554964 51.5948258, 10.556702 51.5945975, 10.5569396 51.5945518, 10.5577329 51.5943913)",2,,,
27789892,False,,Hindenburgstraße,residential,30,False,233.88,"LINESTRING (10.5508182 51.5968122, 10.5506574 51.5969551, 10.5500385 51.5975607, 10.5498102 51.5978059, 10.5497316 51.5978896, 10.5492561 51.5983689, 10.549226 51.5983995, 10.5490323 51.5985986)",,,,
27789892,False,,Hindenburgstraße,residential,30,True,111.225,"LINESTRING (10.5508182 51.5968122, 10.5508468 51.59671, 10.551115 51.5963396, 10.5512881 51.5961366, 10.551306 51.5960931, 10.5513341 51.5960597, 10.5514348 51.5959398, 10.5514558 51.595899)",,,,
27790759,False,,Pfaffenwiese,residential,,False,20.178,"LINESTRING (10.5508182 51.5968122, 10.5509338 51.5967989, 10.5511083 51.5968017)",,,,
27789891,False,,Bismarckstraße,residential,30,True,375.83199999999994,"LINESTRING (10.5480394 51.5984657, 10.5484138 51.5980669, 10.5487972 51.5976251, 10.5488527 51.5975665, 10.5491391 51.5972646, 10.5494936 51.5969932, 10.5497927 51.5967676, 10.5505285 51.5962523, 10.5511695 51.5958885, 10.5512899 51.5958366, 10.5513485 51.59583)",,5,,
"[27927856, 41687259, 27927845]",False,,Am Kurpark,residential,,True,61.605999999999995,"LINESTRING (10.5480394 51.5984657, 10.5481134 51.5984916, 10.5482488 51.5985361, 10.5483112 51.5985566, 10.548743 51.598675, 10.5488534 51.5986667)",,,yes,
26206462,False,,Ringstraße,tertiary,30,True,360.49300000000005,"LINESTRING (10.5571471 51.5936368, 10.5570667 51.593656, 10.5569863 51.5936751, 10.5568739 51.5936972, 10.55625 51.59382, 10.5561709 51.5938356, 10.556084 51.593846, 10.5560101 51.5938548, 10.5559313 51.5938642, 10.5557007 51.5938918, 10.5553295 51.5939361, 10.5553044 51.593938, 10.554911 51.5939673, 10.5546996 51.593983, 10.5545265 51.5939959, 10.5543945 51.5940058, 10.5541775 51.5940221, 10.5538892 51.5940437, 10.5537504 51.594072, 10.5536934 51.5940837, 10.5535029 51.5941487, 10.5533696 51.5942076, 10.5525186 51.5945836, 10.5524408 51.5946402, 10.5523967 51.5947178)",,,,
45830646,False,,Ringstraße,residential,30,False,206.18899999999996,"LINESTRING (10.5571471 51.5936368, 10.5573174 51.5935957, 10.5573609 51.5935849, 10.5576463 51.5935145, 10.5578996 51.5934395, 10.5582546 51.5933295, 10.5584266 51.5932945, 10.5586408 51.5932721, 10.558825 51.593267, 10.5589864 51.5932679, 10.5590996 51.5932663, 10.5593488 51.5932374, 10.5595268 51.5932175, 10.5596202 51.5932045, 10.5597867 51.5931815, 10.5599927 51.5931478)",,,,
