osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,bridge,width,lanes
7973275,tertiary,60,roundabout,True,False,14.307,"LINESTRING (12.0009439 47.779062, 12.0008991 47.7790507, 12.0008601 47.779032, 12.0008297 47.7790072, 12.0008099 47.7789779)",,,,,
7973275,tertiary,60,roundabout,True,False,14.301,"LINESTRING (12.0008234 47.778884, 12.0008512 47.7788579, 12.0008881 47.7788374, 12.0009317 47.7788241, 12.0009789 47.7788188)",,,,,
444613962,tertiary,60,,True,False,33.851,"LINESTRING (12.0008234 47.778884, 12.0008216 47.7788438, 12.0008082 47.7787942, 12.000717 47.7786832, 12.0006946 47.7785975)",RO 46,,,,
444613942,tertiary,50,,True,False,27.017,"LINESTRING (12.0010265 47.7788219, 12.00132 47.77868)",,Auer Straße,,,
7973275,tertiary,60,roundabout,True,False,14.297,"LINESTRING (12.0010265 47.7788219, 12.0010713 47.7788332, 12.0011103 47.7788519, 12.0011407 47.7788767, 12.0011605 47.7789059)",,,,,
444613943,tertiary,50,,True,False,27.803,"LINESTRING (12.00132 47.77868, 12.0011605 47.7789059)",,Auer Straße,,,
8100606,tertiary,50,,False,False,76.64500000000001,"LINESTRING (12.00132 47.77868, 12.0014076 47.7785939, 12.0014597 47.7785426, 12.0016809 47.7783251, 12.0018987 47.7781109)",,Auer Straße,,,
"[295695661, 31869597, 31869598]",tertiary,30,,False,True,62.428999999999995,"LINESTRING (12.0060605 47.774114, 12.0060307 47.774126, 12.005801 47.7742275, 12.0055683 47.7743294, 12.0054234 47.7743929, 12.0053724 47.7744299)",,Kufsteiner Straße,yes,,
"[1206940960, 268096758]",residential,,,False,True,31.398,"LINESTRING (12.0060605 47.774114, 12.0059866 47.7740516, 12.0059539 47.7739721, 12.0059212 47.773854)",,Sternplattenweg,,,
982313129,tertiary,30,,False,False,62.4,"LINESTRING (12.0060605 47.774114, 12.0064808 47.7739106, 12.0067296 47.7737785)",,Kufsteiner Straße,,5,
9706275,secondary,50,,False,True,109.369,"LINESTRING (12.0117031 47.7774822, 12.0117487 47.7771172, 12.0117755 47.7769496, 12.0118158 47.7768072, 12.0118585 47.7766892, 12.0119531 47.7765183)",St 2089,Münchner Straße,,,2
"[30052186, 30052187, 156540719]",tertiary,30,,False,True,96.888,"LINESTRING (12.0136683 47.7732917, 12.0135972 47.7732684, 12.0134353 47.7732423, 12.0131978 47.7732118, 12.0128076 47.7731548, 12.0125294 47.7731138, 12.0124079 47.7730941)",,Kufsteiner Straße,yes,,2
"[9706275, 445970467]",secondary,50,,False,False,251.77499999999998,"LINESTRING (12.0136683 47.7732917, 12.0134295 47.7734588, 12.0132869 47.7735687, 12.0131549 47.7736806, 12.0128754 47.7739286, 12.0127247 47.7741212, 12.0125394 47.7744544, 12.0124664 47.77461, 12.0124215 47.7748165, 12.0124384 47.774979, 12.0124829 47.775147, 12.012548 47.7752948)",St 2089,Münchner Straße,,,2
"[295704224, 1206940961, 27018234, 1206940963]",residential,30,,False,False,229.24099999999999,"LINESTRING (12.0024653 47.7751829, 12.0024998 47.7750488, 12.00251 47.7749796, 12.0025332 47.7748737, 12.0025736 47.77477, 12.0026146 47.7747036, 12.0026381 47.7746801, 12.0027175 47.7746004, 12.0028761 47.7744222, 12.0029525 47.7743363, 12.0033285 47.7739093, 12.0033438 47.7738919, 12.0034261 47.7737904, 12.003461 47.7737474, 12.003576 47.7735942, 12.0036565 47.7734139, 12.0037098 47.7733236)",,Breitensteinstraße,,,
"[30052178, 268096757, 1203427679]",residential,,,False,True,25.733999999999998,"LINESTRING (12.0024653 47.7751829, 12.0023468 47.77518, 12.0021909 47.7751768, 12.0021212 47.775174)",,Hocheckstraße,yes,,
"[279177088, 279177091]",tertiary,50,,False,True,239.04800000000006,"LINESTRING (12.0024653 47.7751829, 12.0024131 47.7753942, 12.002461 47.7756546, 12.0024989 47.7759932, 12.0025758 47.7761917, 12.0025879 47.7763833, 12.002563 47.7765445, 12.0025654 47.7767755, 12.0026117 47.7770335, 12.002612 47.7770681, 12.0026035 47.7771012, 12.0025668 47.777139, 12.0023883 47.7772602)",,Auer Straße,yes,,
"[54369555, 444613948]",tertiary,"['50', '30']",,False,False,192.16,"LINESTRING (12.0024653 47.7751829, 12.0029372 47.7752441, 12.0034143 47.7753094, 12.0035942 47.7753221, 12.0038758 47.7753148, 12.0041607 47.775257, 12.0044337 47.7751481, 12.0048277 47.7749137)",,Kufsteiner Straße,,,
34127398,residential,,,True,False,197.22199999999998,"LINESTRING (12.0048353 47.7724297, 12.0049891 47.7724387, 12.005104 47.7724561, 12.0053685 47.7725333, 12.0054368 47.7725509, 12.0054732 47.7725819, 12.0056319 47.7731453, 12.0059212 47.773854)",,Sternplattenweg,,,
113500316,residential,,,False,False,47.485,"LINESTRING (12.0048353 47.7724297, 12.0048547 47.772163, 12.0048503 47.772003)",,Breitensteinstraße,,,
113500318,residential,,,False,True,32.444,"LINESTRING (12.0048353 47.7724297, 12.0047973 47.7724968, 12.0047297 47.7725844, 12.0046107 47.7726756)",,Breitensteinstraße,,,
34024802,residential,,,False,False,47.863,"LINESTRING (12.0048503 47.772003, 12.0048248 47.7715729)",,Breitensteinstraße,,,
34103382,residential,30,,False,False,108.413,"LINESTRING (12.0048503 47.772003, 12.0050304 47.7719849, 12.0062848 47.7718578)",,Kranzhornstraße,,,
113500316,residential,,,False,True,47.485,"LINESTRING (12.0048503 47.772003, 12.0048547 47.772163, 12.0048353 47.7724297)",,Breitensteinstraße,,,
1258726461,residential,,,False,True,85.828,"LINESTRING (12.0087886 47.771798, 12.0084365 47.7710633)",,Riesenfeldstraße,,,
34103382,residential,30,,False,True,188.19699999999997,"LINESTRING (12.0087886 47.771798, 12.0085535 47.7718252, 12.0079789 47.7717789, 12.0076853 47.7717727, 12.0073812 47.771777, 12.0068154 47.7718131, 12.0062848 47.7718578)",,Kranzhornstraße,,,
318767546,residential,,,False,False,86.56200000000001,"LINESTRING (12.0087886 47.771798, 12.0089516 47.7717935, 12.0099465 47.7718083)",,Kranzhornstraße,,,
654775132,residential,50,,False,False,71.656,"LINESTRING (12.0087886 47.771798, 12.0089498 47.7722205, 12.0090444 47.7724188)",,Riesenfeldstraße,,,
"[654775132, 318767550]",residential,50,,False,False,101.102,"LINESTRING (12.0090444 47.7724188, 12.0091995 47.7727018, 12.0093108 47.7729049, 12.0093226 47.7729263, 12.0093304 47.7729405, 12.009462 47.7732263, 12.0094772 47.7732794)",,Riesenfeldstraße,,,
654775132,residential,50,,False,True,71.656,"LINESTRING (12.0090444 47.7724188, 12.0089498 47.7722205, 12.0087886 47.771798)",,Riesenfeldstraße,,,
"[318767547, 654775133, 113500317]",tertiary,"['20', '30']",,False,True,204.67600000000002,"LINESTRING (12.0094772 47.7732794, 12.009208 47.7732868, 12.0090466 47.7732939, 12.0084163 47.7733449, 12.0076296 47.7734387, 12.0073432 47.7735069, 12.0071564 47.7735671, 12.0069933 47.7736406, 12.006861 47.7737085)",,Kufsteiner Straße,,5,
"[654775131, 318767548]",tertiary,20,,False,False,110.509,"LINESTRING (12.0094772 47.7732794, 12.0096197 47.7732738, 12.0101819 47.7732392, 12.0105312 47.7731977, 12.0109414 47.7731482)",,Kufsteiner Straße,,5,
"[654775132, 318767550]",residential,50,,False,True,101.10199999999999,"LINESTRING (12.0094772 47.7732794, 12.009462 47.7732263, 12.0093304 47.7729405, 12.0093226 47.7729263, 12.0093108 47.7729049, 12.0091995 47.7727018, 12.0090444 47.7724188)",,Riesenfeldstraße,,,
35302095,residential,,,False,False,178.73299999999998,"LINESTRING (12.0053724 47.7744299, 12.0052782 47.7743326, 12.0051764 47.774245, 12.0049722 47.7740167, 12.0047999 47.7738634, 12.0044675 47.7736197, 12.0043208 47.7735414, 12.0040099 47.7734406, 12.0037098 47.7733236)",,Fulinpachstraße,,,
35302096,residential,30,,False,True,67.833,"LINESTRING (12.0053724 47.7744299, 12.0056775 47.7748004, 12.0058057 47.7749659)",,Nordweg,,4,1
"[54369555, 219215159]",tertiary,30,,False,True,67.463,"LINESTRING (12.0053724 47.7744299, 12.0051862 47.7745999, 12.0050625 47.7747082, 12.0048277 47.7749137)",,Kufsteiner Straße,,,
"[31869598, 295695661, 31869597]",tertiary,30,,False,False,62.429,"LINESTRING (12.0053724 47.7744299, 12.0054234 47.7743929, 12.0055683 47.7743294, 12.005801 47.7742275, 12.0060307 47.774126, 12.0060605 47.774114)",,Kufsteiner Straße,yes,,
35302097,residential,30,,False,False,152.444,"LINESTRING (12.0048277 47.7749137, 12.005076 47.7750857, 12.0051246 47.7751999, 12.0051597 47.7754148, 12.0051602 47.7755543, 12.0051045 47.7757714, 12.0050111 47.7760208, 12.0049653 47.7761975)",,Kiem-Pauli-Weg,,,
"[54369555, 219215159]",tertiary,30,,False,False,67.463,"LINESTRING (12.0048277 47.7749137, 12.0050625 47.7747082, 12.0051862 47.7745999, 12.0053724 47.7744299)",,Kufsteiner Straße,,,
"[54369555, 444613948]",tertiary,"['50', '30']",,False,True,192.16,"LINESTRING (12.0048277 47.7749137, 12.0044337 47.7751481, 12.0041607 47.775257, 12.0038758 47.7753148, 12.0035942 47.7753221, 12.0034143 47.7753094, 12.0029372 47.7752441, 12.0024653 47.7751829)",,Kufsteiner Straße,,,
9706275,secondary,50,,False,False,24.156,"LINESTRING (12.0120925 47.7763223, 12.0119531 47.7765183)",St 2089,Münchner Straße,,,2
9706275,secondary,50,,False,True,78.23700000000001,"LINESTRING (12.0120925 47.7763223, 12.0124411 47.7759376, 12.0125491 47.7758235, 12.0126169 47.7757147)",St 2089,Münchner Straße,,,2
9706275,secondary,50,,False,True,24.156,"LINESTRING (12.0119531 47.7765183, 12.0120925 47.7763223)",St 2089,Münchner Straße,,,2
9706275,secondary,50,,False,False,109.369,"LINESTRING (12.0119531 47.7765183, 12.0118585 47.7766892, 12.0118158 47.7768072, 12.0117755 47.7769496, 12.0117487 47.7771172, 12.0117031 47.7774822)",St 2089,Münchner Straße,,,2
306297401,residential,,,False,False,71.16900000000001,"LINESTRING (12.0119531 47.7765183, 12.012344 47.7767354, 12.0125006 47.7768423, 12.0125247 47.7769136, 12.0125271 47.7769897)",,Münchner Straße,,,
154109498,residential,30,,False,False,42.619,"LINESTRING (12.0130011 47.7707474, 12.0129647 47.7703649)",,Wendelsteinstraße,,,
491138942,residential,50,,False,True,135.36,"LINESTRING (12.0130011 47.7707474, 12.0111911 47.7707028)",,Hochriesstraße,,,
154109498,residential,30,,False,True,269.91700000000003,"LINESTRING (12.0130011 47.7707474, 12.0130066 47.7715242, 12.0130046 47.7719644, 12.0129678 47.7721622, 12.0128727 47.7723874, 12.0127583 47.7726053, 12.0126294 47.7727649, 12.0124964 47.7729201, 12.0124273 47.7730224, 12.0124079 47.7730941)",,Wendelsteinstraße,,,
54369556,residential,,,False,False,36.527,"LINESTRING (12.0018395 47.7749081, 12.0020778 47.7751065, 12.0021212 47.775174)",,Hocheckstraße,,,
318844501,residential,30,,False,True,122.27999999999999,"LINESTRING (12.0018395 47.7749081, 12.0011016 47.7742774, 12.0009474 47.7741972, 12.0007102 47.7741497)",,Hocheckstraße,,,
"[30052178, 268096757, 1203427679]",residential,,,False,False,25.733999999999998,"LINESTRING (12.0021212 47.775174, 12.0021909 47.7751768, 12.0023468 47.77518, 12.0024653 47.7751829)",,Hocheckstraße,yes,,
54369556,residential,,,False,True,36.527,"LINESTRING (12.0021212 47.775174, 12.0020778 47.7751065, 12.0018395 47.7749081)",,Hocheckstraße,,,
136097411,residential,,,False,False,234.958,"LINESTRING (12.0021212 47.775174, 12.0021682 47.7753579, 12.0022582 47.7755916, 12.0022619 47.7757921, 12.0022638 47.7759723, 12.0023273 47.7761921, 12.0023012 47.7764596, 12.0023161 47.7765315, 12.002369 47.7769028, 12.0023836 47.7770588, 12.0023493 47.7772172, 12.0023883 47.7772602)",,Hocheckstraße,,,
113500317,tertiary,30,,False,True,12.53,"LINESTRING (12.006861 47.7737085, 12.0067296 47.7737785)",,Kufsteiner Straße,,5,
30667880,residential,30,,False,False,105.393,"LINESTRING (12.006861 47.7737085, 12.0067382 47.7735329, 12.0065465 47.7727902)",,Gartenstraße,,,
"[318767547, 654775133, 113500317]",tertiary,"['20', '30']",,False,False,204.676,"LINESTRING (12.006861 47.7737085, 12.0069933 47.7736406, 12.0071564 47.7735671, 12.0073432 47.7735069, 12.0076296 47.7734387, 12.0084163 47.7733449, 12.0090466 47.7732939, 12.009208 47.7732868, 12.0094772 47.7732794)",,Kufsteiner Straße,,5,
34103382,residential,30,,False,False,188.197,"LINESTRING (12.0062848 47.7718578, 12.0068154 47.7718131, 12.0073812 47.771777, 12.0076853 47.7717727, 12.0079789 47.7717789, 12.0085535 47.7718252, 12.0087886 47.771798)",,Kranzhornstraße,,,
34103382,residential,30,,False,True,108.413,"LINESTRING (12.0062848 47.7718578, 12.0050304 47.7719849, 12.0048503 47.772003)",,Kranzhornstraße,,,
290220203,residential,30,,False,True,105.507,"LINESTRING (12.0062848 47.7718578, 12.006437 47.7724067, 12.0065465 47.7727902)",,Gartenstraße,,,
