osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,bridge,width,tunnel
30483865,Drosselstraße,residential,30,False,False,54.599000000000004,"LINESTRING (11.2300089 49.2510606, 11.2298646 49.2511708, 11.2296292 49.2512928, 11.2294985 49.251416)",,,,,
"[46759586, 1191404556]",Rother Straße,secondary,50,False,True,114.72399999999999,"LINESTRING (11.2300089 49.2510606, 11.2302104 49.2511083, 11.2307134 49.2512306, 11.2311154 49.2512891, 11.2315286 49.2513288)",St 2225,,,,
146260891,Nürnberger Straße,secondary,,False,False,49.706,"LINESTRING (11.2318624 49.2551741, 11.231814 49.2553581, 11.2318027 49.2554011, 11.2317467 49.2556147)",St 2225,2,,,
244750995,Nürnberger Straße,secondary,,False,True,120.925,"LINESTRING (11.2318624 49.2551741, 11.2320071 49.2544212, 11.2320911 49.2540971)",St 2225,2,,,
27482223,Im Himmelreich,residential,30,False,True,119.7,"LINESTRING (11.236286 49.2478432, 11.2378367 49.247477)",,,,,
66127272,Lampersdorfer Straße,tertiary,30,False,False,67.79899999999999,"LINESTRING (11.236286 49.2478432, 11.2360968 49.247505, 11.2359831 49.2472666)",RH 35,,,,
66127272,Lampersdorfer Straße,tertiary,30,False,True,172.906,"LINESTRING (11.236286 49.2478432, 11.2366358 49.2483405, 11.2366578 49.2483769, 11.2369203 49.2486149, 11.2370953 49.2487494, 11.2374003 49.2489437, 11.2375492 49.2490221, 11.2375875 49.2491146)",RH 35,,,,
1203467872,Wilhelm-Burkhardt-Straße,living_street,,False,False,38.676,"LINESTRING (11.2359831 49.2472666, 11.2354506 49.2472786)",,,,,
66127272,Lampersdorfer Straße,tertiary,30,False,True,67.79899999999999,"LINESTRING (11.2359831 49.2472666, 11.2360968 49.247505, 11.236286 49.2478432)",RH 35,,,,
42452266,Polsdorfer Straße,residential,30,False,True,158.801,"LINESTRING (11.2306439 49.2492046, 11.2308195 49.2492413, 11.2319315 49.2494892, 11.2325397 49.2496302, 11.2326099 49.249663, 11.2326646 49.249715)",,,,,
"[23439456, 198645461]",Polsdorfer Straße,residential,30,False,False,87.93100000000001,"LINESTRING (11.2326646 49.249715, 11.2327717 49.249673, 11.233233 49.2496032, 11.2338322 49.2495189)",,,,,
"[1046541067, 722184062, 27482303]",Hilpoltsteiner Straße,residential,"['50', '30']",False,False,184.791,"LINESTRING (11.2326646 49.249715, 11.2325171 49.2497998, 11.2324624 49.2498512, 11.2324163 49.2499414, 11.2323969 49.2500423, 11.2324195 49.2501436, 11.2324637 49.2502288, 11.2326058 49.2503788, 11.2329058 49.2505951, 11.2330743 49.2507573, 11.2331158 49.2508399, 11.2331426 49.2509232, 11.233177 49.2510368, 11.2331874 49.251071, 11.2331858 49.2510899, 11.2331794 49.2511659)",,,,,
42452266,Polsdorfer Straße,residential,30,False,False,158.80100000000002,"LINESTRING (11.2326646 49.249715, 11.2326099 49.249663, 11.2325397 49.2496302, 11.2319315 49.2494892, 11.2308195 49.2492413, 11.2306439 49.2492046)",,,,,
27482257,Ahornstraße,residential,,False,False,41.309,"LINESTRING (11.2338322 49.2495189, 11.2338137 49.2491476)",,,,,
42452269,Am Wachtgraben,residential,,False,False,130.939,"LINESTRING (11.2338322 49.2495189, 11.2340151 49.249474, 11.2341651 49.2494372, 11.234801 49.249281, 11.2348548 49.2492678, 11.2355605 49.2492091)",,,,,
"[23439456, 198645461]",Polsdorfer Straße,residential,30,False,True,87.931,"LINESTRING (11.2338322 49.2495189, 11.233233 49.2496032, 11.2327717 49.249673, 11.2326646 49.249715)",,,,,
66127259,Gilardistraße,tertiary,,False,True,0.589,"LINESTRING (11.2375821 49.249507, 11.237579 49.2495119)",RH 35,,,,
150640995,Lampersdorfer Straße,tertiary,50,False,False,17.91,"LINESTRING (11.2375821 49.249507, 11.2375708 49.2493461)",RH 35,,,,
"[40769218, 1191404558]",Gilardistraße,residential,,False,False,99.778,"LINESTRING (11.2375821 49.249507, 11.2378617 49.249501, 11.2381489 49.2495332, 11.2382962 49.2495483, 11.2385955 49.2495812, 11.2389413 49.24962)",,,,,
150640995,Lampersdorfer Straße,tertiary,50,False,True,17.91,"LINESTRING (11.2375708 49.2493461, 11.2375821 49.249507)",RH 35,,,,
42452269,Am Wachtgraben,residential,,False,True,153.96200000000002,"LINESTRING (11.2375708 49.2493461, 11.2374406 49.2493092, 11.237131 49.2491694, 11.2369966 49.2491307, 11.23681 49.2491016, 11.2365227 49.2491133, 11.2360486 49.2491844, 11.235636 49.2492028, 11.2355605 49.2492091)",,,,,
51446714,Lampersdorfer Straße,tertiary,50,False,False,26.03,"LINESTRING (11.2375708 49.2493461, 11.2376056 49.2492054, 11.2375875 49.2491146)",RH 35,,,,
27482154,Heugasse,residential,30,False,False,43.232,"LINESTRING (11.2375875 49.2491146, 11.2381579 49.2490027)",,,,,
51446714,Lampersdorfer Straße,tertiary,50,False,True,26.03,"LINESTRING (11.2375875 49.2491146, 11.2376056 49.2492054, 11.2375708 49.2493461)",RH 35,,,,
66127272,Lampersdorfer Straße,tertiary,30,False,False,172.906,"LINESTRING (11.2375875 49.2491146, 11.2375492 49.2490221, 11.2374003 49.2489437, 11.2370953 49.2487494, 11.2369203 49.2486149, 11.2366578 49.2483769, 11.2366358 49.2483405, 11.236286 49.2478432)",RH 35,,,,
26312979,Gabrielistraße,residential,30,False,False,67.382,"LINESTRING (11.2380876 49.2540444, 11.2381673 49.2541372, 11.2386453 49.2545274)",,,,,
26419952,Pyrbaumer Straße,unclassified,30,False,False,35.779,"LINESTRING (11.2380876 49.2540444, 11.2378107 49.2540399, 11.237611 49.2539862)",,,,,
26419952,Pyrbaumer Straße,unclassified,30,False,True,113.564,"LINESTRING (11.2380876 49.2540444, 11.2393084 49.2538594, 11.2393638 49.2538525, 11.2395957 49.2537832)",,,,,
205052758,Vorstadt,residential,30,False,False,43.907,"LINESTRING (11.240068 49.2532624, 11.2404285 49.2535795)",,,,,
205052758,Vorstadt,residential,30,False,True,45.318,"LINESTRING (11.240068 49.2532624, 11.2396467 49.2529616)",,,,,
26419952,Pyrbaumer Straße,unclassified,30,False,False,67.853,"LINESTRING (11.240068 49.2532624, 11.2398275 49.2535787, 11.2397312 49.253695, 11.2395957 49.2537832)",,,,,
26635219,Schlesierstraße,unclassified,30,False,False,119.32100000000001,"LINESTRING (11.2410673 49.2538003, 11.2415452 49.2533009, 11.2417989 49.2530611, 11.2419358 49.2528902)",,,,,
60767574,Vorstadt,residential,30,False,False,33.545,"LINESTRING (11.2410673 49.2538003, 11.2413499 49.2539151, 11.2414599 49.2539595)",,,,,
60767574,Vorstadt,residential,30,False,True,52.535000000000004,"LINESTRING (11.2410673 49.2538003, 11.2406512 49.2536433, 11.2404285 49.2535795)",,,,,
1191404564,Neumarkter Straße,residential,50,False,False,23.239,"LINESTRING (11.241648 49.2527986, 11.2419358 49.2528902)",,,,,
26462012,Bahnhofstraße,residential,30,False,False,67.243,"LINESTRING (11.241648 49.2527986, 11.2416877 49.252685, 11.2417545 49.2524958, 11.241804 49.2522792, 11.241837 49.2522073)",,,,,
1191404563,Neumarkter Straße,residential,50,False,True,149.244,"LINESTRING (11.241648 49.2527986, 11.2407801 49.2525861, 11.2397129 49.252345)",,,,,
26690941,Bahnhofstraße,residential,,False,False,26.837,"LINESTRING (11.2424481 49.25224, 11.2421018 49.2521554)",,,,,
26462005,Gilardistraße,residential,,False,False,10.007,"LINESTRING (11.237579 49.2495119, 11.2375902 49.2496016)",,,,,
66127259,Gilardistraße,tertiary,,False,False,0.589,"LINESTRING (11.237579 49.2495119, 11.2375821 49.249507)",RH 35,,,,
249462924,Gilardistraße,tertiary,,False,True,85.182,"LINESTRING (11.237579 49.2495119, 11.2369057 49.2497123, 11.2367982 49.2497776, 11.236726 49.2498591, 11.2366817 49.2499475)",RH 35,,,,
66127274,Gilardistraße,tertiary,,False,False,25.413,"LINESTRING (11.2367596 49.2508408, 11.2367378 49.2506127)",RH 35,,,,
66127274,Gilardistraße,tertiary,,False,True,46.589,"LINESTRING (11.2367596 49.2508408, 11.2366123 49.2512486)",RH 35,,,,
"[26690939, 66127269]",Marktplatz,living_street,,False,True,89.47399999999999,"LINESTRING (11.2367596 49.2508408, 11.2369332 49.2508296, 11.2370156 49.2508304, 11.237024 49.2510723, 11.2369728 49.2511653, 11.2369294 49.2512499, 11.2366123 49.2512486)",,,,,
722184059,Marktplatz,tertiary,,False,True,8.404,"LINESTRING (11.2352067 49.2513517, 11.2350912 49.251357)",RH 35,2,,,
26462004,Kirchstraße,residential,,False,True,174.875,"LINESTRING (11.2352067 49.2513517, 11.2352152 49.2515416, 11.2352318 49.2518028, 11.2352331 49.2518224, 11.2352265 49.2519685, 11.2352584 49.2519896, 11.2354698 49.2520341, 11.23556 49.2520292, 11.2356217 49.2519965, 11.2356513 49.2519209, 11.2356401 49.2517078, 11.2356012 49.25133)",,,,,
198645460,Marktplatz,tertiary,,False,False,28.735,"LINESTRING (11.2352067 49.2513517, 11.235256 49.251349, 11.2356012 49.25133)",RH 35,2,,,
"[26635401, 30426899, 30426901]",Rother Straße,secondary,50,False,"[False, True]",77.21700000000001,"LINESTRING (11.2325869 49.2512772, 11.2324365 49.2512932, 11.2323466 49.2513014, 11.2320129 49.251328, 11.2318107 49.2513333, 11.2315286 49.2513288)",St 2225,,yes,,
"[30609969, 1163594645]",Nürnberger Straße,secondary,50,False,False,175.69799999999998,"LINESTRING (11.2325869 49.2512772, 11.2326017 49.2513329, 11.2325991 49.2513845, 11.2325915 49.2514144, 11.2325749 49.2514799, 11.2325183 49.2515892, 11.2324832 49.2516659, 11.2324585 49.2517896, 11.2324575 49.25183, 11.232455 49.2519336, 11.2324585 49.2521946, 11.2324321 49.2524611, 11.2323681 49.2528418)",St 2225,2,,,
40769369,Nürnberger Straße,tertiary,50,False,False,44.952,"LINESTRING (11.2325869 49.2512772, 11.2327487 49.2512448, 11.2330532 49.2511739, 11.2331794 49.2511659)",RH 35,,,,
26313137,Schloßstraße,residential,30,False,True,12.608,"LINESTRING (11.2323681 49.2528418, 11.2324977 49.2529173)",,,,4.9,
"[244750995, 1163594645, 1163594646]",Nürnberger Straße,secondary,,False,False,46.571,"LINESTRING (11.2323681 49.2528418, 11.2323361 49.253007, 11.232316 49.2531102, 11.232297 49.2532085, 11.2322875 49.2532573)",St 2225,2,yes,,
"[30609969, 1163594645]",Nürnberger Straße,secondary,50,False,True,175.69800000000004,"LINESTRING (11.2323681 49.2528418, 11.2324321 49.2524611, 11.2324585 49.2521946, 11.232455 49.2519336, 11.2324575 49.25183, 11.2324585 49.2517896, 11.2324832 49.2516659, 11.2325183 49.2515892, 11.2325749 49.2514799, 11.2325915 49.2514144, 11.2325991 49.2513845, 11.2326017 49.2513329, 11.2325869 49.2512772)",St 2225,2,,,
27481937,Wiesenstraße,residential,30,False,True,199.36899999999997,"LINESTRING (11.2336936 49.2539508, 11.2336911 49.2540054, 11.2338356 49.2549476, 11.2338746 49.2552724, 11.2338609 49.2555295, 11.2338263 49.2556304, 11.2337728 49.2557294)",,,,,
42224905,Am Wehr,residential,30,False,False,80.173,"LINESTRING (11.2336936 49.2539508, 11.2344793 49.253976, 11.2347973 49.2539748)",,,,,
42224905,Am Wehr,residential,30,False,True,162.688,"LINESTRING (11.2336936 49.2539508, 11.2334602 49.253948, 11.233318 49.2539418, 11.2331989 49.253917, 11.233027 49.2538569, 11.2329302 49.2537794, 11.2329077 49.2537485, 11.2328821 49.2537099, 11.2327379 49.2534585, 11.2326005 49.2531978, 11.2324977 49.2529173)",,,,,
27481980,Schloßstraße,residential,30,False,False,67.263,"LINESTRING (11.2351347 49.2539491, 11.2353295 49.2533577)",,,,,
42224905,Am Wehr,residential,30,False,True,24.654,"LINESTRING (11.2351347 49.2539491, 11.2347973 49.2539748)",,,,,
42224905,Am Wehr,residential,30,False,False,167.64599999999996,"LINESTRING (11.2351347 49.2539491, 11.2363224 49.2538583, 11.2363585 49.2538552, 11.23688 49.2538105, 11.2371719 49.253796, 11.2372761 49.253799, 11.2373373 49.2538158, 11.2374012 49.2538555)",,,,,
