osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,tunnel,bridge
5024389,1,K 8151,Freiberger Straße,tertiary,50,5,False,True,163.767,"LINESTRING (13.0698549 50.6570332, 13.0696761 50.6569895, 13.0695287 50.6569489, 13.0692509 50.6568379, 13.0690318 50.6567488, 13.0687614 50.6566514, 13.0682901 50.6564988, 13.0680025 50.6563764, 13.067893 50.6562737)",,
29472575,1,,Badstraße,residential,30,5,False,False,112.209,"LINESTRING (13.0698549 50.6570332, 13.0698186 50.6571071, 13.0698561 50.6573582, 13.0699367 50.6576827, 13.0700325 50.6580284)",,
5024389,1,K 8151,Freiberger Straße,tertiary,50,5,False,False,163.76700000000002,"LINESTRING (13.067893 50.6562737, 13.0680025 50.6563764, 13.0682901 50.6564988, 13.0687614 50.6566514, 13.0690318 50.6567488, 13.0692509 50.6568379, 13.0695287 50.6569489, 13.0696761 50.6569895, 13.0698549 50.6570332)",,
25762694,,,Turnerstraße,residential,,,False,False,85.15599999999999,"LINESTRING (13.067893 50.6562737, 13.0679545 50.6562075, 13.0679915 50.6560942, 13.0680296 50.6559965, 13.068184 50.6557588, 13.0682107 50.6557139, 13.0682904 50.6555541)",,
367308049,1,K 8151,Annaberger Straße,tertiary,50,6,False,True,43.584,"LINESTRING (13.067893 50.6562737, 13.067796 50.6563102, 13.0677181 50.6563651, 13.0675229 50.6565784)",,
532825032,1,,Marienberger Straße,tertiary,50,5,False,True,111.593,"LINESTRING (13.067893 50.6562737, 13.0680597 50.6562495, 13.0682449 50.6562646, 13.0683142 50.6562542, 13.0684818 50.6561864, 13.0685986 50.6561129, 13.0688052 50.6559752, 13.0689117 50.6558998, 13.0690005 50.6558253, 13.0691544 50.6557614)",,
532825035,1,,Marktstraße,residential,,6,False,True,56.959,"LINESTRING (13.067893 50.6562737, 13.0674379 50.6560678, 13.067215 50.6559976)",,
"[60500319, 25883527]",,,Hinter der Kirche,residential,,,False,False,120.435,"LINESTRING (13.0652304 50.6553714, 13.0651801 50.6554321, 13.0651596 50.6554759, 13.0651399 50.6555719, 13.0650921 50.655681, 13.065077 50.6557355, 13.0650911 50.6557597, 13.0651192 50.6557834, 13.0653374 50.6558439, 13.0654353 50.6558562, 13.0655018 50.6558593, 13.0655651 50.6558454, 13.0656095 50.655808, 13.0656815 50.6556717, 13.0657241 50.6555702, 13.0657482 50.655519)",,
497523917,1,,Schloßplatz,residential,,4,False,False,40.023,"LINESTRING (13.0652304 50.6553714, 13.065585 50.6554714, 13.0657482 50.655519)",,
"[142029064, 111311225, 433831439]",1,,"['Schloßplatz', 'Kleine Kirchgasse']",residential,,,False,True,112.69500000000001,"LINESTRING (13.0652304 50.6553714, 13.0656356 50.6552069, 13.0656705 50.6551887, 13.0657161 50.6551857, 13.0657499 50.6551834, 13.0661216 50.65524, 13.0663033 50.6552755, 13.0664286 50.6552982, 13.0665926 50.6553068, 13.0666243 50.6553064, 13.0666653 50.6553059, 13.0667173 50.6553018)",,
