osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,ref,width,tunnel,bridge
592454827,Hauptstraße,residential,30,False,True,17.039,"LINESTRING (9.3252995 49.2367666, 9.3251567 49.236645)",,,,,,
161667964,Hauptstraße,residential,20,False,False,17.439999999999998,"LINESTRING (9.3252995 49.2367666, 9.3253194 49.2367733, 9.3254077 49.236803, 9.3255256 49.2368107)",,,,,,
1119944067,Kochertürner Straße,residential,,False,True,58.455,"LINESTRING (9.3252995 49.2367666, 9.325258 49.2368583, 9.325195 49.2369145, 9.3251182 49.2369554, 9.324818 49.2370333, 9.3247132 49.2370834)",,,,,,
8612715,,secondary,50,True,False,24.357,"LINESTRING (9.3341257 49.239379, 9.3341431 49.2393443, 9.3341738 49.2393138, 9.3342156 49.2392896, 9.3342657 49.2392734, 9.3343206 49.2392663, 9.3343764 49.2392689)",1,roundabout,,,,
"[44063101, 163102047]",,secondary,"['50', '70']",False,True,244.04799999999997,"LINESTRING (9.3341257 49.239379, 9.3340855 49.2393734, 9.3340135 49.2393642, 9.3337058 49.2393217, 9.3334267 49.2392798, 9.332175 49.2390635, 9.3315029 49.2389556, 9.3309336 49.2388528, 9.3308675 49.2388408)",2,,L 1088,,,
8612715,,secondary,50,True,False,18.936,"LINESTRING (9.3342291 49.2395241, 9.3341873 49.2395038, 9.3341543 49.2394773, 9.3341323 49.2394464, 9.3341226 49.239413, 9.3341257 49.239379)",1,roundabout,,,,
38254323,Cleversulzbacher Straße,tertiary,50,False,False,29.87,"LINESTRING (9.3337566 49.232641, 9.3341336 49.2325335)",,,,,,
144902717,Cleversulzbacher Straße,residential,,False,False,4.388,"LINESTRING (9.3337566 49.232641, 9.3337772 49.2326781)",,,,,,
"[330616395, 1255967828]",Schafgasse,tertiary,50,False,True,244.769,"LINESTRING (9.3337566 49.232641, 9.3336176 49.2326691, 9.3335635 49.23268, 9.3330452 49.2327375, 9.3328248 49.2327693, 9.3326217 49.2328062, 9.3323915 49.2328614, 9.3321947 49.2329211, 9.3319753 49.233006, 9.3316033 49.2331869, 9.3311664 49.2334356, 9.3309505 49.233531, 9.3309041 49.233549, 9.3308605 49.2335629, 9.3307844 49.2335842)",3,,,,,
32731400,Gymnasiumstraße,residential,,False,True,133.732,"LINESTRING (9.335626 49.234001, 9.3337925 49.2341154)",,,,,,
