osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,tunnel,width
325550068,St 2336,Bahnhofstraße,secondary,50,False,True,26.245,,"LINESTRING (11.3495342 49.0428421, 11.3497018 49.043051)",,,
"[26492506, 43145269]",St 2336,Bahnhofstraße,secondary,50,False,"[False, True]",144.418,2,"LINESTRING (11.3495342 49.0428421, 11.3494267 49.0427105, 11.3491021 49.0422636, 11.3486518 49.0416794)",,,
325550064,,,motorway_link,50,False,True,28.685,2,"LINESTRING (11.3495342 49.0428421, 11.349397 49.0428889, 11.3491851 49.0429612)",,,
"[26492506, 43145269]",St 2336,Bahnhofstraße,secondary,50,False,"[False, True]",144.418,2,"LINESTRING (11.3486518 49.0416794, 11.3491021 49.0422636, 11.3494267 49.0427105, 11.3495342 49.0428421)",,,
"[4047920, 1093328108]",,,motorway_link,50,False,False,145.47,2,"LINESTRING (11.34735 49.0433335, 11.3475313 49.0433798, 11.3477372 49.043392, 11.3478996 49.0433655, 11.3480696 49.0433253, 11.3483816 49.0432321, 11.3489268 49.0430483, 11.3491851 49.0429612)",,,
290365967,,,motorway_link,,True,False,152.269,1,"LINESTRING (11.3481902 49.0423814, 11.3475662 49.0426321, 11.3473061 49.0427411, 11.3472113 49.0428034, 11.3471147 49.0429457, 11.3471169 49.0430924, 11.3471754 49.0432289, 11.34735 49.0433335)",,,
26673670,,Mühlweg,residential,30,False,False,265.96000000000004,,"LINESTRING (11.3564024 49.0473895, 11.3563323 49.0474446, 11.3563351 49.0475345, 11.3563504 49.0476564, 11.3563754 49.0477986, 11.3563624 49.0479355, 11.3563155 49.0480904, 11.3562501 49.0482635, 11.3561979 49.0484016, 11.3561444 49.0485674, 11.3561247 49.0486743, 11.3561221 49.0488023, 11.3561349 49.0489171, 11.3561712 49.049018, 11.356242 49.049176, 11.356334 49.0493218, 11.3564025 49.0494215, 11.3564764 49.0495618, 11.3565189 49.049704)",,,
140699458,St 2336,Berchinger Straße,secondary,50,False,False,54.394000000000005,,"LINESTRING (11.3564024 49.0473895, 11.3562825 49.0472911, 11.3562116 49.0472068, 11.3561821 49.0471224, 11.3561784 49.0470465, 11.3562067 49.0469437)",,,
"[1184853112, 140699458]",St 2336,Berchinger Straße,secondary,50,False,True,103.78099999999999,,"LINESTRING (11.3564024 49.0473895, 11.3565419 49.0474779, 11.3567488 49.0475803, 11.3572121 49.0477362, 11.3576123 49.0478709)",,,
"[150345217, 1109040068, 1053330768, 374727451, 374727452]",,Am Hallenbad,residential,30,False,False,402.395,,"LINESTRING (11.353753 49.0444535, 11.3538314 49.0442576, 11.3538582 49.0442129, 11.3539683 49.0441499, 11.3540716 49.0441331, 11.3542357 49.0441233, 11.3552316 49.0440543, 11.3561599 49.04399, 11.3573371 49.0438967, 11.3586554 49.0437922, 11.3589253 49.0437667)",,,
