osmid,highway,maxspeed,access,oneway,reversed,length,name,geometry,bridge,ref,service
63036080,unclassified,30,permissive,False,False,14.136,,"LINESTRING (10.8569675 53.9405941, 10.8569805 53.940721)",,,
149185404,unclassified,30,permissive,True,False,101.758,Skandinavienkai,"LINESTRING (10.8569675 53.9405941, 10.8571731 53.9406137, 10.8579282 53.940592, 10.8583303 53.9405804, 10.858385 53.9405886, 10.8585063 53.9406183)",,,
149185408,unclassified,30,permissive,False,True,25.351,Skandinavienkai,"LINESTRING (10.8588882 53.9405803, 10.8585063 53.9406183)",,,
"[149185408, 277007470]",unclassified,30,permissive,False,False,152.49200000000002,Skandinavienkai,"LINESTRING (10.8588882 53.9405803, 10.8593009 53.9407257, 10.8598854 53.9408258, 10.8600648 53.9408706, 10.8602281 53.9409634, 10.8603206 53.9410648, 10.8604071 53.941198, 10.8605013 53.941353, 10.8605315 53.9414096)",yes,,
277007500,unclassified,30,permissive,False,True,63.589,,"LINESTRING (10.8588882 53.9405803, 10.859107 53.9404729, 10.8592544 53.9404005, 10.8596629 53.9402363)",,,
63036080,unclassified,30,permissive,False,True,114.84700000000001,,"LINESTRING (10.8554775 53.9410744, 10.855656 53.941139, 10.8559389 53.9411374, 10.8568769 53.9407826, 10.8569805 53.940721)",,,
149185419,unclassified,,permissive,False,False,87.59299999999999,,"LINESTRING (10.8554775 53.9410744, 10.8555521 53.9409407, 10.8555476 53.9409066, 10.8555721 53.9408837, 10.8556659 53.9408419, 10.855756 53.9408082, 10.8558397 53.9407745, 10.8559031 53.940749, 10.8559601 53.940726, 10.8563922 53.9405521)",,,
"[276781728, 624376106, 197841302]",unclassified,50,permissive,False,"[False, True]",235.003,Skandinavienkai,"LINESTRING (10.8554775 53.9410744, 10.855225 53.9409052, 10.8546845 53.9404135, 10.8538948 53.9399135, 10.8533498 53.939561, 10.8531751 53.9394613)",,K 20,
"[149084809, 116300083]",unclassified,30,permissive,False,True,239.12199999999999,,"LINESTRING (10.8596629 53.9402363, 10.8601638 53.9401868, 10.8604293 53.9401396, 10.8608161 53.9400632, 10.8610797 53.9399601, 10.8612484 53.9398843, 10.8614693 53.9397914, 10.8615406 53.9397646, 10.8615933 53.9397627, 10.8616634 53.9397642, 10.8617362 53.939783, 10.8618475 53.9398156, 10.8619977 53.9398983, 10.862112 53.9400129, 10.8621579 53.94014, 10.862171 53.9402784, 10.8621881 53.9404363, 10.8621895 53.9404905)",yes,,
277007500,unclassified,30,permissive,False,False,63.589,,"LINESTRING (10.8596629 53.9402363, 10.8592544 53.9404005, 10.859107 53.9404729, 10.8588882 53.9405803)",,,
277007500,unclassified,30,permissive,False,True,280.97,,"LINESTRING (10.8596629 53.9402363, 10.8598606 53.9401708, 10.8600309 53.9401021, 10.8601516 53.9400429, 10.8602093 53.9399806, 10.8602402 53.9399166, 10.8602482 53.9398416, 10.860236 53.9397664, 10.8601493 53.9396549, 10.8599052 53.9394128, 10.8596731 53.9391868, 10.8593973 53.9389184, 10.8591265 53.9386547, 10.8590281 53.9385512, 10.8588669 53.9383868, 10.8588213 53.9383125, 10.8588274 53.9382092, 10.8588731 53.938145, 10.8589291 53.9381212)",,,
"[149185408, 277007470]",unclassified,30,permissive,False,True,152.49200000000002,Skandinavienkai,"LINESTRING (10.8605315 53.9414096, 10.8605013 53.941353, 10.8604071 53.941198, 10.8603206 53.9410648, 10.8602281 53.9409634, 10.8600648 53.9408706, 10.8598854 53.9408258, 10.8593009 53.9407257, 10.8588882 53.9405803)",yes,,
"[149084809, 116300083]",unclassified,30,permissive,False,False,239.122,,"LINESTRING (10.8621895 53.9404905, 10.8621881 53.9404363, 10.862171 53.9402784, 10.8621579 53.94014, 10.862112 53.9400129, 10.8619977 53.9398983, 10.8618475 53.9398156, 10.8617362 53.939783, 10.8616634 53.9397642, 10.8615933 53.9397627, 10.8615406 53.9397646, 10.8614693 53.9397914, 10.8612484 53.9398843, 10.8610797 53.9399601, 10.8608161 53.9400632, 10.8604293 53.9401396, 10.8601638 53.9401868, 10.8596629 53.9402363)",yes,,
