osmid,lanes,highway,oneway,reversed,length,name,geometry,maxspeed,bridge,ref,width,tunnel,junction
38366616,1,living_street,False,True,8.059,,"LINESTRING (13.889911 51.9382648, 13.8898337 51.9383194)",,,,,,
237683860,1,tertiary,True,False,36.439,Logenstraße,"LINESTRING (13.889911 51.9382648, 13.8897455 51.9381931, 13.8895018 51.9380566)",,,,,,
38353162,2,tertiary,True,False,56.019999999999996,Logenstraße,"LINESTRING (13.8895018 51.9380566, 13.8898118 51.9381654, 13.8899093 51.9381815, 13.8900093 51.9381813, 13.8900705 51.9381725, 13.8902609 51.9381421)",,,,,,
"[38347360, 38347361, 360161222]",,residential,False,False,28.011,"['Hauptstraße', 'Gubener Straße']","LINESTRING (13.901224 51.941694, 13.9011432 51.9416738, 13.9010432 51.9416523, 13.9008356 51.9416166)",30,yes,,,,
360161222,,residential,False,True,67.194,Gubener Straße,"LINESTRING (13.901224 51.941694, 13.9013653 51.9417508, 13.9017546 51.9419711, 13.9018733 51.9420185, 13.9020065 51.9420483)",30,,,,,
1159237844,,residential,False,False,7.536,Mühlendamm,"LINESTRING (13.901224 51.941694, 13.9012361 51.9416414, 13.9012405 51.941627)",30,,,,,
23436565,,residential,False,True,87.13100000000001,Kirchstraße,"LINESTRING (13.9002604 51.9415448, 13.9002437 51.9415871, 13.9001204 51.9418663, 13.9000566 51.9419971, 13.9000009 51.9420574, 13.899851 51.9421459, 13.8997131 51.9421739, 13.899669 51.9421759)",30,,,,,
"[26948195, 286794375]",,residential,False,False,28.418,Lohmühlengasse,"LINESTRING (13.9002604 51.9415448, 13.9002751 51.9415147, 13.9003525 51.9412957)",30,,,,,
"[50132747, 237400396, 237400397, 23694332]",,residential,False,False,152.72000000000003,Hauptstraße,"LINESTRING (13.9002604 51.9415448, 13.9002006 51.9415379, 13.900151 51.9415319, 13.8999356 51.9415168, 13.8998132 51.9415107, 13.8996528 51.9415076, 13.8992815 51.9415121, 13.8986347 51.9415186, 13.8980784 51.9415043, 13.898037 51.9415031)",30,,,,,
"[237400395, 195220661]",,residential,False,True,40.231,Hauptstraße,"LINESTRING (13.9002604 51.9415448, 13.9003325 51.9415531, 13.9003528 51.9415553, 13.9008356 51.9416166)",30,,,,,
237400403,,residential,False,True,55.116,Hauptstraße,"LINESTRING (13.8959795 51.9414416, 13.8967833 51.941454)",30,,,,,
23436570,,residential,False,True,83.555,Am Markt,"LINESTRING (13.8959795 51.9414416, 13.89598 51.9414924, 13.895972 51.9421442, 13.8959713 51.942193)",30,,,,,
"[237400400, 237400403]",,residential,False,False,31.223,Hauptstraße,"LINESTRING (13.8959795 51.9414416, 13.8958757 51.9414423, 13.8955843 51.9414714, 13.8955281 51.9414749)",30,,,,,
"[237400392, 23436562, 237400388]",,residential,False,False,27.323,Brückenplatz,"LINESTRING (13.8943475 51.9418654, 13.8943726 51.9419734, 13.8943834 51.9419918, 13.8943834 51.9419976, 13.8944479 51.9421015)",30,,,,,
