osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,junction,width,access,bridge
25163957,True,1,trunk_link,False,136.308,"LINESTRING (8.0208506 52.3471597, 8.0207835 52.3470393, 8.020739 52.3468758, 8.0206884 52.3467415, 8.0205822 52.3465932, 8.0204499 52.3465019, 8.020226 52.3464427, 8.0199598 52.3464427, 8.0196605 52.3465229)",,,,,,,
22996398,False,2,secondary,False,168.27100000000002,"LINESTRING (8.0225587 52.3474934, 8.0223877 52.3474835, 8.0218545 52.3474494, 8.0207609 52.3473246, 8.0203255 52.3472764, 8.0201177 52.3472442)",L 109,Ruller Straße,,,,,
101358796,True,,secondary,False,19.384,"LINESTRING (8.0225587 52.3474934, 8.0225686 52.3474591, 8.0225939 52.3474278, 8.0226324 52.3474021, 8.0226811 52.3473839, 8.0227362 52.3473748)",,,50,roundabout,,,
303420455,False,2,tertiary,True,25.07,"LINESTRING (8.0175434 52.3493222, 8.0175894 52.3490985)",K 312,Große Straße,30,,,,
25702575,False,2,residential,False,37.468,"LINESTRING (8.0175434 52.3493222, 8.0177663 52.3493281, 8.0180948 52.3493305)",,Wetrihstraße,30,,6,,
187816273,False,2,tertiary,False,47.122,"LINESTRING (8.0175434 52.3493222, 8.0175027 52.3494316, 8.0174436 52.3495475, 8.0173656 52.3496375, 8.0172771 52.3497074)",K 312,Große Straße,30,,,,
25702571,False,2,residential,False,78.658,"LINESTRING (8.0172771 52.3497074, 8.0173518 52.3497456, 8.0174142 52.3498253, 8.0174004 52.3499098, 8.0173607 52.3500557, 8.0172612 52.3503767)",,Am Bockholt,30,,6,,
"[859950624, 187816273, 859958419]",False,2,tertiary,False,155.87699999999998,"LINESTRING (8.0172771 52.3497074, 8.0171837 52.3497712, 8.0169747 52.3498806, 8.0168962 52.3499197, 8.0166096 52.3500451, 8.0163966 52.350131, 8.0161588 52.3502306, 8.0157417 52.3504083, 8.015587 52.3504734, 8.015434 52.3505378)",K 312,Große Straße,30,,,,
187816273,False,2,tertiary,True,47.122,"LINESTRING (8.0172771 52.3497074, 8.0173656 52.3496375, 8.0174436 52.3495475, 8.0175027 52.3494316, 8.0175434 52.3493222)",K 312,Große Straße,30,,,,
25702339,False,2,residential,False,45.535,"LINESTRING (8.0141365 52.3510423, 8.0145045 52.3513846)",,Flachshütte,30,,6,,
750538785,False,2,tertiary,False,105.475,"LINESTRING (8.0141365 52.3510423, 8.0134048 52.3513267, 8.0128265 52.3515517)",K 312,Große Straße,30,,,,
"[169209529, 750538786, 750538787]",False,2,tertiary,True,104.479,"LINESTRING (8.0141365 52.3510423, 8.0142848 52.3509846, 8.0143501 52.3509592, 8.0144533 52.3509191, 8.0147676 52.3508041, 8.015434 52.3505378)",K 312,Große Straße,30,,,,
22996393,True,1,tertiary,False,34.699,"LINESTRING (8.0128265 52.3515517, 8.0128549 52.3515818, 8.0128664 52.3516157, 8.0128598 52.3516501, 8.0128359 52.3516816, 8.0127971 52.3517069, 8.0127472 52.3517234, 8.0126913 52.3517295, 8.0126351 52.3517246, 8.0125843 52.3517092)",,,30,roundabout,,,
750538785,False,2,tertiary,True,105.475,"LINESTRING (8.0128265 52.3515517, 8.0134048 52.3513267, 8.0141365 52.3510423)",K 312,Große Straße,30,,,,
22996393,True,1,tertiary,False,20.590000000000003,"LINESTRING (8.0125843 52.3517092, 8.0125417 52.3516829, 8.0125159 52.3516493, 8.0125101 52.3516125, 8.0125248 52.3515765, 8.0125583 52.3515457)",,,30,roundabout,,,
22996394,False,,tertiary,False,79.045,"LINESTRING (8.0125843 52.3517092, 8.01249 52.3517859, 8.012445 52.351827, 8.0122087 52.3520424, 8.0121462 52.3520994, 8.0120091 52.3522169, 8.0119211 52.3522932)",K 312,Große Straße,50,,,,
22996393,True,1,tertiary,False,20.532,"LINESTRING (8.0125583 52.3515457, 8.0126067 52.3515235, 8.0126644 52.3515125, 8.0127248 52.3515138, 8.012781 52.3515274, 8.0128265 52.3515517)",,,30,roundabout,,,
"[858979011, 31653061]",False,2,residential,True,116.28899999999999,"LINESTRING (8.0125583 52.3515457, 8.0123209 52.3513048, 8.0122612 52.3512443, 8.0120779 52.351064, 8.0120409 52.3510279, 8.0120011 52.3509892, 8.0119331 52.3509155, 8.0118924 52.3508718, 8.0116861 52.350646)",,Niedersachsenstraße,30,,6,,
