osmid,name,highway,width,oneway,reversed,length,bridge,geometry,maxspeed,lanes,ref
26820431,Nordstraße,secondary,,False,True,296.336,,"LINESTRING (14.6074151 50.9357239, 14.6068712 50.9359051, 14.6065771 50.9359741, 14.606283 50.9360094, 14.6059007 50.9360379, 14.6051923 50.9360969, 14.6049484 50.9361171, 14.6045162 50.9361528, 14.6037296 50.9361983, 14.6033102 50.9362556)",50,2,S 139
527260833,Nordstraße,secondary,,False,False,299.119,,"LINESTRING (14.6074151 50.9357239, 14.6078015 50.9355864, 14.6078542 50.9355677, 14.6084228 50.9353596, 14.6086741 50.9352735, 14.6087525 50.9352465, 14.6091637 50.9351101, 14.6092159 50.9350941, 14.6096042 50.9349833, 14.6096911 50.934957, 14.609769 50.9349329, 14.609862 50.9349025, 14.6099605 50.9348699, 14.6100992 50.9348222, 14.6101685 50.9348004, 14.6102258 50.9347832, 14.610274 50.9347709, 14.6103267 50.9347591, 14.6103794 50.9347502, 14.6105693 50.93472, 14.6108475 50.9346757, 14.6109262 50.9346648, 14.6110038 50.934656, 14.611072 50.9346501, 14.61114 50.9346457, 14.6112182 50.9346427, 14.6112822 50.9346419)",50,2,S 139
24630924,Albertstraße,residential,,False,True,320.85499999999996,,"LINESTRING (14.6080305 50.9385807, 14.6080213 50.9385413, 14.6080121 50.9384992, 14.6079803 50.9383573, 14.6079266 50.9381082, 14.6078656 50.9377845, 14.6078569 50.9377354, 14.6078049 50.9374685, 14.6076413 50.9366563, 14.6075129 50.9359964, 14.6074972 50.9359165, 14.6074912 50.9358897, 14.6074826 50.9358608, 14.6074737 50.9358326, 14.6074609 50.9358027, 14.6074437 50.9357695, 14.6074151 50.9357239)",50,,
24630980,Marxstraße,residential,,False,False,190.96999999999997,,"LINESTRING (14.6080305 50.9385807, 14.6072356 50.9386717, 14.6071982 50.9386766, 14.6070511 50.9386932, 14.6069032 50.9387098, 14.6067393 50.9387288, 14.6053497 50.9388902)",50,,
25023812,Albertstraße,residential,,False,False,47.217,,"LINESTRING (14.6080305 50.9385807, 14.6080912 50.9388833, 14.6081042 50.9389471, 14.6081118 50.9390022)",,,
1203064346,Marxstraße,residential,,False,True,93.585,,"LINESTRING (14.6040342 50.9390357, 14.6053497 50.9388902)",50,,
972103835,Neugersdorfer Straße,residential,,False,True,313.286,,"LINESTRING (14.6040342 50.9390357, 14.6037056 50.9378629, 14.6033102 50.9362556)",50,,
26820431,Nordstraße,secondary,,False,False,296.33599999999996,,"LINESTRING (14.6033102 50.9362556, 14.6037296 50.9361983, 14.6045162 50.9361528, 14.6049484 50.9361171, 14.6051923 50.9360969, 14.6059007 50.9360379, 14.606283 50.9360094, 14.6065771 50.9359741, 14.6068712 50.9359051, 14.6074151 50.9357239)",50,2,S 139
27154356,Neugersdorfer Straße,residential,6,False,True,68.76400000000001,,"LINESTRING (14.6033102 50.9362556, 14.6032936 50.9361015, 14.6033098 50.9359842, 14.6034084 50.9357619, 14.6034215 50.9356468)",50,,
972103835,Neugersdorfer Straße,residential,,False,False,313.286,,"LINESTRING (14.6033102 50.9362556, 14.6037056 50.9378629, 14.6040342 50.9390357)",50,,
