osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,junction,width,access
34321477,True,2,A 8,motorway,none,False,109.802,"LINESTRING (12.6470006 47.8271908, 12.6483468 47.826793)",,,,,
34321520,True,1,,motorway_link,,False,153.939,"LINESTRING (12.6470006 47.8271908, 12.64742 47.8269685, 12.6475096 47.8268953, 12.6475653 47.8268229, 12.6475994 47.8267429, 12.6476087 47.8266533, 12.6476076 47.8265127, 12.6476235 47.8264151, 12.6476654 47.8263167, 12.6477394 47.8262154, 12.6478368 47.8261273, 12.6479471 47.8260423)",,,,,
163549303,False,3,B 306,primary,70,False,69.753,"LINESTRING (12.6489473 47.825452, 12.6487421 47.825728, 12.6486211 47.8260363)",Deutsche Alpenstraße,,,,
34321520,True,1,,motorway_link,,False,13.479,"LINESTRING (12.6479471 47.8260423, 12.6481097 47.8259896)",,,,,
24666422,True,1,,residential,,False,108.87699999999998,"LINESTRING (12.6479471 47.8260423, 12.6479979 47.825957, 12.6480268 47.8259037, 12.6480531 47.8258301, 12.6480643 47.8257786, 12.6480702 47.8257203, 12.6480659 47.8256558, 12.6480528 47.8255887, 12.6480219 47.8254948, 12.6479637 47.8253856, 12.6478252 47.8251672, 12.647793 47.8251084)",Blaue-Wand-Straße,,,,
150303825,True,1,,motorway_link,,False,39.485,"LINESTRING (12.6481097 47.8259896, 12.6483644 47.82598, 12.6484386 47.8259823, 12.6485099 47.8260012, 12.6486211 47.8260363)",,,,,
194457676,True,1,,motorway_link,,False,86.642,"LINESTRING (12.6481097 47.8259896, 12.6484015 47.825825, 12.6484683 47.8257749, 12.6486269 47.8256559, 12.6489473 47.825452)",,,,,
5235736,True,1,,motorway_link,,False,29.892,"LINESTRING (12.6486211 47.8260363, 12.6482394 47.8261175)",,,,,
163549300,False,2,B 306,primary,70,False,35.242,"LINESTRING (12.6486211 47.8260363, 12.6485921 47.8262206, 12.6485889 47.8263522)",Deutsche Alpenstraße,,,,
163549303,False,3,B 306,primary,70,True,69.753,"LINESTRING (12.6486211 47.8260363, 12.6487421 47.825728, 12.6489473 47.825452)",Deutsche Alpenstraße,,,,
5235735,True,1,,motorway_link,,False,37.480000000000004,"LINESTRING (12.6485889 47.8263522, 12.6484155 47.8262006, 12.6483381 47.8261517, 12.6482394 47.8261175)",,,,,
163549300,False,2,B 306,primary,70,True,35.242,"LINESTRING (12.6485889 47.8263522, 12.6485921 47.8262206, 12.6486211 47.8260363)",Deutsche Alpenstraße,,,,
"[318268186, 163549307]",False,"['4', '3']",B 306,primary,70,False,147.018,"LINESTRING (12.6485889 47.8263522, 12.6485847 47.8265187, 12.648599 47.8267927, 12.6486236 47.8270257, 12.6486467 47.8276734)",Deutsche Alpenstraße,,,,
"[318268186, 163549307]",False,"['4', '3']",B 306,primary,70,True,147.018,"LINESTRING (12.6486467 47.8276734, 12.6486236 47.8270257, 12.648599 47.8267927, 12.6485847 47.8265187, 12.6485889 47.8263522)",Deutsche Alpenstraße,,,,
4810860,True,1,,motorway_link,,False,130.736,"LINESTRING (12.6482394 47.8261175, 12.6481108 47.826125, 12.6480304 47.8261394, 12.6479634 47.8261624, 12.6478829 47.8262079, 12.6478088 47.8262714, 12.6477476 47.8263515, 12.6477162 47.8264294, 12.6477092 47.826473, 12.64771 47.8265183, 12.647741 47.8266023, 12.6477694 47.8266462, 12.6478146 47.8266866, 12.6478613 47.8267178, 12.64792 47.8267485, 12.647956 47.826761, 12.6480075 47.8267725, 12.6483468 47.826793)",,,,,
45333215,False,2,TS 5,tertiary,50,True,22.152,"LINESTRING (12.6411954 47.8191098, 12.6410896 47.8190489, 12.6409587 47.8189903)",Adelholzener Straße,,,,
800846232,False,2,TS 5,tertiary,50,False,28.116,"LINESTRING (12.6411954 47.8191098, 12.6412961 47.8191853, 12.6413582 47.819245, 12.641412 47.8193149)",Adelholzener Straße,,,,
