osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction,width,bridge,access
41546645,Oststraße,residential,False,True,8.236,,,,"LINESTRING (7.6476323 51.1075057, 7.6476206 51.107432)",,,,
"[461025592, 97677090]",Oststraße,primary,False,False,161.547,"['2', '3']",B 54,50,"LINESTRING (7.6476323 51.1075057, 7.6474198 51.1075247, 7.6472059 51.1075373, 7.6469678 51.107547, 7.6468514 51.1075499, 7.6466558 51.1075547, 7.6460673 51.1075529, 7.6456569 51.1075493, 7.6453223 51.1075454)",,,,
"[26348224, 846740593, 736302211, 364707005]",Bahnhofstraße,secondary,False,False,61.889,"['2', '3']",L 528,50,"LINESTRING (7.63565 51.1082841, 7.6357529 51.1082477, 7.6357742 51.1082402, 7.6358689 51.1082021, 7.6361987 51.1081179, 7.6362983 51.1080925, 7.6364575 51.1080589)",,,,
"[234918956, 267254759]",Kapellenweg,residential,False,False,56.137,,,30,"LINESTRING (7.63565 51.1082841, 7.6355046 51.1082052, 7.6353935 51.1081462, 7.635203 51.108043, 7.6351203 51.1079964, 7.6350937 51.1079764, 7.6350618 51.1079429)",,,,
380885280,Weststraße,secondary,False,True,36.544000000000004,2,L 528,50,"LINESTRING (7.63565 51.1082841, 7.6355748 51.1083736, 7.635451 51.1085609, 7.6354309 51.1085821)",,,,
"[595933802, 97676484, 618211340]",Volmestraße,secondary,False,True,122.899,2,L 323,50,"LINESTRING (7.6385564 51.1073948, 7.6386573 51.1075026, 7.6390272 51.1078701, 7.6390718 51.107917, 7.6391411 51.1079996, 7.639169 51.1080284, 7.6392085 51.1080714, 7.6392527 51.108148, 7.6392706 51.1081857, 7.639301 51.1082623, 7.6393204 51.1083158, 7.6393306 51.108375)",,,,
"[670182954, 284004459]",Volmestraße,secondary,False,False,106.089,3,L 323,50,"LINESTRING (7.6385564 51.1073948, 7.6384629 51.1072834, 7.6383602 51.1071664, 7.6382554 51.1070482, 7.6380899 51.106844, 7.6380237 51.1067365, 7.6379906 51.1066737, 7.6379337 51.1065293)",,,,
"[846740594, 364707005]",Bahnhofstraße,secondary,False,True,164.288,2,L 528,50,"LINESTRING (7.6385564 51.1073948, 7.6382388 51.1075143, 7.6380111 51.1075958, 7.6376533 51.1076929, 7.6373765 51.1077771, 7.6370663 51.1078746, 7.6368882 51.1079384, 7.6364575 51.1080589)",,,,
234918954,Volmestraße,secondary,False,False,177.571,2,L 323,50,"LINESTRING (7.6379337 51.1065293, 7.63791 51.1064161, 7.6379033 51.1063087, 7.6379133 51.106195, 7.6379322 51.1061021, 7.6379707 51.1059981, 7.6380371 51.1058749, 7.6381035 51.1057807, 7.6381959 51.1056716, 7.6383809 51.1054723, 7.6384985 51.1053476, 7.6385669 51.1052529, 7.6386096 51.1051638, 7.6386281 51.1051028, 7.6386412 51.1050337)",,,,
267254760,Kapellenweg,residential,False,True,304.053,,,30,"LINESTRING (7.6379337 51.1065293, 7.6378852 51.1065425, 7.6377632 51.1065551, 7.6376343 51.1065691, 7.637515 51.1065814, 7.6374433 51.1065858, 7.6373769 51.1065858, 7.6372985 51.1065812, 7.6371789 51.1065715, 7.6370584 51.1065589, 7.636874 51.1065349, 7.6367889 51.1065265, 7.6367392 51.1065231, 7.6366891 51.1065237, 7.6366413 51.106529, 7.6365709 51.1065416, 7.6364811 51.1065622, 7.6362764 51.1066134, 7.6358441 51.1067387, 7.6357347 51.1067767, 7.635665 51.1068094, 7.6356073 51.106846, 7.6355505 51.1068836, 7.6354947 51.1069323, 7.6354001 51.1070199, 7.635309 51.1071285, 7.6352293 51.1072449, 7.635146 51.1073971, 7.6350854 51.1075481, 7.6350367 51.1077638, 7.6350307 51.1078463, 7.6350394 51.1078969, 7.6350618 51.1079429)",,,,
"[670182954, 284004459]",Volmestraße,secondary,False,True,106.089,3,L 323,50,"LINESTRING (7.6379337 51.1065293, 7.6379906 51.1066737, 7.6380237 51.1067365, 7.6380899 51.106844, 7.6382554 51.1070482, 7.6383602 51.1071664, 7.6384629 51.1072834, 7.6385564 51.1073948)",,,,
26348223,Derschlager Straße,secondary,False,False,206.143,2,L 323,50,"LINESTRING (7.6386412 51.1050337, 7.6386401 51.104973, 7.6386321 51.104906, 7.6385828 51.1048163, 7.6385579 51.1047895, 7.6383434 51.1045805, 7.6380526 51.1042921, 7.6378477 51.1040954, 7.6375795 51.1038371, 7.6374888 51.1037237, 7.6374405 51.1036428, 7.6373852 51.1035358, 7.6373353 51.1033984)",,,,
26364564,Kampstraße,residential,False,True,39.393,,,,"LINESTRING (7.6386412 51.1050337, 7.6388056 51.105046, 7.6389727 51.1050522, 7.6390634 51.105057, 7.6392027 51.1050468)",,,,
234918954,Volmestraße,secondary,False,True,177.57099999999997,2,L 323,50,"LINESTRING (7.6386412 51.1050337, 7.6386281 51.1051028, 7.6386096 51.1051638, 7.6385669 51.1052529, 7.6384985 51.1053476, 7.6383809 51.1054723, 7.6381959 51.1056716, 7.6381035 51.1057807, 7.6380371 51.1058749, 7.6379707 51.1059981, 7.6379322 51.1061021, 7.6379133 51.106195, 7.6379033 51.1063087, 7.63791 51.1064161, 7.6379337 51.1065293)",,,,
26348223,Derschlager Straße,secondary,False,True,206.14299999999997,2,L 323,50,"LINESTRING (7.6373353 51.1033984, 7.6373852 51.1035358, 7.6374405 51.1036428, 7.6374888 51.1037237, 7.6375795 51.1038371, 7.6378477 51.1040954, 7.6380526 51.1042921, 7.6383434 51.1045805, 7.6385579 51.1047895, 7.6385828 51.1048163, 7.6386321 51.104906, 7.6386401 51.104973, 7.6386412 51.1050337)",,,,
189290823,Derschlager Straße,secondary,False,False,120.19299999999998,2,L 323,50,"LINESTRING (7.6373353 51.1033984, 7.6372216 51.1030547, 7.6371614 51.1029121, 7.6371232 51.1028016, 7.6371 51.1026921, 7.6370914 51.1025661, 7.6370986 51.1024544, 7.6371247 51.1023346)",,,,
"[25646888, 495950258]",Genkeler Straße,unclassified,False,False,160.312,2,,30,"LINESTRING (7.6373353 51.1033984, 7.637259 51.1034056, 7.6371017 51.1033936, 7.6370369 51.1033713, 7.6369724 51.1033327, 7.6367685 51.1031847, 7.6367083 51.1031326, 7.6366716 51.103079, 7.6363976 51.1022231)",,,,
26349080,,residential,False,False,52.375,,,,"LINESTRING (7.6371247 51.1023346, 7.6364778 51.1022255, 7.6363976 51.1022231)",,,,
189290823,Derschlager Straße,secondary,False,True,120.19299999999998,2,L 323,50,"LINESTRING (7.6371247 51.1023346, 7.6370986 51.1024544, 7.6370914 51.1025661, 7.6371 51.1026921, 7.6371232 51.1028016, 7.6371614 51.1029121, 7.6372216 51.1030547, 7.6373353 51.1033984)",,,,
"[41546646, 41546670]",Hauptstraße,residential,False,"[False, True]",41.028,,,20,"LINESTRING (7.6408571 51.1078472, 7.6407295 51.1077884, 7.6404076 51.1076469, 7.6403814 51.107631)",,,,
669949827,Krugmann-Kreisel,residential,True,False,24.243,1,,50,"LINESTRING (7.6408571 51.1078472, 7.6408926 51.1078257, 7.6409336 51.1078147, 7.6409771 51.1078051, 7.641024 51.1078025, 7.6410678 51.1078071, 7.6410958 51.1078105, 7.6411347 51.1078249, 7.6411662 51.1078424)",roundabout,,,
41546641,Birkeshöhstraße,residential,False,True,79.743,,,,"LINESTRING (7.6439975 51.1083213, 7.6438433 51.1082773, 7.6434455 51.1081674, 7.6431734 51.1081085, 7.6429307 51.1080698)",,,,
60538647,Birkeshöhstraße,residential,False,False,166.227,2,,,"LINESTRING (7.6439975 51.1083213, 7.6440012 51.1084518, 7.6440208 51.1084946, 7.6442819 51.1088725, 7.6443001 51.1088989, 7.644427 51.1090055, 7.6445703 51.109092, 7.6452216 51.1094499, 7.6453126 51.1095028)",,,,
"[461025611, 41546669]",Zur Birkeshöh,residential,False,False,136.72,3,,30,"LINESTRING (7.6439975 51.1083213, 7.6440709 51.1081988, 7.6441629 51.1081139, 7.6443166 51.1080404, 7.644896 51.1079289, 7.6449696 51.1079103, 7.6450286 51.1078884, 7.6450735 51.1078666, 7.6451218 51.1078379, 7.6451694 51.1078034, 7.6452023 51.1077739, 7.6452298 51.1077454, 7.6452465 51.1077263, 7.645261 51.1077016, 7.6452773 51.1076609, 7.6453223 51.1075454)",,,,
380885280,Weststraße,secondary,False,False,58.551,2,L 528,50,"LINESTRING (7.6346131 51.1085762, 7.6349592 51.1085949, 7.6352769 51.1086207, 7.6353506 51.1086133, 7.6354004 51.1086009, 7.6354309 51.1085821)",,,,
"[25646888, 495950258]",Genkeler Straße,unclassified,False,True,160.31199999999998,2,,30,"LINESTRING (7.6363976 51.1022231, 7.6366716 51.103079, 7.6367083 51.1031326, 7.6367685 51.1031847, 7.6369724 51.1033327, 7.6370369 51.1033713, 7.6371017 51.1033936, 7.637259 51.1034056, 7.6373353 51.1033984)",,,,
26349080,,residential,False,True,52.375,,,,"LINESTRING (7.6363976 51.1022231, 7.6364778 51.1022255, 7.6371247 51.1023346)",,,,
"[495950259, 112178022]",Otto-Fuchs-Straße,residential,False,True,180.268,,,,"LINESTRING (7.6363976 51.1022231, 7.6363345 51.1022317, 7.636283 51.1022526, 7.636247 51.1022941, 7.6361795 51.1024409, 7.6360772 51.1028023, 7.6360275 51.1029244, 7.6359458 51.1030713, 7.6358644 51.1031898, 7.6358145 51.1032432, 7.6357529 51.1032876, 7.6356463 51.1033444, 7.6355132 51.1033872, 7.6353705 51.1034129, 7.635241 51.1034214, 7.6351033 51.103413)",,,,
97677091,Gerichtstraße,residential,False,False,29.71,,,30,"LINESTRING (7.6451609 51.1033372, 7.6453023 51.1030852)",,,,
"[1002249353, 97677091]",Gerichtstraße,residential,False,True,190.345,,,30,"LINESTRING (7.6451609 51.1033372, 7.6447362 51.1040513, 7.6443141 51.1047554, 7.6442093 51.1049413)",,,,
149133485,Kampstraße,residential,False,True,124.138,,,30,"LINESTRING (7.6451609 51.1033372, 7.645081 51.1033335, 7.6446699 51.1034691, 7.6441132 51.1036756, 7.6440032 51.1037153, 7.6438933 51.1037412, 7.6436973 51.1037751, 7.6435595 51.1037879)",,,,
97677091,Gerichtstraße,residential,False,True,29.71,,,30,"LINESTRING (7.6453023 51.1030852, 7.6451609 51.1033372)",,,,
41546654,Gartenstraße,residential,False,True,68.05499999999999,,,30,"LINESTRING (7.6453023 51.1030852, 7.6453861 51.103097, 7.6462702 51.1030396)",,,,
41546647,Löher Weg,residential,False,False,101.529,,,30,"LINESTRING (7.6442093 51.1049413, 7.6449299 51.1051062, 7.6455702 51.1052629)",,,,
41546673,Gerichtstraße,residential,False,True,131.85,,,50,"LINESTRING (7.6442093 51.1049413, 7.6441368 51.1050461, 7.6440918 51.1051249, 7.6438785 51.1054886, 7.6438205 51.1056147, 7.6436384 51.1059542, 7.6436092 51.1060634)",,,,
"[1002249353, 97677091]",Gerichtstraße,residential,False,False,190.345,,,30,"LINESTRING (7.6442093 51.1049413, 7.6443141 51.1047554, 7.6447362 51.1040513, 7.6451609 51.1033372)",,,,
41546647,Löher Weg,residential,False,False,31.358,,,30,"LINESTRING (7.6455702 51.1052629, 7.6459851 51.1053709)",,,,
41546647,Löher Weg,residential,False,True,101.529,,,30,"LINESTRING (7.6455702 51.1052629, 7.6449299 51.1051062, 7.6442093 51.1049413)",,,,
