osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,width,access,junction
158349267,K 7812,Altmannsgrüner Straße,tertiary,False,False,127.58500000000001,"LINESTRING (12.3075764 50.5348858, 12.3076357 50.5355198, 12.3080555 50.5359571)",,,,,,
24954146,,Am Mahnbrücker Weg,residential,False,False,88.84299999999999,"LINESTRING (12.3089154 50.5369671, 12.3090458 50.5369151, 12.3099048 50.5364752)",,,,,,
158349267,K 7812,Altmannsgrüner Straße,tertiary,False,False,32.437,"LINESTRING (12.3089154 50.5369671, 12.3089416 50.5372053, 12.3089615 50.5372567)",,,,,,
158349267,K 7812,Altmannsgrüner Straße,tertiary,False,True,107.932,"LINESTRING (12.3089154 50.5369671, 12.3087842 50.5367994, 12.3085424 50.536546, 12.3083978 50.5363847, 12.3081937 50.5361127)",,,,,,
24954045,K 7812,Gerberstraße,tertiary,False,False,80.293,"LINESTRING (12.3089615 50.5372567, 12.3096194 50.5378454)",,,,,,
"[24973336, 135847220, 135847221]",,Dr.-Wilhelm-Külz-Straße,residential,False,True,29.54,"LINESTRING (12.3089615 50.5372567, 12.3089014 50.5372847, 12.3088118 50.5373264, 12.3086243 50.5374137)",yes,,,,,
158349267,K 7812,Altmannsgrüner Straße,tertiary,False,True,32.437,"LINESTRING (12.3089615 50.5372567, 12.3089416 50.5372053, 12.3089154 50.5369671)",,,,,,
24972526,,Töpfergasse,residential,False,False,179.34499999999997,"LINESTRING (12.3103338 50.5385505, 12.3100827 50.5384812, 12.3097334 50.5383848, 12.3095032 50.538301, 12.3092073 50.5381487, 12.308935 50.5379737, 12.3083707 50.5375698)",,,,,,
135847223,K 7812,Gerberstraße,tertiary,False,False,14.596,"LINESTRING (12.3103338 50.5385505, 12.3104289 50.5385762, 12.3105321 50.5385763)",,,,,,
"[24954045, 135847222, 135847223]",K 7812,Gerberstraße,tertiary,False,True,94.006,"LINESTRING (12.3103338 50.5385505, 12.3102218 50.5384656, 12.3101827 50.5383888, 12.3100924 50.538253, 12.3096194 50.5378454)",yes,,,,,
