osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,lanes,bridge
29170919,True,Marquardtstraße,residential,False,25.367,,,"LINESTRING (9.3787334 53.9233993, 9.3786414 53.9236209)",,
"[29171235, 29127294]",False,Klosterhof,secondary,False,264.93199999999996,L 136,30,"LINESTRING (9.3787334 53.9233993, 9.3785373 53.9233663, 9.3778325 53.9232478, 9.3773514 53.9231312, 9.3773174 53.9231153, 9.3767536 53.9228521, 9.3767324 53.9228276, 9.3762309 53.9223642, 9.3761574 53.9221247, 9.3761467 53.921959, 9.3761979 53.9218752)",,
29171235,False,Klosterhof,secondary,True,30.137999999999998,L 136,30,"LINESTRING (9.3787334 53.9233993, 9.3789257 53.923536, 9.3790384 53.9236019)",,
25692642,False,Etatsrätin-Doos-Straße,residential,False,149.698,,50,"LINESTRING (9.377721 53.9248337, 9.3775823 53.9247957, 9.3774114 53.9247649, 9.3771972 53.9247523, 9.3769434 53.9247566, 9.3762001 53.9247772, 9.3755471 53.9245706)",,
29127295,False,Klosterhof,secondary,False,121.933,L 135,50,"LINESTRING (9.377721 53.9248337, 9.3777452 53.9248171, 9.3778943 53.9247371, 9.3782798 53.9246315, 9.3786069 53.9245353, 9.3787736 53.9244745, 9.3788883 53.9244131, 9.3789902 53.9243429, 9.379146 53.9241752)",,
30210268,False,Neue Burger Straße,secondary,True,23.221,L 135,50,"LINESTRING (9.377721 53.9248337, 9.3776927 53.9248723, 9.3776739 53.9249154, 9.3776722 53.9249701, 9.3776664 53.9250376)",,
"[25692642, 519771300]",False,Etatsrätin-Doos-Straße,residential,False,412.87399999999997,,50,"LINESTRING (9.3755471 53.9245706, 9.3742992 53.9245068, 9.3741449 53.9244822, 9.374026 53.9244429, 9.3726484 53.9244576, 9.3724192 53.924387, 9.3723137 53.9243114, 9.372228 53.9242405, 9.371491 53.9237801, 9.3714043 53.9237259, 9.3713361 53.9236833, 9.3711911 53.9235927, 9.3709638 53.9234732, 9.3705086 53.923234, 9.3702253 53.9230851)",,
25692642,False,Etatsrätin-Doos-Straße,residential,True,149.69799999999998,,50,"LINESTRING (9.3755471 53.9245706, 9.3762001 53.9247772, 9.3769434 53.9247566, 9.3771972 53.9247523, 9.3774114 53.9247649, 9.3775823 53.9247957, 9.377721 53.9248337)",,
25692650,True,Taggstraße,residential,False,90.251,,30,"LINESTRING (9.3755471 53.9245706, 9.3756321 53.9245112, 9.3757134 53.9244369, 9.3764641 53.9239664)",,
25692670,True,Burger Straße,residential,False,121.483,,30,"LINESTRING (9.3764641 53.9239664, 9.3760754 53.9237356, 9.3751466 53.9231972)",,
"[1236347848, 25692668]",True,Burger Straße,residential,False,123.239,,30,"LINESTRING (9.3764641 53.9239664, 9.377263 53.9244076, 9.377421 53.9242483, 9.3776195 53.9239951)",,
25692670,True,Burger Straße,residential,False,32.353,,30,"LINESTRING (9.3751466 53.9231972, 9.3747584 53.9230172)",,
26009079,True,Am Markt,residential,False,30.092000000000002,,30,"LINESTRING (9.3740515 53.9224484, 9.3741193 53.9223918, 9.3742066 53.9223341, 9.3743926 53.9222758)",,
46951559,False,Steindamm,secondary,True,28.394,L 135,50,"LINESTRING (9.379146 53.9241752, 9.3795796 53.9241791)",2,
29127295,False,Klosterhof,secondary,True,121.93299999999999,L 135,50,"LINESTRING (9.379146 53.9241752, 9.3789902 53.9243429, 9.3788883 53.9244131, 9.3787736 53.9244745, 9.3786069 53.9245353, 9.3782798 53.9246315, 9.3778943 53.9247371, 9.3777452 53.9248171, 9.377721 53.9248337)",,
29171235,False,Klosterhof,secondary,False,65.881,L 136,30,"LINESTRING (9.379146 53.9241752, 9.3792061 53.9238789, 9.3790384 53.9236019)",,
26009079,True,Am Markt,residential,False,56.166000000000004,,30,"LINESTRING (9.3752822 53.9226279, 9.3751643 53.9227674, 9.3750123 53.9228967, 9.3747584 53.9230172)",,
26009131,True,Kohlmarkt,residential,False,47.885,,30,"LINESTRING (9.3752822 53.9226279, 9.3756305 53.9228173, 9.3757602 53.9229481)",,
26009079,True,Am Markt,residential,False,53.692,,30,"LINESTRING (9.3746911 53.9222941, 9.3747792 53.9223326, 9.3752822 53.9226279)",,
29137068,False,Op de Göten,residential,True,15.122,,30,"LINESTRING (9.3746911 53.9222941, 9.3747376 53.9222307, 9.374817 53.9221828)",,
29875269,False,Rathausstraße,secondary,False,46.408,L 136,30,"LINESTRING (9.3761979 53.9218752, 9.3766318 53.9215452)",,
26009072,False,Schmiedestraße,residential,False,35.699999999999996,,30,"LINESTRING (9.3761979 53.9218752, 9.3761588 53.9218597, 9.3757417 53.9216994)",,
"[29171235, 29127294]",False,Klosterhof,secondary,True,264.93199999999996,L 136,30,"LINESTRING (9.3761979 53.9218752, 9.3761467 53.921959, 9.3761574 53.9221247, 9.3762309 53.9223642, 9.3767324 53.9228276, 9.3767536 53.9228521, 9.3773174 53.9231153, 9.3773514 53.9231312, 9.3778325 53.9232478, 9.3785373 53.9233663, 9.3787334 53.9233993)",,
29137068,False,Op de Göten,residential,False,34.981,,30,"LINESTRING (9.3757417 53.9216994, 9.3753822 53.9219321)",,
"[26009072, 29139494]",False,Schmiedestraße,residential,False,159.125,,30,"LINESTRING (9.3757417 53.9216994, 9.37561 53.921582, 9.3753918 53.9214038, 9.3746014 53.92107, 9.3744272 53.9209588, 9.3743635 53.9208522, 9.3743465 53.9208238, 9.3743595 53.9206205)",,
26009072,False,Schmiedestraße,residential,True,35.699999999999996,,30,"LINESTRING (9.3757417 53.9216994, 9.3761588 53.9218597, 9.3761979 53.9218752)",,
"[26009072, 29139494]",False,Schmiedestraße,residential,True,159.125,,30,"LINESTRING (9.3743595 53.9206205, 9.3743465 53.9208238, 9.3743635 53.9208522, 9.3744272 53.9209588, 9.3746014 53.92107, 9.3753918 53.9214038, 9.37561 53.921582, 9.3757417 53.9216994)",,
29139527,False,Neustadt,residential,False,17.99,,30,"LINESTRING (9.3743595 53.9206205, 9.3743021 53.9205917, 9.3741536 53.9205134)",,
26441427,False,Krumwehl,tertiary,False,175.834,K 63,50,"LINESTRING (9.3718069 53.9198865, 9.3709177 53.919508, 9.3708465 53.9194777, 9.3700327 53.9191128, 9.369653 53.9189425)",,
27825909,False,Hans-Prox-Straße,tertiary,False,211.23900000000003,K 15,50,"LINESTRING (9.3718069 53.9198865, 9.3717726 53.9199031, 9.3712195 53.9201729, 9.3709804 53.9202923, 9.3701871 53.9203697, 9.37008 53.9203805, 9.3689958 53.9207312)",,
"[29276600, 29276601, 29139527]",False,"['Krumwehl', 'Neustadt']",residential,True,86.511,,30,"LINESTRING (9.3718069 53.9198865, 9.3723448 53.9201336, 9.3723926 53.9201502, 9.3724528 53.9201725, 9.3725886 53.9202273, 9.3729163 53.9202957)",,yes
