osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction,width,tunnel
25577429,St 2107,Bahnhofstraße,secondary,50,False,False,44.969,"LINESTRING (12.6811517 48.2431435, 12.6810583 48.2427439)",,,,,
196532126,St 2107,Bahnhofstraße,secondary,50,False,True,134.327,"LINESTRING (12.6811517 48.2431435, 12.6811641 48.2431985, 12.6812355 48.2435139, 12.6814181 48.244243, 12.6814423 48.2443359)",,,,,
"[49026363, 49026362, 25556883]",,"['Holzhauser Straße', 'Bahnhofstraße']",unclassified,,True,False,22.477999999999998,"LINESTRING (12.6808574 48.2431927, 12.6809087 48.2431841, 12.6810826 48.2431527, 12.6811517 48.2431435)",2,yes,,,
170363202,,Holzhauser Straße,residential,,False,True,123.779,"LINESTRING (12.6808574 48.2431927, 12.6800923 48.2433724, 12.679837 48.2434323, 12.6795396 48.2434774, 12.6794173 48.2434842, 12.6792573 48.2434682)",,,,,
499528988,St 2107,Bahnhofstraße,secondary,50,True,False,4.936,"LINESTRING (12.6813669 48.2411639, 12.6813966 48.2411538, 12.681429 48.2411487)",1,,roundabout,,
"[221963571, 169485330, 49025555, 221963572]",,Möhrenbachstraße,unclassified,,False,False,402.9699999999999,"LINESTRING (12.6806879 48.2425121, 12.680686 48.2423811, 12.6807222 48.2419528, 12.6807299 48.2419235, 12.6808545 48.2411599, 12.6808954 48.2410448, 12.6809429 48.2409746, 12.6809886 48.2409254, 12.6811503 48.2408169, 12.681222 48.2407669, 12.6812869 48.2407169, 12.6813996 48.2406236, 12.6814815 48.2405713, 12.6816164 48.2405054, 12.6817342 48.2404622, 12.6818716 48.2404246, 12.682074 48.24037, 12.6823011 48.2403217, 12.6825555 48.2402711, 12.682811 48.2402325, 12.6835097 48.2401754, 12.6836675 48.2401683)",,yes,,,
49025561,,Bahnhofstraße,unclassified,,True,False,76.72,"LINESTRING (12.6806879 48.2425121, 12.6808438 48.2431521, 12.6808574 48.2431927)",,,,,
"[49026360, 49026361, 106262714]",,St-Anna-Straße,unclassified,,False,False,24.953000000000003,"LINESTRING (12.6806879 48.2425121, 12.680796 48.2425238, 12.6809131 48.2425286, 12.6809357 48.2425288, 12.6810232 48.2425301)",,yes,,,
107211760,,Sankt-Anna-Straße,residential,,False,True,66.633,"LINESTRING (12.6806879 48.2425121, 12.680405 48.2424738, 12.6800778 48.2424402, 12.6799578 48.2424257, 12.6798007 48.242414)",,,,,
156931831,St 2107,Bahnhofstraße,secondary,,False,True,23.915,"LINESTRING (12.6810232 48.2425301, 12.6810583 48.2427439)",,,,,
49025556,St 2107,Bahnhofstraße,secondary,50,False,False,32.837,"LINESTRING (12.6810232 48.2425301, 12.6810198 48.242485, 12.6810191 48.2424172, 12.6810361 48.2422352)",,,,,
"[49026360, 49026361, 106262714]",,St-Anna-Straße,unclassified,,False,True,24.953,"LINESTRING (12.6810232 48.2425301, 12.6809357 48.2425288, 12.6809131 48.2425286, 12.680796 48.2425238, 12.6806879 48.2425121)",,yes,,,
"[26242785, 25577435, 234058157, 1080025070, 802263643]",,"['Bahnhofstraße', 'Ludwigstraße']",tertiary,"['50', '30']",False,False,361.789,"LINESTRING (12.6818766 48.2406136, 12.6820366 48.2406547, 12.6822264 48.2406989, 12.682423 48.2407549, 12.682556 48.2407985, 12.6826603 48.2408357, 12.6827649 48.2408799, 12.6828625 48.240941, 12.6829905 48.2410277, 12.6830733 48.2410914, 12.6831798 48.2411881, 12.6834073 48.2414011, 12.6834951 48.2414855, 12.683536 48.2415025, 12.6835772 48.2415082, 12.6836102 48.2415081, 12.6836536 48.2414993, 12.6842781 48.2412952, 12.6846652 48.2411804, 12.6852693 48.2410209, 12.6853811 48.2409879, 12.6854949 48.2409446, 12.685873 48.2407844, 12.6859615 48.2407542)",2,,,,
"[159933703, 41898125, 41898126, 409779729, 41896314]",St 2107,Bahnhofstraße,secondary,"['50', '100']",False,"[False, True]",408.61499999999995,"LINESTRING (12.6818766 48.2406136, 12.6819128 48.2405571, 12.6819385 48.2405113, 12.6820312 48.2403477, 12.6821125 48.2401725, 12.6821723 48.2400366, 12.6822182 48.2399053, 12.6822413 48.2398073, 12.6822683 48.2396779, 12.6823089 48.2394407, 12.6823244 48.2392798, 12.6823309 48.239108, 12.6823225 48.23898, 12.682311 48.2387482, 12.6823016 48.2386459, 12.6822577 48.2384198, 12.6821946 48.2382056, 12.6820969 48.2379716, 12.6819785 48.2377077, 12.681845 48.2374545, 12.6817477 48.2372862, 12.681585 48.2370584)",2,yes,,,
584564699,St 2107,Bahnhofstraße,secondary,50,True,False,69.484,"LINESTRING (12.6818766 48.2406136, 12.6818262 48.2407614, 12.6817404 48.2408876, 12.6816662 48.2410097, 12.6816144 48.2410862, 12.681585 48.2411319, 12.6815699 48.2412006)",1,,,,
"[26242785, 234058157, 1080025070, 802263643, 25577435]",,"['Bahnhofstraße', 'Ludwigstraße']",tertiary,"['50', '30']",False,True,361.78899999999993,"LINESTRING (12.6859615 48.2407542, 12.685873 48.2407844, 12.6854949 48.2409446, 12.6853811 48.2409879, 12.6852693 48.2410209, 12.6846652 48.2411804, 12.6842781 48.2412952, 12.6836536 48.2414993, 12.6836102 48.2415081, 12.6835772 48.2415082, 12.683536 48.2415025, 12.6834951 48.2414855, 12.6834073 48.2414011, 12.6831798 48.2411881, 12.6830733 48.2410914, 12.6829905 48.2410277, 12.6828625 48.240941, 12.6827649 48.2408799, 12.6826603 48.2408357, 12.682556 48.2407985, 12.682423 48.2407549, 12.6822264 48.2406989, 12.6820366 48.2406547, 12.6818766 48.2406136)",2,,,,
207569711,,Ludwigstraße,tertiary,30,True,False,115.418,"LINESTRING (12.6859615 48.2407542, 12.6864296 48.240609, 12.6865899 48.2405655, 12.6869251 48.2404932, 12.6871067 48.240472, 12.687436 48.2404422)",1,,,,
478172208,,Burghauser Straße,tertiary,,True,False,14.135000000000002,"LINESTRING (12.6907514 48.2400675, 12.6907213 48.2400744, 12.6906897 48.240077, 12.690658 48.2400752, 12.6906276 48.2400692, 12.6905996 48.240059, 12.6905754 48.2400453)",1,,roundabout,,
478172208,,Burghauser Straße,tertiary,,True,False,6.9,"LINESTRING (12.6905334 48.2399676, 12.6905387 48.2399472, 12.69055 48.2399279, 12.6905669 48.2399106)",1,,roundabout,,
151492565,,Pfarrer-Leeb-Straße,residential,,False,False,147.559,"LINESTRING (12.6907497 48.2398813, 12.6909681 48.2396663, 12.6912945 48.2393454, 12.6910958 48.2391856, 12.6906225 48.2388338)",,,,,
478172208,,Burghauser Straße,tertiary,,True,False,17.171,"LINESTRING (12.6907497 48.2398813, 12.6907722 48.2398896, 12.6907924 48.2399003, 12.6908095 48.2399131, 12.6908232 48.2399276, 12.6908331 48.2399435, 12.6908389 48.2399602, 12.6908404 48.2399774, 12.6908375 48.2399944, 12.6908305 48.2400109)",1,,roundabout,,
381695738,,Sebastiansplatz,tertiary,30,True,False,17.9,"LINESTRING (12.6903209 48.2400443, 12.6905334 48.2399676)",,,,,
207569706,,Sebastiansplatz,tertiary,30,False,True,38.831,"LINESTRING (12.6903209 48.2400443, 12.6901015 48.2400574, 12.6899114 48.2400626, 12.6897978 48.2400671)",2,,,,
156931776,,Möhrenbachstraße,unclassified,30,False,False,184.14600000000002,"LINESTRING (12.6858744 48.239411, 12.6858238 48.2393401, 12.6857551 48.2392389, 12.6856875 48.2391393, 12.6856498 48.2390788, 12.6856104 48.2389944, 12.6855641 48.2388734, 12.6855264 48.2387124, 12.6854944 48.2385415, 12.6854425 48.2381805, 12.685391 48.2380138, 12.6853005 48.2378122)",,,,,
"[156931818, 417296402]",,Mühlgasse,residential,,False,True,175.03699999999998,"LINESTRING (12.6858744 48.239411, 12.6859423 48.2393111, 12.6860391 48.2392176, 12.686089 48.2391791, 12.686121 48.2391653, 12.6861468 48.2391541, 12.6862623 48.2391219, 12.6864075 48.2391032, 12.6865538 48.2390946, 12.6866573 48.2390886, 12.6869367 48.2390897, 12.6870944 48.2390814, 12.6872442 48.2390564, 12.6873207 48.2390315, 12.6873676 48.2390086, 12.6874263 48.2389679, 12.68748 48.2389192, 12.687538 48.2388534, 12.6875614 48.2388253, 12.6876005 48.2387743, 12.6876357 48.2387369, 12.6877347 48.2386774)",,,,,
417296398,,Möhrenbachstraße,unclassified,,False,True,36.111000000000004,"LINESTRING (12.6858744 48.239411, 12.6858423 48.2394511, 12.6857323 48.2395817, 12.6856213 48.2396881)",,,,,
51655642,,Möhrenbachstraße,residential,,False,True,98.19300000000001,"LINESTRING (12.6856213 48.2396881, 12.6856848 48.2397472, 12.6856889 48.2397975, 12.6856574 48.2399781, 12.6856851 48.2400073, 12.6857022 48.2400214, 12.6857282 48.2400296, 12.6857848 48.2400304, 12.685842 48.2400234, 12.6859173 48.2400126, 12.6860008 48.239999, 12.6861532 48.2399763, 12.6863191 48.2399395, 12.6864571 48.2398978)",,,,,
417296398,,Möhrenbachstraße,unclassified,,False,False,36.111,"LINESTRING (12.6856213 48.2396881, 12.6857323 48.2395817, 12.6858423 48.2394511, 12.6858744 48.239411)",,,,,
417296398,,Möhrenbachstraße,unclassified,,False,True,116.773,"LINESTRING (12.6856213 48.2396881, 12.6854262 48.2398281, 12.6852463 48.2399345, 12.6851305 48.239993, 12.6850562 48.2400309, 12.6846191 48.2402089, 12.6845971 48.2402179, 12.6844643 48.240256, 12.6843398 48.240275)",,,,,
"[151480797, 151480798]",,Pallaufstraße,residential,,False,"[False, True]",154.739,"LINESTRING (12.6792573 48.2434682, 12.6791692 48.2435551, 12.6786344 48.2439017, 12.6793498 48.244141, 12.6796995 48.2442488)",,,,,
170363202,,Holzhauser Straße,residential,,False,False,123.779,"LINESTRING (12.6792573 48.2434682, 12.6794173 48.2434842, 12.6795396 48.2434774, 12.679837 48.2434323, 12.6800923 48.2433724, 12.6808574 48.2431927)",,,,,
100176618,St 2107,Bahnhofstraße,secondary,100,False,False,37.116,"LINESTRING (12.6814098 48.236833, 12.6811635 48.2365423)",2,,,,
100176618,St 2107,Bahnhofstraße,secondary,100,False,True,28.223,"LINESTRING (12.6814098 48.236833, 12.681585 48.2370584)",2,,,,
