osmid,lanes,ref,highway,oneway,reversed,length,bridge,name,geometry,maxspeed,access,junction
"[406196130, 401979385, 12482858]",2,R 14,tertiary,False,True,157.162,yes,Regensburger Straße,"LINESTRING (11.9554523 49.0253074, 11.9555858 49.0253047, 11.9557456 49.0253134, 11.9564441 49.0254154, 11.9565401 49.0254202, 11.9566149 49.0254144, 11.9567332 49.0253862, 11.9569646 49.0253311, 11.957106 49.025307, 11.9572435 49.02529, 11.9574046 49.0252886, 11.9575577 49.025305)",,,
401979386,3,R 14,tertiary,False,False,23.881999999999998,,,"LINESTRING (11.9554523 49.0253074, 11.9553672 49.0253249, 11.9552899 49.0253518, 11.9551808 49.0254201)",,,
25671926,,,residential,False,False,183.92600000000002,,Weinbergstraße,"LINESTRING (11.9592783 49.021033, 11.9590822 49.0210848, 11.9588787 49.0211137, 11.9587651 49.0211158, 11.9586566 49.0210942, 11.9585595 49.0210563, 11.9583365 49.0209402, 11.9581246 49.0208111, 11.957989 49.0207753, 11.9577423 49.0207456, 11.957574 49.0207217, 11.9574652 49.0207223, 11.9572576 49.0207926, 11.9569914 49.0208429)",,,
30844486,,R 31,tertiary,False,False,139.707,,Regensburger Straße,"LINESTRING (11.9592783 49.021033, 11.9594147 49.0211745, 11.9595231 49.0212602, 11.959982 49.0215457, 11.9601783 49.0217609, 11.9602555 49.021871, 11.9603069 49.0220589)",,,
30844486,,R 31,tertiary,False,True,42.693,,Regensburger Straße,"LINESTRING (11.9592783 49.021033, 11.9592384 49.0209389, 11.9591926 49.0206542)",,,
"[23079619, 23079620]",,,residential,False,True,212.307,,"['Bergstraße', 'Grafenrieder Weg']","LINESTRING (11.9611231 49.0236423, 11.9611961 49.0236194, 11.9612459 49.0235635, 11.9614568 49.0232135, 11.961658 49.0228375, 11.9618468 49.022523, 11.9619589 49.0224628, 11.9622817 49.0223712, 11.9624891 49.0222658, 11.9626969 49.0221467)",,,
23079621,,,residential,False,False,72.136,,Talstraße,"LINESTRING (11.9611231 49.0236423, 11.9611524 49.0237062, 11.9611594 49.0237762, 11.961146 49.0241023, 11.961134 49.0242335, 11.961129 49.0242876)",,,
23079621,,,residential,False,True,70.79599999999999,,Talstraße,"LINESTRING (11.9611231 49.0236423, 11.960926 49.023457, 11.9607925 49.0232508, 11.9606945 49.0231604, 11.9606127 49.0231068)",,,
23079621,,,residential,False,True,98.152,,Talstraße,"LINESTRING (11.960926 49.0251589, 11.9609762 49.024998, 11.9610643 49.02472, 11.9611235 49.0243475, 11.961129 49.0242876)",,,
25667764,,,residential,False,False,27.451999999999998,,Kirchstraße,"LINESTRING (11.960926 49.0251589, 11.9608628 49.0250988, 11.9607739 49.0250494, 11.9606454 49.0250004)",30,yes,
713633176,,,residential,False,False,41.544000000000004,,Talstraße,"LINESTRING (11.960926 49.0251589, 11.960913 49.0252741, 11.9608423 49.025528)",,,
282033009,,,residential,False,True,14.535,,Talstraße,"LINESTRING (11.9602684 49.026706, 11.9603209 49.0265799)",30,,
25667763,,,residential,False,False,66.372,,Ulmenweg,"LINESTRING (11.9602684 49.026706, 11.9598107 49.026548, 11.9596455 49.0265244, 11.9595799 49.0265475, 11.9595217 49.0266378)",,,
282033009,,,residential,False,False,149.825,,Talstraße,"LINESTRING (11.9602684 49.026706, 11.9601747 49.0272107, 11.9601418 49.0275841, 11.9601574 49.0279064, 11.9601775 49.0280483)",30,,
570685172,,R 31,tertiary,False,False,46.055,,Regensburger Straße,"LINESTRING (11.9601775 49.0280483, 11.9607901 49.0281493)",,,
11009991,,R 31,tertiary,False,True,80.679,,Regensburger Straße,"LINESTRING (11.9601775 49.0280483, 11.9594678 49.0279253, 11.959108 49.0278621)",,,
282033009,,,residential,False,True,149.825,,Talstraße,"LINESTRING (11.9601775 49.0280483, 11.9601574 49.0279064, 11.9601418 49.0275841, 11.9601747 49.0272107, 11.9602684 49.026706)",30,,
11009991,,R 31,tertiary,False,False,80.679,,Regensburger Straße,"LINESTRING (11.959108 49.0278621, 11.9594678 49.0279253, 11.9601775 49.0280483)",,,
11009991,,R 31,tertiary,False,True,71.04899999999999,,Regensburger Straße,"LINESTRING (11.959108 49.0278621, 11.9585306 49.0277602, 11.9583988 49.0277208, 11.9582092 49.0276335)",,,
60839836,,,residential,False,True,150.062,,Lärchenweg,"LINESTRING (11.959108 49.0278621, 11.9588832 49.0279547, 11.9586489 49.0279116, 11.9584649 49.02839, 11.9585195 49.0284729, 11.9591393 49.0286201)",30,,
34056355,,,residential,False,False,14.331,,Lärchenweg,"LINESTRING (11.9591393 49.0286201, 11.9591647 49.0284923)",,,
34056355,,,residential,False,True,7.878,,Lärchenweg,"LINESTRING (11.9591393 49.0286201, 11.9591199 49.0286898)",,,
60839836,,,residential,False,False,150.06199999999998,,Lärchenweg,"LINESTRING (11.9591393 49.0286201, 11.9585195 49.0284729, 11.9584649 49.02839, 11.9586489 49.0279116, 11.9588832 49.0279547, 11.959108 49.0278621)",30,,
"[25671907, 60839836]",,,residential,False,True,202.16299999999998,,Lärchenweg,"LINESTRING (11.9591393 49.0286201, 11.9593598 49.0286412, 11.9597558 49.0286714, 11.9601732 49.028717, 11.9606569 49.028766, 11.9609043 49.0287791, 11.9608659 49.028595, 11.9607815 49.0284693, 11.9607371 49.0283273, 11.9607901 49.0281493)",30,,
34056355,,,residential,False,True,14.331,,Lärchenweg,"LINESTRING (11.9591647 49.0284923, 11.9591393 49.0286201)",,,
34056355,,,residential,False,False,7.878,,Lärchenweg,"LINESTRING (11.9591199 49.0286898, 11.9591393 49.0286201)",,,
11009991,,R 31,tertiary,False,False,71.04899999999999,,Regensburger Straße,"LINESTRING (11.9582092 49.0276335, 11.9583988 49.0277208, 11.9585306 49.0277602, 11.959108 49.0278621)",,,
"[1180025916, 1180025917, 1180025918, 11009991]","['2', '3']",R 31,tertiary,False,True,263.924,,Regensburger Straße,"LINESTRING (11.9582092 49.0276335, 11.958092 49.0275852, 11.9579735 49.0275086, 11.9578304 49.0273989, 11.9577226 49.0272829, 11.9576287 49.0271671, 11.9575693 49.0270614, 11.9575176 49.0269257, 11.9574656 49.0267946, 11.9574341 49.0266366, 11.9574293 49.0263759, 11.9574689 49.0261583, 11.9574923 49.0260123, 11.9575064 49.0259247, 11.9575803 49.0257165, 11.9576972 49.0254405)",,,
25667760,,,residential,False,False,37.512,,Erlenweg,"LINESTRING (11.9582092 49.0276335, 11.9583503 49.027557, 11.9585952 49.0274106)",,,
734235868,,,residential,False,False,88.95,,Am Hohen Rain,"LINESTRING (11.9582092 49.0276335, 11.9580565 49.0276521, 11.9579168 49.0276448, 11.9570253 49.0274842)",,,
25667760,,,residential,False,True,20.663,,Erlenweg,"LINESTRING (11.9593021 49.0270562, 11.9590571 49.0271496)",,,
25667760,,,residential,False,False,44.467,,Erlenweg,"LINESTRING (11.9585952 49.0274106, 11.9587905 49.0272948, 11.9590571 49.0271496)",,,
25667761,,,residential,False,False,152.57099999999997,,Dr.-Hermann-Braun-Straße,"LINESTRING (11.9585952 49.0274106, 11.9583387 49.0272051, 11.9581576 49.027023, 11.958133 49.0269846, 11.9581254 49.0269458, 11.9581527 49.0269072, 11.9581922 49.0268876, 11.9586874 49.0268646, 11.9588194 49.0268688, 11.9588801 49.026944, 11.9590571 49.0271496)",,,
