osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,bridge,junction
1044521177,True,2,Salztorswall,secondary,50,False,64.327,"LINESTRING (9.47832 53.597595, 9.4788892 53.5978525, 9.4788941 53.5978548, 9.479092 53.5979482)",,,
4016808,False,,Salzstraße,residential,,False,42.542,"LINESTRING (9.4783642 53.6023017, 9.4782433 53.6022978, 9.4780203 53.6022817, 9.4778209 53.6022679, 9.4777229 53.6022723)",5,,
588617834,False,,Hansestraße,secondary,50,False,170.95499999999998,"LINESTRING (9.4783642 53.6023017, 9.4783563 53.6027914, 9.4783533 53.6029733, 9.4782552 53.6033611, 9.4782052 53.6035394, 9.4780972 53.6038252)",,,
"[4013107, 588617835]",False,3,Hansestraße,secondary,50,True,76.37800000000001,"LINESTRING (9.4783642 53.6023017, 9.4783707 53.6021407, 9.4783856 53.6020602, 9.4784185 53.6018821, 9.4784466 53.6018014, 9.4784595 53.6017648, 9.478509 53.6016219)",,,
368811800,False,3,Wallstraße,secondary,50,True,37.498,"LINESTRING (9.4762338 53.5975806, 9.4759101 53.5976986, 9.4757496 53.5977571)",,,
"[559822369, 91763462]",True,"['2', '3']",Wallstraße,secondary,50,False,76.2,"LINESTRING (9.4762338 53.5975806, 9.4763477 53.5975033, 9.4764993 53.5974531, 9.4766635 53.5974203, 9.4767639 53.597402, 9.4768768 53.5973855, 9.4769465 53.5973799, 9.4770344 53.5973791, 9.4771413 53.5973827, 9.4772894 53.5973862)",,,
"[4013227, 231675748, 22899326]",True,,"['Neubourgstraße', 'Inselstraße']",residential,30,False,163.579,"LINESTRING (9.4730691 53.6000194, 9.4723886 53.5998997, 9.4725216 53.5996742, 9.4725601 53.5996245, 9.4726099 53.5995414, 9.4727465 53.5992044, 9.4727616 53.5990594, 9.4727649 53.5988832)",,,
32426176,False,,Inselstraße,residential,50,False,60.173,"LINESTRING (9.4730691 53.6000194, 9.4733265 53.6000098, 9.4736052 53.6000142, 9.4737862 53.6000333, 9.4739737 53.600056)",,,
"[255332296, 588637657]",False,"['2', '3']",Wallstraße,secondary,50,False,114.01599999999999,"LINESTRING (9.4730691 53.6000194, 9.4731342 53.599911, 9.4733764 53.5995073, 9.4736546 53.5990547)",,,
"[4017698, 588638083, 477444753, 174949469, 174949470]",False,"['2', '3']",Wallstraße,secondary,50,"[False, True]",174.578,"LINESTRING (9.4730691 53.6000194, 9.472817 53.6005647, 9.472715 53.6007898, 9.4726117 53.601018, 9.472496 53.6012734, 9.4724718 53.6013268, 9.4724571 53.6013606, 9.4724444 53.6013974, 9.472404 53.6015148, 9.4723958 53.6015374)",,yes,
29211476,False,,Am Sande,residential,,True,156.80200000000002,"LINESTRING (9.4762883 53.5982121, 9.4766537 53.5982459, 9.4768915 53.5982678, 9.4771668 53.5982932, 9.477534 53.5983224, 9.4774964 53.5985187, 9.4774149 53.5989813)",,,
