osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel,access
34926723,2,St 2220,Bechhofener Straße,secondary,50,False,False,19.738,"LINESTRING (10.324242 49.0717896, 10.3243743 49.0717553, 10.3245028 49.0717509)",,,,
41658397,2,B 25,Feuchtwanger Straße,primary,50,False,False,226.086,"LINESTRING (10.324242 49.0717896, 10.3243869 49.0719615, 10.3249997 49.0727088, 10.3251752 49.0729897, 10.3253149 49.0732378, 10.3254653 49.0736467)",,,,
"[981515585, 85504475]","['2', '3']",B 25,Feuchtwanger Straße,primary,50,False,True,150.212,"LINESTRING (10.324242 49.0717896, 10.3241704 49.071714, 10.3238534 49.0713535, 10.3237376 49.0712007, 10.3236874 49.0711123, 10.3235863 49.0708297, 10.3236051 49.0706788, 10.3236679 49.0705457)",,,,
41658397,2,B 25,Feuchtwanger Straße,primary,50,False,True,226.086,"LINESTRING (10.3254653 49.0736467, 10.3253149 49.0732378, 10.3251752 49.0729897, 10.3249997 49.0727088, 10.3243869 49.0719615, 10.324242 49.0717896)",,,,
"[27610955, 55824795, 95329624, 55824794, 95329627, 434566332]","['2', '3']",St 2220,Am Brühl,secondary,50,False,True,376.42199999999997,"LINESTRING (10.3288543 49.0675347, 10.3280222 49.0671079, 10.3278487 49.067021, 10.3272396 49.0667224, 10.3270425 49.066584, 10.3267677 49.0663715, 10.3263499 49.0659887, 10.3261275 49.0657838, 10.325797 49.0654832, 10.3253761 49.0651914, 10.3252731 49.0651325)",yes,,,
"[981515584, 183128355, 110412387, 475682283, 475682284, 27778421, 41658396, 434566334, 981515583]","['4', '2', '3']",B 25,Luitpoldstraße,primary,50,False,False,509.541,"LINESTRING (10.3288543 49.0675347, 10.3283797 49.0678983, 10.3280833 49.0681253, 10.3278411 49.0682915, 10.3275435 49.0684836, 10.3267818 49.0689323, 10.3266446 49.0690177, 10.3253644 49.0698043, 10.3250948 49.0699496, 10.3249235 49.070025, 10.3246308 49.0701191, 10.3241955 49.0702529, 10.3239809 49.0703214, 10.3238719 49.0703742, 10.3237649 49.0704423, 10.3236679 49.0705457)",,,,
376649934,,,Nördlinger Straße,residential,20,False,False,26.861,"LINESTRING (10.3217296 49.0680478, 10.3215534 49.06826)",,,,
376649934,,,Nördlinger Straße,residential,20,False,True,5.735,"LINESTRING (10.3217296 49.0680478, 10.3217678 49.0680027)",,,,
"[27089576, 27620425]",,,"['Wethgasse', 'Unterer Mauerweg']",residential,20,False,"[False, True]",126.69,"LINESTRING (10.3217296 49.0680478, 10.322085 49.0682681, 10.3222078 49.0684257, 10.322425 49.0686233, 10.3227428 49.0682837)",,,,
110376095,1,,,secondary,50,True,False,20.58,"LINESTRING (10.3249796 49.0650446, 10.3250294 49.0650071, 10.3250962 49.0649891, 10.3251826 49.0649951, 10.3252237 49.0650107)",,roundabout,,
110376095,1,,,secondary,50,True,False,14.896,"LINESTRING (10.3252237 49.0650107, 10.3252695 49.0650489, 10.3252845 49.0650922, 10.3252731 49.0651325)",,roundabout,,
