osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,tunnel,bridge
43062884,Reeperbahn,residential,30,False,True,91.82300000000001,"LINESTRING (10.7704119 53.6997858, 10.7704188 53.6998272, 10.7704275 53.6998792, 10.770455 53.7000742, 10.770465 53.7001201, 10.7704814 53.7001578, 10.7705289 53.7001921, 10.7710529 53.7004551)",,,,,
116739640,Demolierung,tertiary,50,False,False,38.242999999999995,"LINESTRING (10.7704119 53.6997858, 10.7704036 53.6997348, 10.7703969 53.6996813, 10.7703671 53.6994429)",3,B 208,,,
4826100,Herrenstraße,tertiary,50,True,False,88.854,"LINESTRING (10.7703355 53.6992209, 10.77045 53.6992142, 10.7716769 53.6991322)",1,B 208,,,
25098943,Demolierung,primary,50,False,True,29.55,"LINESTRING (10.7703355 53.6992209, 10.7703241 53.6991408, 10.7703203 53.6991145, 10.7702976 53.6989561)",2,,,,
405073747,Demolierung,tertiary,50,False,False,24.773,"LINESTRING (10.7703355 53.6992209, 10.7703475 53.6993013, 10.7703587 53.6993819, 10.7703671 53.6994429)",2,B 208,,,
"[405073749, 727079941]",Unter den Linden,primary,50,False,True,26.552,"LINESTRING (10.7703355 53.6992209, 10.7702014 53.6992281, 10.7700911 53.6992352, 10.7699343 53.6992454)",2,B 208,,,
43062831,Langenbrücker Straße,tertiary,50,False,False,75.711,"LINESTRING (10.7756167 53.6991626, 10.7764755 53.6991263, 10.7767634 53.6991107)",2,B 208,,,
43062882,Große Wallstraße,residential,30,True,False,118.316,"LINESTRING (10.7756167 53.6991626, 10.7756035 53.6989303, 10.7755818 53.6985493, 10.775566 53.6984418, 10.7755158 53.6981006)",,,,,
"[154690872, 404804475]",Langenbrücker Straße,tertiary,20,False,True,68.745,"LINESTRING (10.7756167 53.6991626, 10.7752528 53.6991826, 10.7747012 53.6992241, 10.774579 53.6992311)",,B 208,,,
43062903,Große Kreuzstraße,residential,,False,True,49.408,"LINESTRING (10.7721796 53.7006011, 10.772926 53.7005544)",,,,,
43062906,Böterstraße,residential,,False,False,31.508,"LINESTRING (10.7721796 53.7006011, 10.7719575 53.7003501)",,,,,
25098952,Böterstraße,residential,30,False,True,76.891,"LINESTRING (10.7721796 53.7006011, 10.772303 53.7007344, 10.7724666 53.700881, 10.7726523 53.7010658, 10.7727604 53.7012001)",,,,,
43062835,Töpferstraße,tertiary,50,True,False,94.73700000000001,"LINESTRING (10.7718442 53.6997029, 10.7705908 53.6997757, 10.7705559 53.6997777, 10.7704119 53.6997858)",1,B 208,,,
43062927,Wasserstraße,residential,,True,False,72.381,"LINESTRING (10.7718442 53.6997029, 10.7718986 53.7001014, 10.7719575 53.7003501)",,,,,
25098944,Domstraße,residential,30,True,False,111.578,"LINESTRING (10.7745627 53.6994739, 10.7746765 53.6995274, 10.7747666 53.6999249, 10.7748598 53.7004383)",,,,,
154690885,Am Markt,tertiary,20,True,False,51.098,"LINESTRING (10.7745627 53.6994739, 10.7744987 53.6995009, 10.7740015 53.6995333, 10.773938 53.6995368, 10.7738864 53.6995434, 10.7738506 53.6995535, 10.7738165 53.6995672)",1,B 208,,,
43062903,Große Kreuzstraße,residential,,False,False,57.206,"LINESTRING (10.7748598 53.7004383, 10.7739939 53.7004819)",,,,,
"[43062902, 25098951]","['Brauerstraße', 'Große Kreuzstraße']",residential,30,True,False,177.904,"LINESTRING (10.7748598 53.7004383, 10.7754243 53.7003932, 10.7756421 53.7001373, 10.7756473 53.7001125, 10.7756692 53.6999892, 10.7756572 53.6997501, 10.7756167 53.6991626)",,,,,
