osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,bridge,tunnel,junction,access
"[189831489, 30421614]","['2', '3']",Demminer Straße,tertiary,50,False,"[False, True]",108.118,"LINESTRING (13.6808168 53.8546081, 13.6810273 53.8547355, 13.6815044 53.8550352, 13.6817569 53.8551837, 13.6819637 53.8553064)",,,,,,
23009557,,Großer Wall,residential,30,False,False,374.55400000000003,"LINESTRING (13.6819637 53.8553064, 13.68263 53.8549188, 13.6831219 53.8547816, 13.6837543 53.8546406, 13.6858945 53.8541635, 13.6862502 53.8540842, 13.6870795 53.8538993)",3,,,,,
189831489,3,Demminer Straße,tertiary,50,False,False,58.135000000000005,"LINESTRING (13.6819637 53.8553064, 13.6820574 53.855359, 13.6821522 53.8554017, 13.6823615 53.8554849, 13.6826286 53.8555816, 13.6826852 53.8556078)",,,,,,
"[189831489, 30421614]","['2', '3']",Demminer Straße,tertiary,50,False,"[False, True]",108.118,"LINESTRING (13.6819637 53.8553064, 13.6817569 53.8551837, 13.6815044 53.8550352, 13.6810273 53.8547355, 13.6808168 53.8546081)",,,,,,
23009557,,Großer Wall,residential,30,False,True,374.55400000000003,"LINESTRING (13.6870795 53.8538993, 13.6862502 53.8540842, 13.6858945 53.8541635, 13.6837543 53.8546406, 13.6831219 53.8547816, 13.68263 53.8549188, 13.6819637 53.8553064)",3,,,,,
30416965,,Parkallee,residential,30,False,False,88.971,"LINESTRING (13.6870795 53.8538993, 13.6872477 53.8542123, 13.6873337 53.8544051, 13.6874166 53.8546731)",,,,,,
"[1005230811, 1246018092, 24219687]",,Keilstraße,residential,30,False,False,136.496,"LINESTRING (13.6853694 53.8555245, 13.6856807 53.8555194, 13.6862558 53.8555013, 13.686901 53.855481, 13.6874166 53.8554899, 13.6874485 53.8554904)",,,,,,
"[143255883, 26700541]",,Frauenstraße,residential,30,True,False,58.483000000000004,"LINESTRING (13.6853694 53.8555245, 13.6853718 53.8556248, 13.6853759 53.8557448, 13.6853653 53.8558675, 13.6853576 53.8559771, 13.6853283 53.8560481)",,,,,,
"[863790651, 863790652]",,Marienkirchplatz,residential,30,False,True,85.411,"LINESTRING (13.6853694 53.8555245, 13.6843037 53.8555898, 13.6840741 53.8556039)",,,,,,
"[26301268, 396967181]",,Peenstraße,residential,30,False,False,93.78399999999999,"LINESTRING (13.688874 53.8594717, 13.6888752 53.8593556, 13.6888777 53.8591197, 13.6888803 53.858861, 13.6888818 53.8587209, 13.6888818 53.8586283)",,,,,,
30415218,,Baustraße,residential,30,False,False,80.875,"LINESTRING (13.6874166 53.8546731, 13.6886497 53.8546726)",,,,,,
23009617,,Baustraße,residential,30,False,False,142.023,"LINESTRING (13.6874166 53.8546731, 13.6862182 53.8547742, 13.6853205 53.8549661)",,,,,,
30416965,,Parkallee,residential,30,False,True,88.971,"LINESTRING (13.6874166 53.8546731, 13.6873337 53.8544051, 13.6872477 53.8542123, 13.6870795 53.8538993)",,,,,,
30416187,,Baustraße,residential,30,False,False,122.353,"LINESTRING (13.6900189 53.8546426, 13.6900739 53.8546408, 13.6913558 53.8545991, 13.6915735 53.8548819)",,,,,,
30416187,,Baustraße,residential,30,False,True,89.86399999999999,"LINESTRING (13.6900189 53.8546426, 13.6899242 53.8546448, 13.6886497 53.8546726)",,,,,,
30416187,,Baustraße,residential,30,False,False,44.813,"LINESTRING (13.6915735 53.8548819, 13.6916732 53.8552806)",,,,,,
30416187,,Baustraße,residential,30,False,True,122.353,"LINESTRING (13.6915735 53.8548819, 13.6913558 53.8545991, 13.6900739 53.8546408, 13.6900189 53.8546426)",,,,,,
101973881,,,living_street,,False,False,44.966,"LINESTRING (13.6915735 53.8548819, 13.6919952 53.8548507, 13.6922098 53.85483, 13.6922525 53.8548264)",4,,,,,
26301268,,Peenstraße,residential,30,False,True,74.201,"LINESTRING (13.688886 53.857961, 13.6888818 53.8586283)",,,,,,
23009748,,Heilige-Geist-Straße,residential,30,False,False,91.62,"LINESTRING (13.688886 53.857961, 13.6887303 53.8579372, 13.6884792 53.8579271, 13.6883075 53.857902, 13.6875254 53.8577832)",,,,,,
23204584,,Klosterstraße,residential,30,False,False,86.19300000000001,"LINESTRING (13.688886 53.857961, 13.6894018 53.857954, 13.689962 53.857949, 13.6901997 53.857941)",,,,,,
26301268,,Peenstraße,residential,30,False,False,196.257,"LINESTRING (13.688886 53.857961, 13.688873 53.8575999, 13.6888646 53.8572819, 13.6888562 53.8569609, 13.6888457 53.8566168, 13.6888332 53.8561963)",,,,,,
