osmid,oneway,name,highway,width,reversed,length,geometry,ref,maxspeed,bridge,lanes
25402597,True,Pfarrer-Brunner-Straße,living_street,3,False,65.708,"LINESTRING (8.1710316 48.2840007, 8.1711538 48.2836816, 8.1711748 48.2835561, 8.1711808 48.2834208)",,,,
58760351,False,Hauptstraße,tertiary,,False,102.73599999999999,"LINESTRING (8.1710316 48.2840007, 8.1713727 48.2840836, 8.1713747 48.2840841, 8.1714373 48.284098, 8.1718831 48.2842059, 8.1723345 48.2843199)",K 5359,30,,
247499868,False,Hauptstraße,tertiary,,True,41.388999999999996,"LINESTRING (8.1710316 48.2840007, 8.1709863 48.2839907, 8.1707189 48.2839317, 8.1706332 48.2839128, 8.1705011 48.2838827)",K 5359,30,,
24691302,False,Breitenbachstraße,residential,,False,97.42200000000001,"LINESTRING (8.1723345 48.2843199, 8.1725134 48.2841198, 8.172574 48.2840486, 8.172627 48.2839863, 8.1727396 48.2838541, 8.1727663 48.2838247, 8.1727664 48.2838246, 8.172867 48.2837381, 8.1729005 48.2837112, 8.1730504 48.2835872)",,30,,
58760351,False,Hauptstraße,tertiary,,True,102.736,"LINESTRING (8.1723345 48.2843199, 8.1718831 48.2842059, 8.1714373 48.284098, 8.1713747 48.2840841, 8.1713727 48.2840836, 8.1710316 48.2840007)",K 5359,30,,
"[25402340, 25402341, 137270666, 590800564, 1054809663]",False,Hauptstraße,tertiary,,False,179.91000000000003,"LINESTRING (8.1723345 48.2843199, 8.1729247 48.2844782, 8.1734952 48.2846311, 8.1735501 48.2846446, 8.1736253 48.2846635, 8.1738818 48.2847243, 8.173985 48.284752, 8.1745494 48.2849013, 8.1745923 48.2849187)",K 5359,30,yes,2
58760375,False,Inselstraße,residential,,True,51.075,"LINESTRING (8.1792796 48.2856683, 8.1793696 48.2857184, 8.1798476 48.2859286)",,30,,
"[58765089, 25402340, 26813748, 25365623]",False,"['Hauptstraße', 'Eisenbahnstraße']",tertiary,,True,383.509,"LINESTRING (8.1792796 48.2856683, 8.1789916 48.2857648, 8.1788001 48.2858161, 8.1785853 48.2858425, 8.1778685 48.2858592, 8.1772439 48.2858604, 8.1770138 48.2858533, 8.1767679 48.2858274, 8.1765449 48.2857956, 8.1763679 48.285765, 8.1760523 48.2856792, 8.1760264 48.285672, 8.1759008 48.285619, 8.1757503 48.2855401, 8.1753701 48.2853034, 8.1751894 48.2851843, 8.1749708 48.2850727, 8.1748202 48.2850167, 8.1746828 48.2849557, 8.1745923 48.2849187)",K 5359,30,,2
58760375,False,Inselstraße,residential,,False,51.075,"LINESTRING (8.1798476 48.2859286, 8.1793696 48.2857184, 8.1792796 48.2856683)",,30,,
25402247,False,Gustav-Rivinius-Platz,residential,,False,38.533,"LINESTRING (8.1745923 48.2849187, 8.1746614 48.2848574, 8.174826 48.2847833, 8.1750101 48.2847205)",,30,,
