osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,tunnel
"[324773939, 62040884]",Am Eimelsturm,residential,False,False,145.68200000000002,"LINESTRING (7.7959169 50.3148159, 7.7960546 50.3147008, 7.7963619 50.31454, 7.7968344 50.3143394, 7.7972804 50.3142318, 7.7976534 50.3141752)",,,,,
62040884,Am Eimelsturm,residential,False,True,68.321,"LINESTRING (7.7959169 50.3148159, 7.7955613 50.3151859, 7.7955129 50.3152245, 7.7954701 50.3152431, 7.7953924 50.3152514, 7.7953187 50.3152578)",,,,,
83621802,Dr.-Haupt-Weg,residential,False,False,107.99599999999998,"LINESTRING (7.7959169 50.3148159, 7.7960721 50.3148814, 7.7962206 50.3149514, 7.7962163 50.3149792, 7.7961413 50.3151403, 7.7960273 50.3153527, 7.7959811 50.3154865, 7.7959595 50.315663)",,,,,
490382151,Emser Straße,secondary,False,False,128.768,"LINESTRING (7.794027 50.3173267, 7.7947769 50.3162723)",L 330,50,,,
285979367,Emser Straße,secondary,False,True,47.108,"LINESTRING (7.794027 50.3173267, 7.7938523 50.3175181, 7.7937548 50.3176124, 7.7936619 50.3176789)",L 330,50,,,
62040884,Am Eimelsturm,residential,False,False,68.321,"LINESTRING (7.7953187 50.3152578, 7.7953924 50.3152514, 7.7954701 50.3152431, 7.7955129 50.3152245, 7.7955613 50.3151859, 7.7959169 50.3148159)",,,,,
127571194,Emser Straße,residential,False,True,53.065,"LINESTRING (7.7953187 50.3152578, 7.7953284 50.3148835, 7.7953225 50.3147807)",,50,,,
155111876,Emser Straße,residential,False,True,119.971,"LINESTRING (7.7953187 50.3152578, 7.7952944 50.3154064, 7.7952472 50.3155554, 7.7950744 50.3158426, 7.7948605 50.3161548, 7.7947769 50.3162723)",,50,,,
"[35993636, 27802470]","['Leifheitstraße', 'Furth']",residential,False,False,105.469,"LINESTRING (7.7969062 50.3119083, 7.7969735 50.3118637, 7.7970254 50.3117935, 7.7970884 50.3114773, 7.797107 50.3114432, 7.7971443 50.3114161, 7.7972088 50.3113997, 7.7973342 50.3113678, 7.7977774 50.3113175)",,30,,,
"[684264506, 24024941, 24024942]",Kettenbrücke,primary,False,True,128.79899999999998,"LINESTRING (7.7969062 50.3119083, 7.7967456 50.3118381, 7.7956089 50.3112685, 7.7954634 50.3112072)",B 417,50,yes,,
"[24024940, 1180135047]",,primary,False,False,26.238,"LINESTRING (7.7969062 50.3119083, 7.7969712 50.3119374, 7.7970713 50.3119823, 7.7972087 50.3120438)",B 417,50,,,
62040844,Amtsstraße,primary,False,False,27.463,"LINESTRING (7.7972087 50.3120438, 7.7975641 50.3121412)",B 417,50,,,
"[24024940, 1180135047]",,primary,False,True,26.238,"LINESTRING (7.7972087 50.3120438, 7.7970713 50.3119823, 7.7969712 50.3119374, 7.7969062 50.3119083)",B 417,50,,,
1243705436,Bahnhofstraße,primary,True,False,22.057000000000002,"LINESTRING (7.7972087 50.3120438, 7.7973814 50.31203, 7.7975053 50.3119933)",B 417,50,,1,
24024946,Im Weilspießen,residential,False,False,38.295,"LINESTRING (7.8051469 50.3114864, 7.805158 50.3115386, 7.8051908 50.3116056, 7.8053359 50.3118068)",,,,,
96513582,Bahnhofstraße,primary,False,True,168.612,"LINESTRING (7.8051469 50.3114864, 7.8043584 50.3115355, 7.8037026 50.3115825, 7.8034183 50.3116156, 7.8031348 50.3116582, 7.8028092 50.3117252)",B 417,50,,2,
446128548,Obernhofer Straße,residential,False,True,249.574,"LINESTRING (7.8057571 50.3123828, 7.8051296 50.3126082, 7.804622 50.3128403, 7.8041785 50.3130172, 7.8037198 50.3131481, 7.8033281 50.3132378, 7.8026396 50.3133908)",,,,,
