osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width
73326628,False,2,L 190,Unterm Berge,secondary,50,True,283.73199999999997,"LINESTRING (12.0274333 51.1164467, 12.0274379 51.1164695, 12.0274301 51.1164953, 12.0272372 51.1167193, 12.0271681 51.1168247, 12.0270603 51.1172217, 12.026999 51.1173154, 12.0269359 51.117361, 12.0268156 51.117411, 12.0264493 51.1175365, 12.0261492 51.1176759, 12.0257399 51.1178661, 12.0253866 51.1181083, 12.0250691 51.1183769)",,
"[44328140, 401772140, 401772141]",False,2,L 190,Straße des Friedens,secondary,50,True,26.193,"LINESTRING (12.0274333 51.1164467, 12.0274221 51.1164298, 12.0274002 51.1164117, 12.0273687 51.1163977, 12.0273389 51.1163912, 12.0272889 51.1163909, 12.0272339 51.1163958, 12.0271011 51.1164079)",yes,
22988826,False,,K 2203,Schützenstraße,tertiary,,True,47.397,"LINESTRING (12.0292495 51.1204368, 12.0287136 51.120175)",,
"[44450152, 299073094, 299073095]",False,,,Dammstraße,residential,,False,164.321,"LINESTRING (12.0292495 51.1204368, 12.0291536 51.1207571, 12.0290776 51.1210128, 12.0289837 51.1213414, 12.0289105 51.1215807, 12.0288386 51.1216778, 12.0287802 51.1217578, 12.0287689 51.1217713, 12.0287337 51.1218136, 12.0286922 51.1218634)",yes,
4981265,False,2,L 190,Unterm Berge,secondary,50,False,131.921,"LINESTRING (12.0243319 51.1194361, 12.024331 51.1193649, 12.0243464 51.1192972, 12.0245174 51.118874, 12.0247457 51.1186045, 12.0250691 51.1183769)",,
"[4981265, 791765461]",False,2,L 190,"['Unterm Berge', 'Mühlstraße']",secondary,50,True,91.907,"LINESTRING (12.0243319 51.1194361, 12.0243376 51.1194659, 12.0243499 51.1195054, 12.0243716 51.1195512, 12.0244028 51.1195976, 12.0244341 51.1196347, 12.024482 51.1196717, 12.0245346 51.119699, 12.0246027 51.1197217, 12.0248323 51.1197793, 12.0249329 51.1198028, 12.0250289 51.1198381, 12.0251219 51.1198889, 12.0251832 51.1199366, 12.0252212 51.1199761)",,
44328140,False,2,L 190,Straße des Friedens,secondary,50,True,30.787,"LINESTRING (12.0271011 51.1164079, 12.026666 51.1164533)",,
30478603,False,,,Straße nach Trebnitz,residential,,False,239.273,"LINESTRING (12.0271011 51.1164079, 12.0271177 51.116301, 12.0271754 51.1162, 12.0274244 51.115862, 12.0276585 51.1155427, 12.0280222 51.1149108, 12.0281735 51.1147825, 12.0285175 51.1145739, 12.0286181 51.1145224)",,
"[401772140, 44328140, 401772141]",False,2,L 190,Straße des Friedens,secondary,50,False,26.192999999999998,"LINESTRING (12.0271011 51.1164079, 12.0272339 51.1163958, 12.0272889 51.1163909, 12.0273389 51.1163912, 12.0273687 51.1163977, 12.0274002 51.1164117, 12.0274221 51.1164298, 12.0274333 51.1164467)",yes,
4981265,False,2,L 190,Unterm Berge,secondary,50,True,131.921,"LINESTRING (12.0250691 51.1183769, 12.0247457 51.1186045, 12.0245174 51.118874, 12.0243464 51.1192972, 12.024331 51.1193649, 12.0243319 51.1194361)",,
73326628,False,2,L 190,Unterm Berge,secondary,50,False,283.732,"LINESTRING (12.0250691 51.1183769, 12.0253866 51.1181083, 12.0257399 51.1178661, 12.0261492 51.1176759, 12.0264493 51.1175365, 12.0268156 51.117411, 12.0269359 51.117361, 12.026999 51.1173154, 12.0270603 51.1172217, 12.0271681 51.1168247, 12.0272372 51.1167193, 12.0274301 51.1164953, 12.0274379 51.1164695, 12.0274333 51.1164467)",,
