osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,maxspeed,bridge,width,tunnel,junction
"[4056760, 466522133]",Wachterstraße,tertiary,False,False,91.166,2,"LINESTRING (11.5642261 47.7630999, 11.5633426 47.762799, 11.5631315 47.7627389)",,,,,,
118021652,Jahnstraße,secondary,False,True,110.537,,"LINESTRING (11.5642261 47.7630999, 11.5639853 47.7636034, 11.5638357 47.7640576)",St 2072,50,,,,
466522133,Wachterstraße,tertiary,False,False,22.027,2,"LINESTRING (11.5631315 47.7627389, 11.5628625 47.762658)",,,,,,
8608370,Floriangasse,residential,False,True,125.098,,"LINESTRING (11.5631315 47.7627389, 11.5631839 47.7626186, 11.5633604 47.7623199, 11.5633604 47.7621684, 11.5631903 47.7620177, 11.5627134 47.7619118)",,,,,,
"[4056760, 466522133]",Wachterstraße,tertiary,False,True,91.166,2,"LINESTRING (11.5631315 47.7627389, 11.5633426 47.762799, 11.5642261 47.7630999)",,,,,,
466522131,Wachterstraße,tertiary,False,False,23.795,,"LINESTRING (11.5628625 47.762658, 11.5625607 47.7625899)",,,,,,
466522133,Wachterstraße,tertiary,False,True,22.027,2,"LINESTRING (11.5628625 47.762658, 11.5631315 47.7627389)",,,,,,
466522132,Hindenburgstraße,tertiary_link,True,False,17.223,,"LINESTRING (11.5628625 47.762658, 11.5627826 47.7627303, 11.5627364 47.7627872)",,,,,,
4056699,Nockhergasse,tertiary,False,True,67.74000000000001,2,"LINESTRING (11.5615039 47.7626081, 11.5618123 47.7625885, 11.5621826 47.762561, 11.5624065 47.7625641)",,50,,,,
4840438,Bairawieser Straße,tertiary,False,True,66.065,,"LINESTRING (11.5615039 47.7626081, 11.561549 47.7629201, 11.5615093 47.7631995)",,50,,,,
118021051,Nockhergasse,tertiary,True,False,107.70400000000001,,"LINESTRING (11.5615039 47.7626081, 11.5613276 47.7625018, 11.5611651 47.7623707, 11.5609853 47.7621813, 11.5608313 47.7620399, 11.5606699 47.7619303, 11.5605679 47.7618807)",,50,,,,
5154113,Säggasse,tertiary,True,False,80.892,,"LINESTRING (11.5590108 47.7617046, 11.5585679 47.7617163, 11.5585221 47.761717, 11.5584028 47.7617166, 11.5582634 47.7617086, 11.5580553 47.7616759, 11.5579414 47.76165)",,30,,,,
27711250,Fröhlichgasse,residential,False,True,371.3420000000001,,"LINESTRING (11.5590108 47.7617046, 11.5589922 47.7617383, 11.5589619 47.7617684, 11.5589068 47.7617948, 11.5588274 47.7618302, 11.5586427 47.7619124, 11.5583402 47.7620458, 11.5581876 47.7621259, 11.5579312 47.7623204, 11.5577623 47.762485, 11.5577193 47.7625105, 11.5576599 47.7625371, 11.5575888 47.7625559, 11.5575266 47.7625642, 11.557457 47.7625666, 11.5568777 47.7625706, 11.556453 47.7625737, 11.5562883 47.7625999, 11.5561347 47.7626028, 11.5558848 47.7626165, 11.5558022 47.7626334, 11.5556957 47.7626778, 11.5555379 47.7627116, 11.5553117 47.7627463, 11.5551499 47.762795, 11.5549692 47.762847, 11.5546706 47.7629528)",,,,,,
4056780,Badstraße,secondary,False,True,61.824000000000005,,"LINESTRING (11.555515 47.7602868, 11.555224 47.7603351, 11.5549642 47.7603561, 11.554701 47.7603318)",TÖL 7,30,,,,
8133428,Königsdorfer Straße,secondary,True,False,325.765,,"LINESTRING (11.555515 47.7602868, 11.5554601 47.7603622, 11.5554155 47.7604104, 11.5552129 47.7605497, 11.5547741 47.7608223, 11.5543625 47.7610994, 11.5540759 47.7612719, 11.5529288 47.7619299, 11.552826 47.7619735, 11.552733 47.7620199, 11.5522259 47.7621613)",TÖL 7,30,,,,
379226208,Badstraße,secondary,False,False,26.621000000000002,2,"LINESTRING (11.555515 47.7602868, 11.5555845 47.7602544, 11.5556788 47.7602249, 11.5558303 47.7601768)",TÖL 7,30,,,,
4056780,Badstraße,secondary,False,False,61.824,,"LINESTRING (11.554701 47.7603318, 11.5549642 47.7603561, 11.555224 47.7603351, 11.555515 47.7602868)",TÖL 7,30,,,,
"[4056746, 128814972]",Badstraße,secondary,False,True,121.181,,"LINESTRING (11.554701 47.7603318, 11.5542653 47.7602651, 11.5540643 47.7602179, 11.5538882 47.7601704, 11.5537823 47.7601376, 11.5536377 47.7600784, 11.553433 47.7599803, 11.5532603 47.7598738)",,30,,,,
1225197696,Arzbacher Straße,secondary,False,False,17.994,,"LINESTRING (11.5525456 47.759222, 11.5525417 47.7590602)",,30,,,,
4056746,Badstraße,secondary,False,False,93.252,,"LINESTRING (11.5525456 47.759222, 11.552558 47.7593127, 11.5525793 47.7593754, 11.5526181 47.7594345, 11.5526803 47.7595019, 11.5527572 47.759562, 11.5528686 47.7596344, 11.5530617 47.759754, 11.5532603 47.7598738)",,30,,,,
1225197696,Arzbacher Straße,secondary,False,True,17.994,,"LINESTRING (11.5525417 47.7590602, 11.5525456 47.759222)",,30,,,,
4056596,Arzbacher Straße,secondary,False,False,58.264,,"LINESTRING (11.5525417 47.7590602, 11.5525474 47.7589463, 11.5525462 47.7588945, 11.5525476 47.7588513, 11.5525273 47.7586703, 11.5525249 47.758593, 11.5525183 47.758537)",,30,,,,
4056596,Arzbacher Straße,secondary,False,False,57.66,,"LINESTRING (11.5525183 47.758537, 11.5523635 47.758029)",,30,,,,
1267871839,Krettnerweg,residential,False,True,80.179,,"LINESTRING (11.5525183 47.758537, 11.5535765 47.7586548)",,,,,,
4056596,Arzbacher Straße,secondary,False,True,58.263999999999996,,"LINESTRING (11.5525183 47.758537, 11.5525249 47.758593, 11.5525273 47.7586703, 11.5525476 47.7588513, 11.5525462 47.7588945, 11.5525474 47.7589463, 11.5525417 47.7590602)",,30,,,,
4056596,Arzbacher Straße,secondary,False,False,21.052,,"LINESTRING (11.5523635 47.758029, 11.5523186 47.7578421)",,30,,,,
4056596,Arzbacher Straße,secondary,False,True,57.66,,"LINESTRING (11.5523635 47.758029, 11.5525183 47.758537)",,30,,,,
28502802,Sendtnerstraße,residential,False,False,40.385,,"LINESTRING (11.5523635 47.758029, 11.5522919 47.7580066, 11.5519005 47.7578425)",,,,,,
4056596,Arzbacher Straße,secondary,False,True,21.052,,"LINESTRING (11.5523186 47.7578421, 11.5523635 47.758029)",,30,,,,
28503426,Brünnlfeldstraße,residential,False,False,91.459,,"LINESTRING (11.5523186 47.7578421, 11.5535131 47.7580201)",,,,,,
8608948,Geigergasse,residential,False,True,29.826,1,"LINESTRING (11.5591683 47.758407, 11.5591438 47.7584925, 11.5590869 47.7586259, 11.5590479 47.7586592)",,30,,,,
379226214,Lenggrieser Straße,secondary,False,False,164.358,2,"LINESTRING (11.5591683 47.758407, 11.5593102 47.7581732, 11.559534 47.7576844, 11.5596347 47.7574177, 11.5597182 47.7571803, 11.5597469 47.7569862)",,50,,,,
379226214,Lenggrieser Straße,secondary,False,True,37.131,2,"LINESTRING (11.5591683 47.758407, 11.5589061 47.7583681, 11.5587648 47.7583614, 11.5587199 47.7583621, 11.5586789 47.758367)",,50,,,,
8608949,Am Bache,residential,False,True,60.45,1,"LINESTRING (11.5584235 47.7592739, 11.5586008 47.7592081, 11.5588995 47.7590653, 11.5590785 47.7589582)",,30,,,,
379226214,Lenggrieser Straße,secondary,False,False,78.09700000000001,2,"LINESTRING (11.5584235 47.7592739, 11.5585027 47.7589246, 11.5585211 47.7587646, 11.5585475 47.7585769)",,50,,,,
379226214,Lenggrieser Straße,secondary,False,True,32.775999999999996,2,"LINESTRING (11.5584235 47.7592739, 11.5583777 47.7594765, 11.5583607 47.7595656)",,50,,,,
26104167,Krankenhausstraße,residential,False,False,117.708,,"LINESTRING (11.5583607 47.7595656, 11.5585114 47.7595692, 11.558656 47.7595338, 11.5591975 47.759357, 11.5595093 47.7592304, 11.5595966 47.7591805, 11.5596744 47.7590646)",,30,,,,
379226214,Lenggrieser Straße,secondary,False,False,32.775999999999996,2,"LINESTRING (11.5583607 47.7595656, 11.5583777 47.7594765, 11.5584235 47.7592739)",,50,,,,
"[1047492161, 4056595]",Lenggrieser Straße,secondary,False,True,44.278999999999996,2,"LINESTRING (11.5583607 47.7595656, 11.5582868 47.7597225, 11.5582175 47.7598178, 11.5581163 47.7599257)",,50,,,,
"[1047492161, 4056595]",Lenggrieser Straße,secondary,False,False,44.278999999999996,2,"LINESTRING (11.5581163 47.7599257, 11.5582175 47.7598178, 11.5582868 47.7597225, 11.5583607 47.7595656)",,50,,,,
22887111,Lenggrieser Straße,residential,False,False,33.764,,"LINESTRING (11.5581163 47.7599257, 11.5581851 47.7599496, 11.5582589 47.7599752, 11.5583861 47.7600277, 11.5584081 47.7600368, 11.5584993 47.7600851)",,30,,,,
"[379226212, 377536997, 4838614]",Kapellengasteig,secondary,False,True,45.188,"['2', '3']","LINESTRING (11.5581163 47.7599257, 11.5580364 47.7599914, 11.5579096 47.760078, 11.5578057 47.7601535, 11.5577117 47.7602273)",,50,,,,
100034700,Marktstraße,residential,False,True,6.464,,"LINESTRING (11.557278 47.760707, 11.5573584 47.7607284)",,,,,,
4838614,Kapellengasteig,secondary,False,False,62.79,3,"LINESTRING (11.557278 47.760707, 11.5573476 47.7605981, 11.5574807 47.7604342, 11.5575788 47.7603301, 11.5577117 47.7602273)",,50,,,,
"[8004025, 7989932, 7974086]",Marktstraße,secondary,False,False,109.5,2,"LINESTRING (11.557278 47.760707, 11.5572083 47.7606842, 11.5561538 47.760259, 11.5560267 47.7601962)",,50,yes,,,
8589075,Säggasse,tertiary,False,True,131.75799999999998,2,"LINESTRING (11.557278 47.760707, 11.557193 47.7608772, 11.5571511 47.7609678, 11.5571462 47.7610105, 11.5571481 47.7610578, 11.5571588 47.7611109, 11.5571829 47.7611624, 11.5572759 47.7612674, 11.5574266 47.7613745, 11.5576752 47.7615205, 11.5578206 47.7615994, 11.5579414 47.76165)",,50,,,,
