osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,junction,bridge,tunnel,access,ref
"[17939360, 17939353]",Teichstraße,tertiary,False,False,218.47700000000003,2,"LINESTRING (11.9897869 51.3535559, 11.9902928 51.35361, 11.9903819 51.3536236, 11.9904738 51.3536419, 11.9906081 51.3536774, 11.9909519 51.3537943, 11.9921686 51.354231, 11.9923985 51.3543096, 11.9924383 51.3543231, 11.9925553 51.3543627, 11.9926005 51.3543907)",,,,,,
28119981,Rainer-Zille-Straße,residential,False,True,175.99099999999999,,"LINESTRING (11.9897869 51.3535559, 11.9897546 51.3536254, 11.9897129 51.3539557, 11.9897334 51.3541313, 11.9898525 51.3551315)",,,,,,
888421668,,secondary,True,False,8.481,1,"LINESTRING (11.9927998 51.3543636, 11.992848 51.354381, 11.992872 51.3543953, 11.9928914 51.3544122)",50,roundabout,,,,
"[23022753, 23022754, 366025851]",König-Heinrich-Straße,secondary,False,False,224.85999999999996,"['2', '3']","LINESTRING (11.9927538 51.3545849, 11.99276 51.3546246, 11.9927635 51.3546473, 11.9927304 51.3548609, 11.9927211 51.3549068, 11.9925946 51.3555042, 11.9925293 51.3558127, 11.9924114 51.3563664, 11.9924034 51.3564072, 11.9923601 51.3565904)",50,,,,,
886344031,,secondary,True,False,18.873,1,"LINESTRING (11.9927538 51.3545849, 11.9927092 51.3545847, 11.992666 51.3545778, 11.9926345 51.3545679, 11.9926067 51.3545544, 11.9925722 51.3545268, 11.9925526 51.354494)",50,roundabout,,,,
"[17939360, 17939353]",Teichstraße,tertiary,False,True,218.477,2,"LINESTRING (11.9926005 51.3543907, 11.9925553 51.3543627, 11.9924383 51.3543231, 11.9923985 51.3543096, 11.9921686 51.354231, 11.9909519 51.3537943, 11.9906081 51.3536774, 11.9904738 51.3536419, 11.9903819 51.3536236, 11.9902928 51.35361, 11.9897869 51.3535559)",,,,,,
23022752,,secondary,True,False,14.972,1,"LINESTRING (11.9926005 51.3543907, 11.9926249 51.3543776, 11.9926525 51.3543672, 11.9927005 51.3543575, 11.9927509 51.3543562, 11.9927998 51.3543636)",50,roundabout,,,,
888421667,,secondary,True,False,25.408,1,"LINESTRING (11.9928914 51.3544122, 11.9929062 51.3544319, 11.9929148 51.3544529, 11.9929169 51.3544746, 11.9929125 51.3544961, 11.9929016 51.3545168, 11.9928847 51.3545358, 11.9928624 51.3545524, 11.9928354 51.3545662, 11.9927964 51.3545786, 11.9927538 51.3545849)",50,roundabout,,,,
"[23146296, 601240435, 366025843]",Bahnhofstraße,residential,False,False,164.751,"['2', '3']","LINESTRING (11.9923601 51.3565904, 11.9925186 51.3566019, 11.9927671 51.356622, 11.9934749 51.3566884, 11.9943317 51.3567546, 11.9947122 51.356784)",,,,,,
"[366025849, 228604150, 366025847]",König-Heinrich-Straße,secondary,False,False,65.16900000000001,"['4', '5']","LINESTRING (11.9923601 51.3565904, 11.9923288 51.3567201, 11.9923183 51.3567677, 11.9923102 51.3568052, 11.9923089 51.3568119, 11.9922399 51.3571716)",50,,,,,
"[23022753, 23022754, 366025851]",König-Heinrich-Straße,secondary,False,True,224.86,"['2', '3']","LINESTRING (11.9923601 51.3565904, 11.9924034 51.3564072, 11.9924114 51.3563664, 11.9925293 51.3558127, 11.9925946 51.3555042, 11.9927211 51.3549068, 11.9927304 51.3548609, 11.9927635 51.3546473, 11.99276 51.3546246, 11.9927538 51.3545849)",50,,,,,
"[366025856, 330258652]",,residential,False,True,77.171,"['2', '3']","LINESTRING (11.9923601 51.3565904, 11.9921915 51.3565793, 11.9920782 51.356573, 11.9918559 51.3565611, 11.9917509 51.3565507, 11.9916661 51.3565326, 11.9915783 51.3565011, 11.9915293 51.3564629, 11.991506 51.3564173, 11.9914851 51.3563228)",,,,,,
392169901,Thilo-von-Trotha-Straße,residential,False,True,48.752,,"LINESTRING (11.9973437 51.3571076, 11.998026 51.357211)",30,,,,,
1105555838,Kleine Ritterstraße,residential,False,True,31.292,,"LINESTRING (11.9973437 51.3571076, 11.9974478 51.3568338)",30,,,,,
"[31314714, 189025213, 54928982, 54928983]",Bahnhofstraße,residential,False,True,154.95,2,"LINESTRING (11.9973437 51.3571076, 11.9967426 51.357018, 11.9964421 51.3569664, 11.9961506 51.3569315, 11.9961274 51.3569288, 11.9960636 51.356923, 11.9958247 51.3568965, 11.9953013 51.3568391, 11.9951994 51.3568309, 11.9951608 51.3568239)",30,,yes,,,
23022759,Poststraße,residential,False,False,247.549,2,"LINESTRING (11.9922399 51.3571716, 11.9928458 51.3572972, 11.9947181 51.3576859, 11.9952378 51.3577938, 11.9953731 51.3578219, 11.9955315 51.3578286, 11.9956107 51.3578159, 11.9956328 51.3578123)",,,,,,
