osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,junction,ref
24944528,Alte Mühlenstraße,residential,20,False,False,171.285,"LINESTRING (7.8607765 53.0194133, 7.8606995 53.0194617, 7.8604145 53.0195923, 7.8602901 53.0196716, 7.8598333 53.0200175, 7.8596631 53.0201077, 7.8594807 53.020197, 7.8593251 53.0202655, 7.8591377 53.0203543, 7.8590507 53.0204202, 7.8589685 53.02049)",,,,
"[25093008, 25093009, 31357819, 4694273]",Ringstraße,"['residential', 'living_street']",20,False,True,272.073,"LINESTRING (7.8607765 53.0194133, 7.8606 53.0193428, 7.8602191 53.0192259, 7.8601262 53.0191967, 7.8600733 53.0191796, 7.8596017 53.019001, 7.859077 53.0188247, 7.858699 53.0187148, 7.8583513 53.0186597, 7.8580779 53.0186674, 7.8578866 53.0187079, 7.8577125 53.0187735, 7.8571899 53.0189994)",yes,,,
30963212,Gerichtsstraße,residential,,False,False,49.559000000000005,"LINESTRING (7.8607765 53.0194133, 7.8609359 53.0194721, 7.8610734 53.0195676, 7.8611367 53.0196422, 7.8611537 53.0197649)",,,,
24944529,Bahnhofstraße,tertiary,20,False,False,75.625,"LINESTRING (7.8566866 53.0236199, 7.8565197 53.0237069, 7.856374 53.0237531, 7.8561128 53.0237948, 7.8559035 53.0238458, 7.8557014 53.0239334)",,2,,
"[24944529, 895134114]",Bahnhofstraße,tertiary,20,False,True,104.519,"LINESTRING (7.8566866 53.0236199, 7.8568227 53.0234689, 7.8568848 53.0232682, 7.8569162 53.0230474, 7.8569288 53.022959, 7.8569647 53.0227062)",,2,,
30139021,Am Bahnhof,residential,,False,True,263.945,"LINESTRING (7.8566866 53.0236199, 7.8567894 53.0236501, 7.8568965 53.0236647, 7.8572461 53.0236449, 7.8573648 53.0236382, 7.8578369 53.023613, 7.8580263 53.0236031, 7.8583025 53.0235886, 7.8583421 53.0235865, 7.8597862 53.0235125, 7.8598558 53.0235431, 7.8598904 53.0236047, 7.8599373 53.0239078, 7.8599458 53.0239804)",,,,
24944529,Bahnhofstraße,tertiary,20,False,True,75.625,"LINESTRING (7.8557014 53.0239334, 7.8559035 53.0238458, 7.8561128 53.0237948, 7.856374 53.0237531, 7.8565197 53.0237069, 7.8566866 53.0236199)",,2,,
"[24886990, 103284774]",Sankt-Marien-Straße,residential,"['20', '50']",False,True,481.8099999999999,"LINESTRING (7.8557014 53.0239334, 7.8556505 53.0239027, 7.8556109 53.0238803, 7.8554839 53.0238463, 7.8550677 53.0237977, 7.8536713 53.0236887, 7.8535808 53.0236707, 7.8535106 53.0236494, 7.853472 53.0236291, 7.8534275 53.0235768, 7.8534157 53.0235359, 7.8534219 53.0234987, 7.8535339 53.0233663, 7.8535804 53.0233113, 7.8537402 53.0231665, 7.8538944 53.0230598, 7.8540553 53.0229691, 7.8541264 53.0229199, 7.8541771 53.0228643, 7.8543362 53.0226877, 7.8543483 53.0226667, 7.8543765 53.0226177, 7.8544071 53.0225335, 7.854446 53.022478, 7.8544878 53.0224328, 7.8545577 53.0223932, 7.8546402 53.0223753, 7.8547341 53.0223661, 7.8548848 53.0223676, 7.8550494 53.0223765, 7.855168 53.0223765, 7.8553022 53.0223665, 7.8555749 53.0223358, 7.8556683 53.0223251, 7.8557666 53.0223151, 7.856867 53.0221952, 7.8569855 53.0221986)",,1,,
103284783,Bahnhofstraße,tertiary,20,False,False,30.234,"LINESTRING (7.8557014 53.0239334, 7.8555387 53.0240146, 7.8554779 53.0240565, 7.8554425 53.0240879, 7.8553907 53.0241285)",,,,
83701121,,secondary,50,True,False,21.339,"LINESTRING (7.8542969 53.0173814, 7.8542268 53.0174043, 7.8541483 53.0174128, 7.8540693 53.0174062, 7.8539977 53.0173851)",,,roundabout,
"[628927393, 959805867]",Ellerbrocker Straße,tertiary,50,False,False,91.178,"LINESTRING (7.8542969 53.0173814, 7.854491 53.0175191, 7.8545675 53.0175691, 7.8550055 53.0177743, 7.8553163 53.0179208)",,2,,
24944528,Alte Mühlenstraße,residential,20,False,True,171.28500000000003,"LINESTRING (7.8589685 53.02049, 7.8590507 53.0204202, 7.8591377 53.0203543, 7.8593251 53.0202655, 7.8594807 53.020197, 7.8596631 53.0201077, 7.8598333 53.0200175, 7.8602901 53.0196716, 7.8604145 53.0195923, 7.8606995 53.0194617, 7.8607765 53.0194133)",,,,
631946842,Moorstraße,tertiary,20,False,True,16.494999999999997,"LINESTRING (7.8589685 53.02049, 7.8588579 53.0204526, 7.8587597 53.0204114)",,2,,
1104072587,Kirchstraße,tertiary,30,False,False,100.63,"LINESTRING (7.8589685 53.02049, 7.8595828 53.0206693, 7.8597064 53.0207119, 7.8602925 53.0209184)",,2,,
