osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref,bridge,junction,access,tunnel
4879759,Kaiserstraße,secondary,50,7,False,True,24.536,"LINESTRING (9.3634183 52.0997849, 9.3630712 52.0997281)",,,,,,
4879757,Wilhelmsplatz,residential,30,,False,False,52.898,"LINESTRING (9.3632308 52.1020503, 9.3627127 52.1016967)",,,,,,
4879757,Wilhelmsplatz,residential,30,,False,True,52.898,"LINESTRING (9.3627127 52.1016967, 9.3632308 52.1020503)",,,,,,
24598546,Hugenottenstraße,residential,30,,False,False,194.355,"LINESTRING (9.3627127 52.1016967, 9.3624907 52.1015593, 9.3624526 52.1015357, 9.3619343 52.1011857, 9.3617959 52.1011099, 9.3614362 52.1009767, 9.3604937 52.1006277)",,,,,,
24951171,Bismarckstraße,residential,30,,False,False,166.9,"LINESTRING (9.3627127 52.1016967, 9.3625324 52.101683, 9.3622111 52.1017621, 9.3617998 52.1018876, 9.3614655 52.1019865, 9.3606681 52.1023236, 9.3605723 52.1023653)",,,,,,
922958512,Erichstraße,primary,50,,True,False,23.792,"LINESTRING (9.3559358 52.1070572, 9.3560097 52.1072663)",2,B 83,,,,
"[373427639, 203335578, 127997863]",Kastanienwall,primary,50,,False,False,59.69499999999999,"LINESTRING (9.3559358 52.1070572, 9.3562073 52.1070522, 9.3564282 52.1070437, 9.3566119 52.1070357, 9.3568086 52.1070294)",4,B 217,,,,
127997964,Thiewall,primary,50,,False,False,36.014,"LINESTRING (9.3559358 52.1070572, 9.3558088 52.107052, 9.3556544 52.1070424, 9.3555937 52.1070347, 9.3554147 52.1070117)",5,B 83,,,,
373529285,Erichstraße,primary,50,,False,True,51.938,"LINESTRING (9.3557647 52.1077806, 9.3556643 52.1082436)",6,B 83,,,,
922958508,Erichstraße,primary,50,,True,False,21.685,"LINESTRING (9.3557647 52.1077806, 9.3557609 52.1075856)",3,B 83,,,,
"[203814564, 924801147, 924801148, 924801149, 924801150]",Sudetenstraße,residential,30,,False,False,65.595,"LINESTRING (9.3539795 52.1041188, 9.3539701 52.1041943, 9.353921 52.1042986, 9.3539052 52.1043322, 9.3538908 52.1043629, 9.35376 52.1045964, 9.3537058 52.1046819)",,,,,,
203814564,Sudetenstraße,residential,30,,False,True,109.15599999999999,"LINESTRING (9.3539795 52.1041188, 9.3539837 52.1040804, 9.3539456 52.103652, 9.3539849 52.1035342, 9.3540397 52.1034488, 9.3542125 52.1033141, 9.3542687 52.1032553, 9.3542949 52.103195)",,,,,,
"[24229672, 99532389]",Pyrmonter Straße,primary_link,50,,True,False,158.892,"LINESTRING (9.3499793 52.0996, 9.3498836 52.0998815, 9.3492854 52.1006299, 9.3490883 52.1009127)","['2', '1']",B 1,,,,
"[24912193, 927176439, 133956766, 127653503]",Hochstraße,primary,50,,False,True,435.82800000000003,"LINESTRING (9.3499793 52.0996, 9.3492013 52.1004362, 9.3491001 52.1005778, 9.349036 52.1006627, 9.3488855 52.1008737, 9.3488148 52.1009992, 9.3487578 52.1011196, 9.348717 52.1012432, 9.348696 52.1013248, 9.3486809 52.1014424, 9.3486724 52.1015338, 9.3486736 52.1016369, 9.3486935 52.1018347, 9.3487363 52.1019528, 9.3488039 52.1020884, 9.3489493 52.1023115, 9.3490149 52.1024201, 9.3491582 52.1026828, 9.3492172 52.1028425, 9.3492467 52.1030253, 9.3492334 52.1031894, 9.3492105 52.1032806)","['4', '3']",B 83,yes,,,
30068894,,primary_link,50,,True,False,54.967000000000006,"LINESTRING (9.3490883 52.1009127, 9.3490601 52.101055, 9.3490552 52.1011525, 9.3490732 52.1012088, 9.3491134 52.10125, 9.3491665 52.1012906, 9.3492794 52.1013569)",1,B 1,,,,
"[1121912329, 30102090]",,primary_link,50,,True,False,177.315,"LINESTRING (9.3488885 52.1017677, 9.3489346 52.1019065, 9.3490115 52.1020785, 9.3492128 52.1024062, 9.3493506 52.1026408, 9.3493965 52.1027447, 9.3494126 52.1028276, 9.3494214 52.1029016, 9.3493921 52.1030863, 9.3492105 52.1032806)",1,B 83,,,,
169322083,Bäckerstraße,residential,30,,True,False,21.413,"LINESTRING (9.356088 52.1008697, 9.3560389 52.1008245, 9.3559725 52.1007941, 9.3558417 52.1007598)",,,,,,
928864072,Bäckerstraße,residential,30,,True,False,18.349,"LINESTRING (9.356088 52.1008697, 9.3560945 52.1008274, 9.3561253 52.1007934, 9.3562129 52.1007294)",,,,,,
24912185,Fröbelweg,residential,50,,False,True,137.48000000000002,"LINESTRING (9.357824 52.1007378, 9.3578674 52.100674, 9.3582107 52.1001663, 9.3586553 52.0996125)",,,,,,
127997901,Platzstraße,residential,30,,True,False,75.33,"LINESTRING (9.357824 52.1007378, 9.3578065 52.1008189, 9.357662 52.1014079)",,,,,,
