osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width,bridge
22792094,Lindenstraße,tertiary,30,False,True,98.342,"LINESTRING (7.9475889 52.5552859, 7.9474777 52.555256, 7.946259 52.5549276)",,,,
176165840,Bramscher Straße,residential,30,False,False,55.412,"LINESTRING (7.9475889 52.5552859, 7.9476726 52.555239, 7.9477911 52.555116, 7.9480081 52.5548616)",,,,
"[334999475, 489142957]",Bramscher Straße,tertiary,30,False,True,93.691,"LINESTRING (7.9475889 52.5552859, 7.9474572 52.5553636, 7.9473274 52.5554272, 7.9471658 52.5555322, 7.9468115 52.5558004, 7.9466591 52.5559078)",K 142,4,,
"[1192001162, 1192001156, 22813150]",Markt,residential,30,False,True,104.67300000000002,"LINESTRING (7.9475889 52.5552859, 7.9477878 52.5553356, 7.9478185 52.5553433, 7.9480744 52.5554129, 7.9482126 52.5554505, 7.9486101 52.5555587, 7.9487294 52.5555993, 7.9487692 52.5556129, 7.9488738 52.5556749, 7.9489282 52.555729)",,,,
100985152,Gehrder Straße,primary,50,False,True,41.391,"LINESTRING (7.9503212 52.557396, 7.950553 52.5574341, 7.9507247 52.5574492, 7.9509231 52.5574554)",B 214,2,,
"[421283848, 105695155, 50346037]",Gehrder Straße,primary,50,False,False,272.78299999999996,"LINESTRING (7.9503212 52.557396, 7.9501008 52.557349, 7.9499305 52.5572944, 7.94977 52.5572432, 7.9495191 52.557157, 7.9492493 52.5570561, 7.9491387 52.5570148, 7.9488427 52.5569029, 7.9482082 52.5566969, 7.9478033 52.5565799, 7.9473584 52.5564576, 7.9471642 52.5564094, 7.9470326 52.5563767, 7.9468469 52.5563344, 7.9467204 52.5563005)",B 214,"['2', '3']",,
604048383,Waldweg,residential,30,False,True,90.77099999999999,"LINESTRING (7.9503212 52.557396, 7.9502999 52.5574398, 7.9501478 52.5581556, 7.9501376 52.5582041)",,,,
4044882,Ankumer Straße,primary,50,False,False,82.35300000000001,"LINESTRING (7.9461398 52.5562353, 7.9455977 52.55624, 7.9455061 52.5562403, 7.9449245 52.556275)",B 214,3,6.5,
8253273,Bramscher Straße,tertiary,30,False,False,50.632,"LINESTRING (7.9461398 52.5562353, 7.94626 52.5561697, 7.9463807 52.5560964, 7.9466591 52.5559078)",,3,,
22791535,Quakenbrücker Straße,tertiary,30,False,False,82.098,"LINESTRING (7.9461398 52.5562353, 7.9459709 52.5562979, 7.9457083 52.5563938, 7.945605 52.5564324, 7.9451172 52.5566331)",,,,
862154274,Gehrder Straße,primary,50,False,True,39.988,"LINESTRING (7.9461398 52.5562353, 7.94644 52.556258, 7.9467204 52.5563005)",B 214,3,,
22791535,Quakenbrücker Straße,tertiary,30,False,False,89.58200000000001,"LINESTRING (7.9451172 52.5566331, 7.9446897 52.5568058, 7.9445185 52.5568957, 7.9443243 52.5570443, 7.9442047 52.5571938)",,,,
22791535,Quakenbrücker Straße,tertiary,30,False,True,82.09800000000001,"LINESTRING (7.9451172 52.5566331, 7.945605 52.5564324, 7.9457083 52.5563938, 7.9459709 52.5562979, 7.9461398 52.5562353)",,,,
58765009,Wasserkamp,residential,30,False,True,388.62399999999997,"LINESTRING (7.9451172 52.5566331, 7.945164 52.5566806, 7.9451982 52.5567154, 7.9461766 52.5571822, 7.9467502 52.5574547, 7.9469896 52.5575617, 7.9471642 52.5576123, 7.9487264 52.557923, 7.9501376 52.5582041)",,,,
22813146,Am Bahnhof,residential,50,False,False,155.28,"LINESTRING (7.941854 52.5537355, 7.9419001 52.5536797, 7.9419111 52.5536664, 7.9420957 52.5533215, 7.9421289 52.5532505, 7.9421429 52.5532206, 7.9422199 52.553056, 7.9424817 52.5524973, 7.9425232 52.5524011)",,2,,
