osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel,junction
"[999865022, 853898565, 24961694, 999865023]",St 2112,Alois-Gäßl-Straße,secondary,False,False,175.155,"LINESTRING (12.9429925 48.4285282, 12.9428929 48.4288803, 12.9427769 48.4291501, 12.9426768 48.4293391, 12.942646 48.4293931, 12.942634 48.4294132, 12.9425935 48.4294785, 12.9424163 48.4297529, 12.9422296 48.4300124)",,,,,
"[129710365, 25875710]",,Neuwiesenweg,residential,False,False,123.819,"LINESTRING (12.9429925 48.4285282, 12.9430742 48.4285454, 12.9432553 48.4285685, 12.9435036 48.4286089, 12.9440079 48.4286712, 12.9446425 48.428723)",,,,,
25876614,,Alois-Gäßl-Straße,residential,False,False,72.99000000000001,"LINESTRING (12.9422296 48.4300124, 12.9424883 48.430109, 12.9426771 48.4301489, 12.9428573 48.4301603, 12.9431663 48.4301261)",,,,,
"[853898566, 999865023]",St 2112,Alois-Gäßl-Straße,secondary,False,False,102.433,"LINESTRING (12.9422296 48.4300124, 12.9421519 48.430099, 12.9419046 48.4303871, 12.94164 48.4306574, 12.9415464 48.4307436, 12.9414767 48.4307823)",,,,,
"[24961694, 853898565, 999865022, 999865023]",St 2112,Alois-Gäßl-Straße,secondary,False,True,175.15499999999997,"LINESTRING (12.9422296 48.4300124, 12.9424163 48.4297529, 12.9425935 48.4294785, 12.942634 48.4294132, 12.942646 48.4293931, 12.9426768 48.4293391, 12.9427769 48.4291501, 12.9428929 48.4288803, 12.9429925 48.4285282)",,,,,
24710000,St 2112,Ringstraße,secondary,False,True,143.58499999999998,"LINESTRING (12.9385902 48.4303393, 12.9393392 48.430492, 12.9404598 48.4306973)",,,,,
"[25514720, 592871680, 592717282, 25993993, 592870455, 25514749]",,"['Bahnhofstraße', 'St.-Rémy-Platz', 'Bahnhofsplatz']",residential,False,False,195.59600000000003,"LINESTRING (12.9385902 48.4303393, 12.9388471 48.4296982, 12.9388562 48.4296685, 12.9388527 48.4296339, 12.9388467 48.4295913, 12.938828 48.4295624, 12.9388004 48.4295425, 12.9387494 48.4295183, 12.9386567 48.4294992, 12.9385656 48.4294916, 12.9384872 48.4294877, 12.9382946 48.4294773, 12.9380356 48.4294635, 12.9377755 48.4294497, 12.9375461 48.4294375, 12.9374869 48.4294466, 12.9374417 48.4294781)",,,,,
"[999865025, 999865026, 25522342]",,Ringstraße,secondary,False,True,104.156,"LINESTRING (12.9385902 48.4303393, 12.9383792 48.4303064, 12.9377715 48.4301983, 12.9376238 48.430172, 12.9374671 48.4301474, 12.937393 48.4301436, 12.9373218 48.4301483, 12.9372206 48.4301691)",,,,,
1144388316,St 2112,Bahnhofstraße,secondary,False,False,42.716,"LINESTRING (12.9385902 48.4303393, 12.9385206 48.4304614, 12.9384395 48.4306451, 12.938416 48.4307053)",,,,,
24715294,,Stadtplatz,tertiary,False,True,27.012,"LINESTRING (12.9378824 48.4319201, 12.9382334 48.4319892)",,,,,
"[1144388320, 24709814, 999865031]",,Lindnerstraße,tertiary,False,False,64.692,"LINESTRING (12.9378824 48.4319201, 12.9378156 48.4319128, 12.9377419 48.4319099, 12.9376699 48.431918, 12.9375997 48.4319289, 12.9375433 48.4319508, 12.9374904 48.431983, 12.9374315 48.4320313, 12.9373621 48.432079, 12.9372824 48.4321314, 12.9372191 48.4321671, 12.9371671 48.4321921)",,,,,
"[24710064, 1144388321]",St 2112,Dr.-Bayer-Straße,secondary,True,False,65.569,"LINESTRING (12.9378824 48.4319201, 12.9378094 48.4321576, 12.9377049 48.4324979)",1,,,,
25513899,,Postmünsterer Straße,residential,False,False,99.643,"LINESTRING (12.9351984 48.432235, 12.9351082 48.4321778, 12.9350131 48.4321538, 12.9341866 48.4322022, 12.9338934 48.4322194)",,,,,
"[999865035, 410890951]",PAN 58,Eggenfeldener Straße,tertiary,False,False,93.191,"LINESTRING (12.9351984 48.432235, 12.9350167 48.432303, 12.9346711 48.4324241, 12.9343312 48.4325545, 12.934113 48.4326612)",,50,,,
"[999865032, 410890953, 410890951]",PAN 58,Eggenfeldener Straße,tertiary,False,True,57.531,"LINESTRING (12.9351984 48.432235, 12.9352534 48.4322167, 12.9353198 48.4322078, 12.9353942 48.4322052, 12.9354773 48.4322136, 12.9356135 48.4322261, 12.9357563 48.432235, 12.9358699 48.4322334, 12.935966 48.4322229)",,50,,,
19051355,,Bergstraße,residential,False,False,39.155,"LINESTRING (12.9438205 48.4357453, 12.9437347 48.4353978)",,,,,
156931739,,Bergstraße,residential,False,False,66.206,"LINESTRING (12.94363 48.4346911, 12.9434737 48.4341048)",,,,,
