osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,access
27781494,Arlener Straße,residential,30,False,True,58.869,"LINESTRING (8.846947 47.7251079, 8.8477082 47.7252424)",,,,
28113181,Lindenstraße,residential,50,False,False,66.166,"LINESTRING (8.846947 47.7251079, 8.846913 47.7253804, 8.8468807 47.7256385, 8.846831 47.7256914)",,,,
"[414244520, 28113170]",Zeppelinstraße,unclassified,50,False,False,194.527,"LINESTRING (8.8461827 47.7283304, 8.846203 47.7284951, 8.8462317 47.7286754, 8.8462353 47.7286869, 8.8464008 47.7292522, 8.8465784 47.7298088, 8.8466317 47.7300518)","['2', '3']",,,
"[28179937, 38401364, 28179933]",Lindenstraße,residential,50,False,True,69.263,"LINESTRING (8.8461827 47.7283304, 8.8461667 47.7281458, 8.8461704 47.7280688, 8.8461729 47.727904, 8.8461982 47.7277086)",3,yes,,
"[24507153, 414244514]",Hegaustraße,secondary,50,False,False,125.173,"LINESTRING (8.8461827 47.7283304, 8.8459682 47.7283957, 8.8457296 47.7284574, 8.8456979 47.728467, 8.8454392 47.7285233, 8.8450682 47.7285868, 8.8445937 47.7286768)","['2', '3']",,L 222,
414244515,Hegaustraße,secondary,50,False,True,57.754,"LINESTRING (8.8461827 47.7283304, 8.8463733 47.7282705, 8.8468957 47.7281315)",3,,L 222,
24507153,Hegaustraße,secondary,50,False,True,115.96,"LINESTRING (8.8432928 47.729227, 8.8433968 47.7291541, 8.8436105 47.729029, 8.843825 47.7289383, 8.8441451 47.7288095, 8.8444312 47.7287174, 8.8445937 47.7286768)",2,,L 222,
28111707,Lessingstraße,residential,,False,True,98.725,"LINESTRING (8.8432928 47.729227, 8.8434427 47.7292624, 8.8436018 47.7293, 8.8436338 47.7293011, 8.843988 47.7293136, 8.8442358 47.7293029, 8.8443189 47.7292978, 8.8444045 47.7292926, 8.844592 47.7292832)",,,,
773632294,Hegaustraße,secondary,50,False,False,91.03200000000001,"LINESTRING (8.8432928 47.729227, 8.8427733 47.7296306, 8.8425258 47.7298617)",2,,L 222,
36264605,Hegaustraße,secondary,50,False,False,51.702,"LINESTRING (8.8425258 47.7298617, 8.8423815 47.7300347, 8.8421636 47.7302574)",2,,L 222,
