osmid,lanes,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed
4768507,1,L 122,secondary,roundabout,True,False,18.857,"LINESTRING (9.0026396 53.3832903, 9.0025973 53.3833186, 9.0025417 53.383337, 9.002479 53.3833434, 9.0024163 53.3833371, 9.0023872 53.3833328)",,
"[736593514, 40697391]",2,,unclassified,,False,False,141.72,"LINESTRING (9.0026396 53.3832903, 9.0027001 53.3833378, 9.0027623 53.3833968, 9.0032736 53.3840647, 9.0035415 53.3844433)",Hermann-Lamprecht-Straße,50
4768507,1,L 122,secondary,roundabout,True,False,25.305,"LINESTRING (9.0024994 53.3831178, 9.0025606 53.3831282, 9.0026125 53.38315, 9.0026494 53.3831809, 9.0026672 53.3832173, 9.0026638 53.3832552, 9.0026396 53.3832903)",,
118243435,,L 122,secondary,,False,True,113.762,"LINESTRING (9.0024994 53.3831178, 9.0025364 53.3830498, 9.0028678 53.3824955, 9.0030723 53.3821535)",Hindenburgstraße,50
5711596,,,residential,,False,False,242.566,"LINESTRING (9.0059318 53.3873315, 9.0026339 53.388275)",Königsberger Straße,30
40697391,2,,unclassified,,False,True,25.001,"LINESTRING (9.0059318 53.3873315, 9.0057599 53.3871314)",Hermann-Lamprecht-Straße,50
5711591,,,living_street,,False,False,70.985,"LINESTRING (9.0048891 53.386061, 9.003925 53.3863383)",Breslauer Straße,
40697391,2,,unclassified,,False,False,31.865,"LINESTRING (9.0048891 53.386061, 9.005108 53.3863161)",Hermann-Lamprecht-Straße,50
40697391,2,,unclassified,,False,True,57.113,"LINESTRING (9.0048891 53.386061, 9.0046902 53.3858201, 9.0045087 53.3856002)",Hermann-Lamprecht-Straße,50
5711567,,,residential,,False,False,103.506,"LINESTRING (9.0057599 53.3871314, 9.0071612 53.3867215)",Weichselstraße,
40697391,2,,unclassified,,False,False,25.001,"LINESTRING (9.0057599 53.3871314, 9.0059318 53.3873315)",Hermann-Lamprecht-Straße,50
40697391,2,,unclassified,,False,True,100.44,"LINESTRING (9.0057599 53.3871314, 9.0053417 53.3866035, 9.0052453 53.386486, 9.005108 53.3863161)",Hermann-Lamprecht-Straße,50
5711466,,,residential,,False,False,299.377,"LINESTRING (9.0035415 53.3844433, 9.0076248 53.3832956)",Schulstraße,
40697391,2,,unclassified,,False,False,77.143,"LINESTRING (9.0035415 53.3844433, 9.0037766 53.3847214, 9.0040651 53.3850628)",Hermann-Lamprecht-Straße,50
"[736593514, 40697391]",2,,unclassified,,False,True,141.72,"LINESTRING (9.0035415 53.3844433, 9.0032736 53.3840647, 9.0027623 53.3833968, 9.0027001 53.3833378, 9.0026396 53.3832903)",Hermann-Lamprecht-Straße,50
