osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,width,service
32055203,Auf dem Gries,residential,50,False,True,40.294,"LINESTRING (11.9382238 48.4674351, 11.9382996 48.4672719, 11.938327 48.4672193, 11.938394 48.4670908)",,,,
418084350,Auf dem Gries,residential,,True,False,38.417,"LINESTRING (11.9382238 48.4674351, 11.9381526 48.4675083, 11.9378634 48.4676815)",,,,
441799726,Auf dem Gries,residential,30,False,True,38.922,"LINESTRING (11.9382238 48.4674351, 11.9382068 48.4676189, 11.938194 48.4676805, 11.9381289 48.4677748)",,,,
32001674,Statzenbachstraße,living_street,,False,False,61.029,"LINESTRING (11.9368189 48.4711162, 11.9369878 48.4705789)",,,,
810224242,Weihmühlstraße,residential,30,False,False,29.155,"LINESTRING (11.9368189 48.4711162, 11.9367378 48.4710839, 11.9366674 48.4710774, 11.9365977 48.4710893, 11.9364529 48.4711309)",,,,
32001674,Statzenbachstraße,living_street,,False,True,61.029,"LINESTRING (11.9369878 48.4705789, 11.9368189 48.4711162)",,,,
"[32001682, 1124414019, 1124414012, 810450018]",Leinbergerstraße,residential,50,False,False,97.136,"LINESTRING (11.9361253 48.4696103, 11.9363421 48.4696899, 11.9364678 48.4697919, 11.9366226 48.4699176, 11.9368567 48.470057, 11.9370146 48.4701196, 11.9371373 48.470143)",,,,
"[1120506321, 195085079]",Thalbacher Straße,tertiary,50,False,False,155.042,"LINESTRING (11.9361253 48.4696103, 11.9360292 48.4697872, 11.9359775 48.4698754, 11.93577 48.4702291, 11.9357561 48.4702551, 11.9357432 48.4702793, 11.9353114 48.4708949)",,,,
"[877448104, 877448105, 180175384, 810222454, 888004184]",Thalbacher Straße,tertiary,"['50', '30']",False,True,134.49200000000002,"LINESTRING (11.9361253 48.4696103, 11.9361671 48.4694859, 11.9361638 48.4694155, 11.9361412 48.4693375, 11.9360961 48.4692377, 11.9360549 48.4691851, 11.9359914 48.4691194, 11.9358358 48.4689584, 11.9358242 48.4689483, 11.9357886 48.4688995, 11.9357649 48.4688529, 11.9357419 48.4687975, 11.9357395 48.4687659, 11.9357429 48.4687389, 11.935759 48.4686968, 11.9357963 48.4686294, 11.9358848 48.4684892)",,,,
"[1102885272, 131082322, 131082323]",Stadtplatz,tertiary,30,False,False,92.599,"LINESTRING (11.9354998 48.4675698, 11.935568 48.4676582, 11.9355845 48.4676803, 11.9356009 48.4677024, 11.9358729 48.4681377, 11.9358984 48.4681784, 11.9359219 48.4682311, 11.9359512 48.468297, 11.9359597 48.4683419)",2,,,
"[1152978122, 1120506986, 4342172, 968558729]",Stadtplatz,tertiary,30,False,True,62.87599999999999,"LINESTRING (11.9354998 48.4675698, 11.9354253 48.4675078, 11.9353976 48.4674654, 11.9352775 48.4672813, 11.9351711 48.467118, 11.9351617 48.4671036, 11.9351544 48.4670923, 11.9351164 48.4670702)",2,,,
"[810314186, 327664877]",Münchener Straße,tertiary,50,False,False,104.436,"LINESTRING (11.9324193 48.4650507, 11.9325867 48.4651045, 11.9331807 48.4652956, 11.9335499 48.4654313, 11.9336794 48.4654789)",2,,,
481361794,Münchener Straße,tertiary,50,False,True,126.47899999999998,"LINESTRING (11.9324193 48.4650507, 11.932369 48.4650136, 11.9319227 48.4646529, 11.9313232 48.4641758)",2,,,
25219362,Bahnhofstraße,residential,50,False,False,103.596,"LINESTRING (11.9351164 48.4670702, 11.9349728 48.4671101, 11.9346472 48.4672377, 11.9345507 48.4672902, 11.9344702 48.467356, 11.9342581 48.4677413)",,,,
"[810314185, 888004183]",Münchener Straße,tertiary,30,False,True,84.47,"LINESTRING (11.9351164 48.4670702, 11.9350666 48.4670535, 11.9350353 48.4670175, 11.9347679 48.4666794, 11.9346109 48.4664808, 11.9345583 48.4664143)",2,,,
