osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,width,lanes
28861354,Finkenweg,residential,30,False,False,20.984,,"LINESTRING (9.0038309 52.0411665, 9.0037001 52.0413372)",,,
409303842,Schwelentruper Weg,secondary,50,False,False,61.971999999999994,L 963,"LINESTRING (9.0038309 52.0411665, 9.0039854 52.041205, 9.0041343 52.0412273, 9.0042648 52.0412429, 9.0047159 52.0412696)",,,
"[4777016, 409303842, 251531630]",Schwelentruper Weg,secondary,50,False,True,111.174,L 963,"LINESTRING (9.0038309 52.0411665, 9.0036636 52.0411069, 9.0035788 52.0410768, 9.0034461 52.0410302, 9.0025993 52.0407273, 9.0024706 52.040687, 9.0024184 52.0406723)",yes,,
"[4777016, 409303842, 251531630]",Schwelentruper Weg,secondary,50,False,False,111.17399999999999,L 963,"LINESTRING (9.0024184 52.0406723, 9.0024706 52.040687, 9.0025993 52.0407273, 9.0034461 52.0410302, 9.0035788 52.0410768, 9.0036636 52.0411069, 9.0038309 52.0411665)",yes,,
"[18962728, 467778259]",Hauptstraße,secondary,50,False,False,325.38100000000003,L 961,"LINESTRING (9.0024184 52.0406723, 9.0028708 52.0399041, 9.0031479 52.0395321, 9.0033996 52.0392475, 9.0043544 52.0384186, 9.0046447 52.0381059)",,,
467778260,Hauptstraße,secondary,50,False,True,180.219,L 961,"LINESTRING (9.0024184 52.0406723, 9.0021571 52.0410869, 9.0014283 52.0421742)",,,
40120981,Mühlenstraße,residential,30,False,True,87.2,,"LINESTRING (9.0046447 52.0381059, 9.0050017 52.0381621, 9.0052228 52.0381546, 9.0055053 52.0380766, 9.0058633 52.0380074)",,,
"[18962728, 467778259]",Hauptstraße,secondary,50,False,True,325.381,L 961,"LINESTRING (9.0046447 52.0381059, 9.0043544 52.0384186, 9.0033996 52.0392475, 9.0031479 52.0395321, 9.0028708 52.0399041, 9.0024184 52.0406723)",,,
28861264,An der Niedermühle,residential,30,False,True,153.21099999999998,,"LINESTRING (9.0059942 52.0387844, 9.0057302 52.0390299, 9.0052367 52.0395174, 9.0047464 52.0399277)",,,
30025268,Grenzstraße,residential,30,False,True,132.10500000000002,,"LINESTRING (9.0059942 52.0387844, 9.0060489 52.0388484, 9.0062547 52.0391, 9.0065072 52.0394557, 9.0067977 52.0398643)",,,
"[251531478, 251531479, 251531480, 251531481, 409303837]",An der Niedermühle,residential,30,False,False,89.199,,"LINESTRING (9.0059942 52.0387844, 9.0058514 52.0385728, 9.0058079 52.0385088, 9.0058024 52.0383791, 9.0058089 52.0383108, 9.0058138 52.0382607, 9.0058218 52.038177, 9.0058633 52.0380074)",yes,,
40120981,Mühlenstraße,residential,30,False,False,87.2,,"LINESTRING (9.0058633 52.0380074, 9.0055053 52.0380766, 9.0052228 52.0381546, 9.0050017 52.0381621, 9.0046447 52.0381059)",,,
"[251531478, 251531479, 251531480, 251531481, 409303837]",An der Niedermühle,residential,30,False,True,89.199,,"LINESTRING (9.0058633 52.0380074, 9.0058218 52.038177, 9.0058138 52.0382607, 9.0058089 52.0383108, 9.0058024 52.0383791, 9.0058079 52.0385088, 9.0058514 52.0385728, 9.0059942 52.0387844)",yes,,
409303841,Mühlenstraße,residential,30,False,True,149.959,,"LINESTRING (9.0058633 52.0380074, 9.0065436 52.0373584, 9.0069953 52.0368534)",,,
26557232,Zum Hudewald,residential,30,False,True,212.822,,"LINESTRING (9.0073451 52.0365414, 9.0081838 52.0369644, 9.0087129 52.0371154, 9.0090348 52.0371682, 9.0101269 52.0370448)",,,
409303841,Mühlenstraße,residential,30,False,False,42.155,,"LINESTRING (9.0073451 52.0365414, 9.0072485 52.0366348, 9.0069953 52.0368534)",,,
409303841,Mühlenstraße,residential,30,False,False,149.959,,"LINESTRING (9.0069953 52.0368534, 9.0065436 52.0373584, 9.0058633 52.0380074)",,,
409303841,Mühlenstraße,residential,30,False,True,42.155,,"LINESTRING (9.0069953 52.0368534, 9.0072485 52.0366348, 9.0073451 52.0365414)",,,
28861264,An der Niedermühle,residential,30,False,False,153.21099999999998,,"LINESTRING (9.0047464 52.0399277, 9.0052367 52.0395174, 9.0057302 52.0390299, 9.0059942 52.0387844)",,,
28861267,Auf dem Papierkamp,residential,30,False,False,178.03300000000002,,"LINESTRING (9.0067977 52.0398643, 9.0063848 52.0399978, 9.0059545 52.0401704, 9.0055853 52.0403683, 9.0051641 52.0406321, 9.0049962 52.0407553, 9.0050217 52.040921)",,,
30025268,Grenzstraße,residential,30,False,False,132.105,,"LINESTRING (9.0067977 52.0398643, 9.0065072 52.0394557, 9.0062547 52.0391, 9.0060489 52.0388484, 9.0059942 52.0387844)",,,
409303838,Grenzstraße,residential,30,False,True,88.553,,"LINESTRING (9.0067977 52.0398643, 9.0070248 52.0401464, 9.007351 52.0405842)",,4,
28861267,Auf dem Papierkamp,residential,30,False,False,44.259,,"LINESTRING (9.0050217 52.040921, 9.0047568 52.0411895, 9.0047159 52.0412696)",,,
