osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,width,tunnel
105992490,True,1,Hersdorfstraße,tertiary_link,False,58.769000000000005,"LINESTRING (10.707832 50.9517412, 10.7076421 50.9521916, 10.7076166 50.952252)",,,,
231456404,True,1,Huttenstraße,secondary,False,43.998,"LINESTRING (10.707832 50.9517412, 10.7078048 50.9517801, 10.7077591 50.9518385, 10.7077034 50.9518956, 10.7076376 50.951939, 10.7075835 50.9519718, 10.7075078 50.9520016, 10.7074264 50.9520276)",L 3007,,,
24805853,False,,Burgfreiheit,residential,True,106.208,"LINESTRING (10.6979533 50.9457725, 10.6979954 50.945768, 10.6980639 50.9457589, 10.6981705 50.9457551, 10.6985555 50.9458108, 10.6992154 50.9459019, 10.6993375 50.9459189, 10.6994338 50.9459378)",,,,
31744521,False,2,Bürgeraue,tertiary,False,56.33,"LINESTRING (10.6979533 50.9457725, 10.6979578 50.9457944, 10.6979567 50.9458682, 10.6979408 50.9459305, 10.6978404 50.9462723)",,50,,
"[368955265, 52959742]",False,2,"['Waltershäuser Straße', 'Bürgeraue']",tertiary,True,74.76899999999999,"LINESTRING (10.6979533 50.9457725, 10.6979211 50.9457243, 10.6978673 50.9456686, 10.6976211 50.9454387, 10.6974684 50.9453, 10.6973678 50.9452116)",,50,,
24804094,False,,Lindenauallee,residential,False,139.47400000000002,"LINESTRING (10.7015285 50.9453694, 10.7015406 50.9454159, 10.7016083 50.9457326, 10.7016394 50.9458302, 10.7016923 50.9459176, 10.7020327 50.9462337, 10.7022098 50.946348, 10.7024013 50.9464418)",,30,,
"[24811689, 31670375]",False,,Bergallee,residential,False,160.088,"LINESTRING (10.7015285 50.9453694, 10.7014352 50.945385, 10.7009186 50.9455308, 10.7006009 50.9456272, 10.7001966 50.9457528, 10.6995747 50.9459171, 10.6994338 50.9459378)",,,,
24805853,False,,Burgfreiheit,residential,False,106.20800000000001,"LINESTRING (10.6994338 50.9459378, 10.6993375 50.9459189, 10.6992154 50.9459019, 10.6985555 50.9458108, 10.6981705 50.9457551, 10.6980639 50.9457589, 10.6979954 50.945768, 10.6979533 50.9457725)",,,,
"[24811689, 31670375]",False,,Bergallee,residential,True,160.088,"LINESTRING (10.6994338 50.9459378, 10.6995747 50.9459171, 10.7001966 50.9457528, 10.7006009 50.9456272, 10.7009186 50.9455308, 10.7014352 50.945385, 10.7015285 50.9453694)",,,,
219642112,False,,Bergallee,residential,True,93.24799999999999,"LINESTRING (10.6994338 50.9459378, 10.6989972 50.9460598, 10.6985983 50.9461705, 10.6984954 50.9461991, 10.6982164 50.9462768)",,,,
945746921,True,,Sundhäuser Gasse,residential,False,55.701,"LINESTRING (10.6994338 50.9459378, 10.6995505 50.9459607, 10.6998131 50.946351)",,,,
24717446,False,,Myconiusplatz,residential,True,130.51,"LINESTRING (10.6993121 50.9469768, 10.6984711 50.9465441, 10.6981547 50.9463824, 10.6979711 50.9462885, 10.6979345 50.9462835, 10.6978404 50.9462723)",,,,
173185431,False,,Augustinerstraße,residential,False,43.998999999999995,"LINESTRING (10.6993121 50.9469768, 10.6994389 50.9470265, 10.6995337 50.9470522, 10.6998899 50.9471271)",,,,
220424929,False,2,Bürgeraue,tertiary,True,26.908,"LINESTRING (10.6974854 50.9474644, 10.6975582 50.9472268)",,50,,
220424930,False,2,Bürgeraue,tertiary,False,100.32999999999998,"LINESTRING (10.6974854 50.9474644, 10.6973865 50.9478018, 10.6973497 50.9479216, 10.6972932 50.9481027, 10.6972747 50.9481454, 10.6972375 50.9481939, 10.697213 50.9482204, 10.6970857 50.9483147)",,50,,
"[641344682, 220424938]",False,,Jüdenstraße,"['residential', 'living_street']",True,157.258,"LINESTRING (10.6974854 50.9474644, 10.6975886 50.9474778, 10.6976239 50.9474829, 10.6979237 50.947526, 10.6980319 50.9475415, 10.6996686 50.947793)",,20,,
