osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes
849447136,L 362,Poststraße,secondary,30,False,False,26.529,,"LINESTRING (8.6046306 48.5841037, 8.6043072 48.5839981)",
"[953927602, 23474189, 23474190, 23348007]",,"['Postplatz', 'Kaufhausplatz']",residential,30,False,False,77.365,yes,"LINESTRING (8.6046306 48.5841037, 8.6045374 48.584307, 8.6044359 48.5844728, 8.6043251 48.5846991, 8.6042852 48.5847602)",
4931486,L 362,Poststraße,secondary,30,False,True,43.767,,"LINESTRING (8.6023493 48.5842417, 8.6028182 48.5839994)",
4931486,L 362,Poststraße,secondary,30,False,False,62.79900000000001,,"LINESTRING (8.6023493 48.5842417, 8.6019935 48.5845155, 8.601801 48.5846745)",
849447135,,,living_street,,False,True,34.188,,"LINESTRING (8.6023493 48.5842417, 8.6022279 48.5841513, 8.602134 48.5841122, 8.6020065 48.5840368)",
"[23488108, 23333890, 23621692]",K 4334,Karlstraße,tertiary,50,False,False,42.7,yes,"LINESTRING (8.6003557 48.5871225, 8.6005183 48.5871195, 8.6007602 48.587116, 8.6009288 48.5871492)",
28851803,L 362,Poststraße,secondary,30,False,True,204.324,,"LINESTRING (8.6003557 48.5871225, 8.6003562 48.5869187, 8.6003583 48.5867509, 8.6003682 48.5866183, 8.6003927 48.5864667, 8.6004197 48.5863424, 8.6004485 48.5862391, 8.6004811 48.5861571, 8.6005168 48.5860869, 8.6005672 48.586005, 8.6006522 48.5858899, 8.6008137 48.5856793, 8.6009511 48.5855146, 8.6010648 48.5853843)",
"[1229537714, 227581900]",L 362,Poststraße,secondary,30,False,False,304.995,,"LINESTRING (8.6003557 48.5871225, 8.6003639 48.5875015, 8.600394 48.5876533, 8.6004616 48.5877908, 8.6006109 48.5881612, 8.600642 48.5882601, 8.600727 48.5885302, 8.6007392 48.5887611, 8.6007444 48.588859, 8.600695 48.5889799, 8.6005989 48.5890845, 8.6004877 48.5891904, 8.600358 48.5892816, 8.6000729 48.5894081, 8.599917 48.5894511, 8.5997268 48.5895036)",
23333891,,Rosenstraße,residential,30,False,False,106.821,,"LINESTRING (8.6009288 48.5871492, 8.6010815 48.5868591, 8.6013133 48.5864476, 8.601431 48.5862479)",
"[23333890, 23488108, 23621692]",K 4334,Karlstraße,tertiary,50,False,True,42.7,yes,"LINESTRING (8.6009288 48.5871492, 8.6007602 48.587116, 8.6005183 48.5871195, 8.6003557 48.5871225)",
"[953927600, 500387263]",K 4334,Karlstraße,tertiary,50,False,False,56.625,,"LINESTRING (8.6009288 48.5871492, 8.6012655 48.5872972, 8.6014286 48.5873797, 8.6015411 48.5874552)",
23363414,,Gartenstraße,residential,30,False,False,24.305,,"LINESTRING (8.6046661 48.584849, 8.6047105 48.5850656)",
23462552,,Bahnhofstraße,residential,30,False,False,120.811,,"LINESTRING (8.6046661 48.584849, 8.6049771 48.5848672, 8.605283 48.5848525, 8.6063022 48.5847904)",
"[23462552, 473813001]",,"['Bahnhofstraße', 'Kaufhausplatz']",residential,30,False,True,29.823999999999998,,"LINESTRING (8.6046661 48.584849, 8.6043818 48.5847939, 8.6042852 48.5847602)",
23462552,,Bahnhofstraße,residential,30,False,False,214.462,,"LINESTRING (8.6063022 48.5847904, 8.6064819 48.5847851, 8.6066965 48.5847957, 8.6069138 48.5848241, 8.6072222 48.5849022, 8.6076299 48.5850388, 8.6082093 48.5852819, 8.6089147 48.5855658)",
23462552,,Bahnhofstraße,residential,30,False,True,120.811,,"LINESTRING (8.6063022 48.5847904, 8.605283 48.5848525, 8.6049771 48.5848672, 8.6046661 48.584849)",
"[23473724, 23473725]",,Walkenweg,residential,30,False,False,127.08000000000001,,"LINESTRING (8.6063022 48.5847904, 8.6065264 48.5852377, 8.6063762 48.5852448, 8.606065 48.5852075, 8.6056225 48.5851898, 8.6055876 48.5852554)",
"[23333891, 23347828]",,"['Rosenstraße', 'Kaufhausplatz']",residential,30,False,True,151.748,,"LINESTRING (8.6042852 48.5847602, 8.6041994 48.5847354, 8.604025 48.5846697, 8.603848 48.5845793, 8.6036924 48.5845083, 8.6035503 48.5845047, 8.6034198 48.5845318, 8.6031926 48.5846188, 8.6029551 48.5849005, 8.602889 48.5851123)",
"[953927602, 23474189, 23474190, 23348007]",,"['Postplatz', 'Kaufhausplatz']",residential,30,False,True,77.365,yes,"LINESTRING (8.6042852 48.5847602, 8.6043251 48.5846991, 8.6044359 48.5844728, 8.6045374 48.584307, 8.6046306 48.5841037)",
"[23462552, 473813001]",,"['Bahnhofstraße', 'Kaufhausplatz']",residential,30,False,False,29.823999999999998,,"LINESTRING (8.6042852 48.5847602, 8.6043818 48.5847939, 8.6046661 48.584849)",
4931486,L 362,Poststraße,secondary,30,False,False,43.767,,"LINESTRING (8.6028182 48.5839994, 8.6023493 48.5842417)",
4931486,L 362,Poststraße,secondary,30,False,True,115.66400000000002,,"LINESTRING (8.6028182 48.5839994, 8.6030085 48.5839334, 8.6032387 48.5838827, 8.6034484 48.5838571, 8.6036535 48.5838528, 8.6037632 48.5838574, 8.6038373 48.583866, 8.6040029 48.5839031, 8.6043072 48.5839981)",
"[23473643, 1064126341]",,Am Brunnenhäusle,living_street,,False,True,74.682,,"LINESTRING (8.6028182 48.5839994, 8.6026148 48.5838324, 8.6024467 48.5838555, 8.6021946 48.5839477, 8.6020685 48.5840074, 8.6020065 48.5840368)",
28851803,L 362,Poststraße,secondary,30,False,False,204.32399999999998,,"LINESTRING (8.6010648 48.5853843, 8.6009511 48.5855146, 8.6008137 48.5856793, 8.6006522 48.5858899, 8.6005672 48.586005, 8.6005168 48.5860869, 8.6004811 48.5861571, 8.6004485 48.5862391, 8.6004197 48.5863424, 8.6003927 48.5864667, 8.6003682 48.5866183, 8.6003583 48.5867509, 8.6003562 48.5869187, 8.6003557 48.5871225)",
"[1053283169, 1053283170, 1064303241, 28851803, 4931486]",L 362,Poststraße,secondary,30,False,True,95.831,,"LINESTRING (8.6010648 48.5853843, 8.6011648 48.5852668, 8.6012692 48.585157, 8.6015076 48.5849324, 8.6016156 48.5848323, 8.601801 48.5846745)",
376862946,,,living_street,,False,True,44.826,,"LINESTRING (8.6010648 48.5853843, 8.6010471 48.5853773, 8.6006133 48.5852347, 8.6005198 48.585204)",
23363412,,Haldenstraße,residential,30,False,False,219.898,,"LINESTRING (8.6105589 48.5859809, 8.6104677 48.5860945, 8.6103497 48.5861034, 8.6101834 48.5860626, 8.6099689 48.5859952, 8.609765 48.5859437, 8.6091052 48.5858408, 8.6079935 48.5856937, 8.6077642 48.5856719)",
"[1051651338, 1051651342]",,Bahnhofstraße,residential,30,False,True,129.921,,"LINESTRING (8.6105589 48.5859809, 8.6103229 48.5859437, 8.6099939 48.5858748, 8.6098401 48.585839, 8.6093439 48.5857166, 8.6089147 48.5855658)",
23363414,,Gartenstraße,residential,30,False,True,24.305,,"LINESTRING (8.6047105 48.5850656, 8.6046661 48.584849)",
23363414,,Gartenstraße,residential,30,False,False,68.096,,"LINESTRING (8.6047105 48.5850656, 8.6048714 48.585101, 8.6052148 48.5851525, 8.6054776 48.5852217, 8.6055876 48.5852554)",
24020733,,Alte Steige,residential,30,False,False,124.546,,"LINESTRING (8.6047105 48.5850656, 8.6047136 48.5851373, 8.6046781 48.5851968, 8.6044134 48.5852727, 8.603635 48.5855598, 8.6034297 48.585712)",
23363414,,Gartenstraße,residential,30,False,False,28.761,,"LINESTRING (8.6055876 48.5852554, 8.6059497 48.585353)",
23363414,,Gartenstraße,residential,30,False,True,68.096,,"LINESTRING (8.6055876 48.5852554, 8.6054776 48.5852217, 8.6052148 48.5851525, 8.6048714 48.585101, 8.6047105 48.5850656)",
"[23473724, 23473725]",,Walkenweg,residential,30,False,True,127.08000000000001,,"LINESTRING (8.6055876 48.5852554, 8.6056225 48.5851898, 8.606065 48.5852075, 8.6063762 48.5852448, 8.6065264 48.5852377, 8.6063022 48.5847904)",
415097145,L 404,Pfalzgrafenweiler Straße,secondary,50,False,False,38.05,,"LINESTRING (8.5997268 48.5895036, 8.5995418 48.589524, 8.5992132 48.5895424)",3
"[1229537714, 227581900]",L 362,Poststraße,secondary,30,False,True,304.995,,"LINESTRING (8.5997268 48.5895036, 8.599917 48.5894511, 8.6000729 48.5894081, 8.600358 48.5892816, 8.6004877 48.5891904, 8.6005989 48.5890845, 8.600695 48.5889799, 8.6007444 48.588859, 8.6007392 48.5887611, 8.600727 48.5885302, 8.600642 48.5882601, 8.6006109 48.5881612, 8.6004616 48.5877908, 8.600394 48.5876533, 8.6003639 48.5875015, 8.6003557 48.5871225)",
23333891,,Rosenstraße,residential,30,False,False,70.669,,"LINESTRING (8.602289 48.5856029, 8.6023849 48.5855364, 8.6023962 48.5855285, 8.6025482 48.5854388, 8.6026489 48.5853661, 8.6028344 48.5851729, 8.602889 48.5851123)",
23333891,,Rosenstraße,residential,30,False,True,95.547,,"LINESTRING (8.602289 48.5856029, 8.6022469 48.585636, 8.6020022 48.5858284, 8.6016104 48.5861136, 8.601431 48.5862479)",
24020693,,Bädergäßchen,residential,30,False,True,22.087,,"LINESTRING (8.602289 48.5856029, 8.6023634 48.5856472, 8.6024029 48.5856706, 8.6025123 48.5857357)",
23473642,,Rathausplatz,living_street,,False,False,51.023,,"LINESTRING (8.601801 48.5846745, 8.6012531 48.5843931)",
"[1053283169, 1053283170, 1064303241, 28851803, 4931486]",L 362,Poststraße,secondary,30,False,False,95.83099999999999,,"LINESTRING (8.601801 48.5846745, 8.6016156 48.5848323, 8.6015076 48.5849324, 8.6012692 48.585157, 8.6011648 48.5852668, 8.6010648 48.5853843)",
4931486,L 362,Poststraße,secondary,30,False,True,62.79900000000001,,"LINESTRING (8.601801 48.5846745, 8.6019935 48.5845155, 8.6023493 48.5842417)",
23473642,,Rathausplatz,living_street,,False,True,51.023,,"LINESTRING (8.6012531 48.5843931, 8.601801 48.5846745)",
1064819975,,,living_street,,False,False,28.893,,"LINESTRING (8.6012531 48.5843931, 8.6009466 48.5845556)",
1064126342,,Am Brunnenhäusle,living_street,,False,False,68.132,,"LINESTRING (8.6012531 48.5843931, 8.6016426 48.5842035, 8.601921 48.5840773, 8.6020065 48.5840368)",
23363412,,Haldenstraße,residential,30,False,False,39.22,,"LINESTRING (8.6077642 48.5856719, 8.6076395 48.5857327, 8.6072613 48.5857274)",
23363412,,Haldenstraße,residential,30,False,True,219.898,,"LINESTRING (8.6077642 48.5856719, 8.6079935 48.5856937, 8.6091052 48.5858408, 8.609765 48.5859437, 8.6099689 48.5859952, 8.6101834 48.5860626, 8.6103497 48.5861034, 8.6104677 48.5860945, 8.6105589 48.5859809)",
23363414,,Gartenstraße,residential,30,False,False,202.003,,"LINESTRING (8.6077642 48.5856719, 8.6078111 48.5857433, 8.608282 48.5858695, 8.6086391 48.5859615, 8.6090491 48.5861306, 8.6098225 48.5863708, 8.6100335 48.5864304, 8.6101751 48.586493)",
