osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,width
41726791,2,B 8,Wilhelmstraße,primary,False,False,32.789,"LINESTRING (7.6423721 50.6863702, 7.6421797 50.6863503, 7.6419842 50.6863643, 7.6419108 50.6863687)",,,
222312882,2,B 8,Quengelstraße,primary,False,True,96.047,"LINESTRING (7.6423721 50.6863702, 7.6425283 50.6864142, 7.6426421 50.6864675, 7.6426954 50.6865014, 7.6429241 50.6867439, 7.6430285 50.6868582, 7.6432257 50.6870187)",,,
"[1005394016, 170609020]",,,"['Wilhelmstraße', 'Bleichweg']",residential,False,"[False, True]",71.989,"LINESTRING (7.6423721 50.6863702, 7.6426776 50.686333, 7.642727 50.6863148, 7.6427479 50.6859009)",,,
"[760181410, 314266316, 8047077]","['2', '3']",,Rathausstraße,secondary,False,False,154.04100000000003,"LINESTRING (7.6477387 50.6878581, 7.6478877 50.6879309, 7.6482595 50.6881327, 7.6486773 50.6883682, 7.64922 50.6886728, 7.6492611 50.688695, 7.6493034 50.6887215, 7.6493778 50.6887738)",50,,
"[314266304, 449054347, 614006573]","['2', '3']",B 8,Frankfurter Straße,primary,False,True,100.42099999999999,"LINESTRING (7.6477387 50.6878581, 7.6478576 50.6877495, 7.6481597 50.6874566, 7.6484665 50.6871683, 7.6485445 50.6871141)",50,,
"[1239864346, 27938251, 222312878, 222312879]","['2', '3']",B 8,Quengelstraße,primary,False,False,332.504,"LINESTRING (7.6477387 50.6878581, 7.6473425 50.6882002, 7.6472408 50.6882515, 7.6470753 50.6882976, 7.6469293 50.6883206, 7.6467734 50.6883177, 7.6465447 50.6882809, 7.6463099 50.6882078, 7.6459117 50.6880485, 7.645704 50.6879583, 7.6448865 50.687619, 7.6448722 50.6876134, 7.6444191 50.687437, 7.6440971 50.6873387, 7.6437906 50.6872624)",50,yes,
24281888,1,,Dammweg,residential,True,False,25.485,"LINESTRING (7.6437906 50.6872624, 7.6436526 50.6873119, 7.6435679 50.6874289)",,,
"[1239864346, 27938251, 222312878, 222312879]","['2', '3']",B 8,Quengelstraße,primary,False,True,332.50399999999996,"LINESTRING (7.6437906 50.6872624, 7.6440971 50.6873387, 7.6444191 50.687437, 7.6448722 50.6876134, 7.6448865 50.687619, 7.645704 50.6879583, 7.6459117 50.6880485, 7.6463099 50.6882078, 7.6465447 50.6882809, 7.6467734 50.6883177, 7.6469293 50.6883206, 7.6470753 50.6882976, 7.6472408 50.6882515, 7.6473425 50.6882002, 7.6477387 50.6878581)",50,yes,
222312880,2,B 8,Quengelstraße,primary,False,False,30.142000000000003,"LINESTRING (7.6437906 50.6872624, 7.6436082 50.6872037, 7.6434213 50.6871263)",,,
28219221,,,Auf dem Steinchen,residential,False,False,112.75200000000001,"LINESTRING (7.6434633 50.6923802, 7.6427915 50.6919553, 7.6427739 50.6919454, 7.6424035 50.6917374, 7.6422987 50.6916857)",,,
168878179,2,L 267,Kumpstraße,secondary,False,False,284.698,"LINESTRING (7.6434633 50.6923802, 7.6435112 50.6922168, 7.6435649 50.692077, 7.643839 50.6915885, 7.6438932 50.6914184, 7.6439189 50.6912774, 7.6439103 50.6910856, 7.6437333 50.6905538, 7.6437119 50.6904064, 7.6437062 50.6901794, 7.6437398 50.6898742)",50,,
41726791,2,B 8,Wilhelmstraße,primary,False,True,32.789,"LINESTRING (7.6419108 50.6863687, 7.6419842 50.6863643, 7.6421797 50.6863503, 7.6423721 50.6863702)",,,
