osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,junction,tunnel,bridge
26606696,2,Petersstraße,tertiary,50,False,False,137.64499999999998,"LINESTRING (8.3643397 49.6302272, 8.3649281 49.6300654, 8.365163 49.6300008, 8.3652842 49.6299697, 8.3653548 49.6299528, 8.3654286 49.629937, 8.3655629 49.6299101, 8.3656942 49.6298874, 8.3658229 49.6298702, 8.3659906 49.6298529, 8.3661461 49.6298488)",,,,,
44828844,3,Römerstraße,tertiary,50,False,True,66.239,"LINESTRING (8.3643397 49.6302272, 8.364466 49.6304305, 8.3647059 49.6307735)",,,,,
268399306,2,Petersstraße,tertiary,30,False,True,60.007999999999996,"LINESTRING (8.3643397 49.6302272, 8.3640723 49.6302776, 8.3639537 49.6303, 8.3635325 49.6303596)",,,,,
"[4733256, 385389276]","['2', '3']",Römerstraße,residential,50,False,False,85.99000000000001,"LINESTRING (8.3643397 49.6302272, 8.3641152 49.6298092, 8.3641082 49.6297962, 8.3639541 49.6295231, 8.3639397 49.6294986)",,,,,
4740824,2,Petersstraße,tertiary,20,False,False,46.488,"LINESTRING (8.3616556 49.6305287, 8.3617188 49.630518, 8.3617661 49.6305108, 8.3618127 49.6305057, 8.3618826 49.6304994, 8.3622941 49.6304717)",,,,,
"[1000430910, 4740846, 458668613, 458668614]",2,Marktplatz,residential,20,False,True,96.263,"LINESTRING (8.3616556 49.6305287, 8.3613938 49.630228, 8.3613705 49.6302022, 8.3611762 49.6299868, 8.3609884 49.6297786)",,,,,
635587983,2,Stephansgasse,tertiary,50,False,True,34.131,"LINESTRING (8.3616556 49.6305287, 8.3616055 49.6305442, 8.3615283 49.630575, 8.3614355 49.6306188, 8.3612647 49.6307011)",,,,,
4733246,,Rotkreuzgasse,residential,30,False,True,40.686,"LINESTRING (8.3600397 49.6314434, 8.360364 49.631743)",,,,,
635587983,2,Stephansgasse,tertiary,50,False,False,121.228,"LINESTRING (8.3600397 49.6314434, 8.360373 49.6312127, 8.3607145 49.6309773, 8.3608038 49.6309234, 8.3612647 49.6307011)",,,,,
"[635587976, 635587983]",2,Stephansgasse,tertiary,50,False,True,30.631999999999998,"LINESTRING (8.3600397 49.6314434, 8.3598617 49.6315479, 8.3598138 49.6315798, 8.3597291 49.6316315)",,,,,
